model,query,车辆候选列表,id,大类|小类,answer,app,正确答案,app名称,category,category正确答案,车大类,mode,mode正确答案,车小类,price,正确答案.1,是否存在价格,price_min,正确答案.2,价格下限,price_max,正确答案.3,价格上限,think_time,问题,备注,标注人,_vehicle_pairs,_gt_category,_gt_mode,_history,_query
Qwen2.5-32B-Instruct,去社区医院预约特快出租车用滴滴,"|序号id|应用名称|车型大类|车辆类型|价格|
|39|高德地图|豪华型|undefined|48-52|",,,"[{""app"": ""无"", ""category"": ""特快出租车"", ""mode"": ""无"", ""price"": True, ""price_min"": 0, ""price_max"": 15, ""fast"": False}]",无,,无,特快出租车,出租车,出租车,无,聚的新出租，出租车拼车，北京的士,聚的新出租，出租车拼车，北京的士,True,,True,0,,0,15,,15,1.13968873,"直接命中车小类关键字但answer中没有或错误,直接命中车大类关键字但answer中没有或错误",,王笑,"[{'': '极速拼车'}, {'': '特惠快车'}, {'优享型': 'T3出行'}, {'优享型': '东潮出行'}, {'优享型': '享道出行'}, {'优享型': '优e出行特选'}, {'优享型': '全民GO'}, {'优享型': '妥妥E行'}, {'优享型': '斑马快跑'}, {'优享型': '旗妙出行'}, {'优享型': '星徽出行'}, {'优享型': '曹操出行'}, {'优享型': '火箭出行'}, {'优享型': '神州专车'}, {'优享型': '腾飞出行'}, {'六座商务': '宽敞空间 商务体验'}, {'出租车': '车多应答快'}, {'品质专车': '静音不打扰 整洁无异味'}, {'快速出发': '无'}, {'惠享专车': '好车好服务'}, {'拼车': '出租车拼车'}, {'推荐': '推荐专车'}, {'特价出发': '更多特价'}, {'特快车': '超值体验 更快上车'}, {'经济': '首汽约车'}, {'经济型': 'J刻出行'}, {'经济型': 'K9用车'}, {'经济型': '中交出行'}, {'经济型': '中军出行'}, {'经济型': '北京的士'}, {'经济型': '及时用车'}, {'经济型': '如祺出行'}, {'经济型': '妥妥E行'}, {'经济型': '旗妙出行'}, {'经济型': '聚的新出租'}, {'经济型': '腾飞出行'}, {'经济型': '飞嘀打车'}, {'豪华型': '车型高端 服务专业'}, {'轻享专车': '静音不打扰 整洁无异味'}]",出租车,聚的新出租，出租车拼车，北京的士,,到疫苗接种点打辆特快出租车价格15元内
Qwen2.5-32B-Instruct,想去儿童乐园叫特快出租车经过解放路,"|序号id|应用名称|车型大类|车辆类型|价格|
|---|---|---|---|---|
|0|高德地图|     |极速拼车|33-35|
|1|高德地图|     |特惠快车|36-39|
|2|高德地图|经济型|日初出行|40|
|3|高德地图|经济型|5U出行|40|
|4|高德地图|经济型|AA出行|40|
|5|高德地图|经济型|曹操出行|41|
|6|高德地图|经济型|渔阳出行|41|
|7|高德地图|经济型|深圳出租|42|
|8|高德地图|经济型|中交出行|42|
|9|高德地图|经济型|腾飞出行|42|
|10|高德地图|经济型|飞嘀打车|42|
|11|高德地图|经济型|方舟行|42|
|12|高德地图|经济型|享道出行|43|
|13|高德地图|经济型|聚的新出租|43|
|14|高德地图|经济型|旅程出租|44|
|15|高德地图|经济型|及时用车|44|
|16|高德地图|经济型|K9用车|44|
|17|高德地图|经济型|北京新出租|44|
|18|高德地图|经济型|奇华出行|44|
|19|高德地图|经济型|有序出行|44|
|20|高德地图|经济型|北京的士|44|
|21|高德地图|特快车|超值体验 更快上车|44|
|22|高德地图|出租车|车多应答快|50|
|23|高德地图|优享型|添猫出行|54|
|24|高德地图|优享型|旗妙出行|54|
|25|高德地图|优享型|腾飞出行|54|
|26|高德地图|优享型|享道出行|54|
|27|高德地图|优享型|妥妥E行|54|
|28|高德地图|优享型|优e出行特选|55|
|29|高德地图|优享型|曹操出行|56|
|30|高德地图|优享型|神州专车|56|
|31|高德地图|优享型|东潮出行|57|
|32|高德地图|优享型|环旅出行|58|
|33|高德地图|优享型|中交出行|58|
|34|高德地图|轻享专车|静音不打扰 整洁无异味|63|
|35|高德地图|品质专车|静音不打扰 整洁无异味|69|
|36|高德地图|六座商务|宽敞空间 商务体验|77|
|37|高德地图|豪华型|车型高端 服务专业|82|
|38|高德地图|经济|首汽约车|90|
|39|高德地图|拼车|特惠快车|99|
|40|高德地图|拼车|出租车拼车|102|
|41|高德地图|特价出发|更多特价|110|
|42|高德地图|快速出发|无|122|
|43|高德地图|惠享专车|添猫出行|131|
|44|高德地图|惠享专车|T3出行|132|
|45|高德地图|推荐|推荐专车|146|
|46|高德地图|豪华型|undefined|99-104|",,,"[{""app"": ""无"", ""category"": ""特快出租车"", ""mode"": ""无"", ""price"": False, ""price_min"": 0, ""price_max"": 0, ""fast"": False}]",无,,无,特快出租车,出租车,出租车,无,深圳出租，聚的新出租，旅程出租，北京新出租，出租车拼车，北京的士,深圳出租，聚的新出租，旅程出租，北京新出租，出租车拼车，北京的士,False,,False,0,,0,0,,0,1.074123621,"直接命中车小类关键字但answer中没有或错误,直接命中车大类关键字但answer中没有或错误",,王笑,"[{'': '极速拼车'}, {'': '特惠快车'}, {'优享型': '东潮出行'}, {'优享型': '中交出行'}, {'优享型': '享道出行'}, {'优享型': '优e出行特选'}, {'优享型': '妥妥E行'}, {'优享型': '旗妙出行'}, {'优享型': '曹操出行'}, {'优享型': '添猫出行'}, {'优享型': '环旅出行'}, {'优享型': '神州专车'}, {'优享型': '腾飞出行'}, {'六座商务': '宽敞空间 商务体验'}, {'出租车': '车多应答快'}, {'品质专车': '静音不打扰 整洁无异味'}, {'快速出发': '无'}, {'惠享专车': 'T3出行'}, {'惠享专车': '添猫出行'}, {'拼车': '出租车拼车'}, {'拼车': '特惠快车'}, {'推荐': '推荐专车'}, {'特价出发': '更多特价'}, {'特快车': '超值体验 更快上车'}, {'经济': '首汽约车'}, {'经济型': '5U出行'}, {'经济型': 'AA出行'}, {'经济型': 'K9用车'}, {'经济型': '中交出行'}, {'经济型': '享道出行'}, {'经济型': '北京新出租'}, {'经济型': '北京的士'}, {'经济型': '及时用车'}, {'经济型': '奇华出行'}, {'经济型': '方舟行'}, {'经济型': '旅程出租'}, {'经济型': '日初出行'}, {'经济型': '曹操出行'}, {'经济型': '有序出行'}, {'经济型': '深圳出租'}, {'经济型': '渔阳出行'}, {'经济型': '聚的新出租'}, {'经济型': '腾飞出行'}, {'经济型': '飞嘀打车'}, {'豪华型': '车型高端 服务专业'}, {'轻享专车': '静音不打扰 整洁无异味'}]",出租车,深圳出租，聚的新出租，旅程出租，北京新出租，出租车拼车，北京的士,,想去儿童乐园叫特快出租车经过解放路
Qwen2.5-32B-Instruct,要到老城商业街拦个特快出租车别走高速,"|序号id|应用名称|车型大类|车辆类型|价格|
|---|---|---|---|---|
|0|高德地图|     |极速拼车|28-30|
|1|高德地图|     |特惠快车|30-31|
|2|高德地图|经济型|添猫出行|32|
|3|高德地图|经济型|腾飞出行|32|
|4|高德地图|经济型|J刻出行|32|
|5|高德地图|经济型|全民GO|33|
|6|高德地图|经济型|北京新出租|33|
|7|高德地图|经济型|AA出行|33|
|8|高德地图|经济型|飞嘀打车|34|
|9|高德地图|经济型|国泰出租|34|
|10|高德地图|经济型|365约车|34|
|11|高德地图|经济型|900出行|34|
|12|高德地图|经济型|方舟行|35|
|13|高德地图|经济型|奇华出行|35|
|14|高德地图|经济型|神州专车|36|
|15|高德地图|经济型|星徽出行|36|
|16|高德地图|经济型|中军出行|36|
|17|高德地图|经济型|北京的士|36|
|18|高德地图|经济型|享道出行|36|
|19|高德地图|特快车|超值体验 更快上车|38|
|20|高德地图|出租车|车多应答快|39|
|21|高德地图|优享型|添猫出行|44|
|22|高德地图|优享型|腾飞出行|44|
|23|高德地图|优享型|风韵出行|45|
|24|高德地图|优享型|曹操出行|45|
|25|高德地图|优享型|飞嘀打车|45|
|26|高德地图|优享型|T3出行|47|
|27|高德地图|优享型|星徽出行|48|
|28|高德地图|优享型|享道出行|48|
|29|高德地图|轻享专车|静音不打扰 整洁无异味|51|
|30|高德地图|品质专车|静音不打扰 整洁无异味|57|
|31|高德地图|六座商务|宽敞空间 商务体验|63|
|32|高德地图|豪华型|车型高端 服务专业|68|
|33|高德地图|经济|首汽约车|72|
|34|高德地图|拼车|特惠快车|82|
|35|高德地图|特价出发|惊喜特价|89|
|36|高德地图|快速出发|无|100|
|37|高德地图|惠享专车|曹操出行|107|
|38|高德地图|惠享专车|T3出行|110|
|39|高德地图|推荐|极速拼车|118|
|40|高德地图|推荐|推荐专车|120|
|41|高德地图|豪华型|undefined|85-86|",,,"[{""app"": ""无"", ""category"": ""特快出租车"", ""mode"": ""无"", ""price"": False, ""price_min"": 0, ""price_max"": 0, ""fast"": False}]",无,,无,特快出租车,出租车,出租车,无,北京新出租，国泰出租，北京的士,北京新出租，国泰出租，北京的士,False,,False,0,,0,0,,0,1.081699133,"直接命中车小类关键字但answer中没有或错误,直接命中车大类关键字但answer中没有或错误",,王笑,"[{'': '极速拼车'}, {'': '特惠快车'}, {'优享型': 'T3出行'}, {'优享型': '享道出行'}, {'优享型': '星徽出行'}, {'优享型': '曹操出行'}, {'优享型': '添猫出行'}, {'优享型': '腾飞出行'}, {'优享型': '风韵出行'}, {'优享型': '飞嘀打车'}, {'六座商务': '宽敞空间 商务体验'}, {'出租车': '车多应答快'}, {'品质专车': '静音不打扰 整洁无异味'}, {'快速出发': '无'}, {'惠享专车': 'T3出行'}, {'惠享专车': '曹操出行'}, {'拼车': '特惠快车'}, {'推荐': '推荐专车'}, {'推荐': '极速拼车'}, {'特价出发': '惊喜特价'}, {'特快车': '超值体验 更快上车'}, {'经济': '首汽约车'}, {'经济型': '365约车'}, {'经济型': '900出行'}, {'经济型': 'AA出行'}, {'经济型': 'J刻出行'}, {'经济型': '中军出行'}, {'经济型': '享道出行'}, {'经济型': '全民GO'}, {'经济型': '北京新出租'}, {'经济型': '北京的士'}, {'经济型': '国泰出租'}, {'经济型': '奇华出行'}, {'经济型': '方舟行'}, {'经济型': '星徽出行'}, {'经济型': '添猫出行'}, {'经济型': '神州专车'}, {'经济型': '腾飞出行'}, {'经济型': '飞嘀打车'}, {'豪华型': '车型高端 服务专业'}, {'轻享专车': '静音不打扰 整洁无异味'}]",出租车,北京新出租，国泰出租，北京的士,,要到老城商业街拦个特快出租车别走高速
Qwen2.5-32B-Instruct,去机场T3航站楼订辆特快出租车预算40元,"|序号id|应用名称|车型大类|车辆类型|价格|
|---|---|---|---|---|
|0|高德地图|     |极速拼车|42-43|
|1|高德地图|     |特惠快车|46-49|
|2|高德地图|经济型|旗妙出行|51|
|3|高德地图|经济型|享道出行|51|
|4|高德地图|经济型|妥妥E行|51|
|5|高德地图|经济型|及时用车|51|
|6|高德地图|经济型|AA出行|52|
|7|高德地图|经济型|北京新出租|52|
|8|高德地图|经济型|曹操出行|52|
|9|高德地图|经济型|如祺出行|53|
|10|高德地图|经济型|飞嘀打车|53|
|11|高德地图|经济型|深圳出租|53|
|12|高德地图|经济型|900出行|54|
|13|高德地图|经济型|斑马快跑|54|
|14|高德地图|经济型|阳光出行|54|
|15|高德地图|经济型|东潮出行|54|
|16|高德地图|经济型|神州专车|55|
|17|高德地图|经济型|中交出行|55|
|18|高德地图|经济型|易至出行|55|
|19|高德地图|特快车|超值体验 更快上车|57|
|20|高德地图|出租车|车多应答快|63|
|21|高德地图|优享型|腾飞出行|68|
|22|高德地图|优享型|妥妥E行|68|
|23|高德地图|优享型|风韵出行|70|
|24|高德地图|优享型|优e出行特选|70|
|25|高德地图|优享型|飞嘀打车|71|
|26|高德地图|优享型|东潮出行|71|
|27|高德地图|优享型|T3出行|72|
|28|高德地图|优享型|环旅出行|72|
|29|高德地图|优享型|享道出行|72|
|30|高德地图|轻享专车|静音不打扰 整洁无异味|79|
|31|高德地图|品质专车|静音不打扰 整洁无异味|87|
|32|高德地图|六座商务|宽敞空间 商务体验|95|
|33|高德地图|豪华型|车型高端 服务专业|103|
|34|高德地图|经济|首汽约车|112|
|35|高德地图|拼车|特惠快车|125|
|36|高德地图|拼车|出租车拼车|125|
|37|高德地图|特价出发|更多特价|136|
|38|高德地图|快速出发|无|149|
|39|高德地图|惠享专车|好车好服务|165|
|40|高德地图|惠享专车|精选车型 优质司机|168|
|41|高德地图|推荐|极速拼车|184|
|42|高德地图|豪华型|undefined|118-120|",,,"[{""app"": ""无"", ""category"": ""特快出租车"", ""mode"": ""无"", ""price"": True, ""price_min"": 0, ""price_max"": 40, ""fast"": False}]",无,,无,特快出租车,出租车,出租车,无,北京新出租，深圳出租，出租车拼车,北京新出租，深圳出租，出租车拼车,True,,True,0,,0,40,,40,1.130351782,"直接命中车小类关键字但answer中没有或错误,直接命中车大类关键字但answer中没有或错误",,王笑,"[{'': '极速拼车'}, {'': '特惠快车'}, {'优享型': 'T3出行'}, {'优享型': '东潮出行'}, {'优享型': '享道出行'}, {'优享型': '优e出行特选'}, {'优享型': '妥妥E行'}, {'优享型': '环旅出行'}, {'优享型': '腾飞出行'}, {'优享型': '风韵出行'}, {'优享型': '飞嘀打车'}, {'六座商务': '宽敞空间 商务体验'}, {'出租车': '车多应答快'}, {'品质专车': '静音不打扰 整洁无异味'}, {'快速出发': '无'}, {'惠享专车': '好车好服务'}, {'惠享专车': '精选车型 优质司机'}, {'拼车': '出租车拼车'}, {'拼车': '特惠快车'}, {'推荐': '极速拼车'}, {'特价出发': '更多特价'}, {'特快车': '超值体验 更快上车'}, {'经济': '首汽约车'}, {'经济型': '900出行'}, {'经济型': 'AA出行'}, {'经济型': '东潮出行'}, {'经济型': '中交出行'}, {'经济型': '享道出行'}, {'经济型': '北京新出租'}, {'经济型': '及时用车'}, {'经济型': '如祺出行'}, {'经济型': '妥妥E行'}, {'经济型': '斑马快跑'}, {'经济型': '旗妙出行'}, {'经济型': '易至出行'}, {'经济型': '曹操出行'}, {'经济型': '深圳出租'}, {'经济型': '神州专车'}, {'经济型': '阳光出行'}, {'经济型': '飞嘀打车'}, {'豪华型': '车型高端 服务专业'}, {'轻享专车': '静音不打扰 整洁无异味'}]",出租车,北京新出租，深圳出租，出租车拼车,,去机场T3航站楼订辆特快出租车预算40元
Qwen2.5-32B-Instruct,到游泳馆南门用滴滴叫辆特快出租车,"|序号id|应用名称|车型大类|车辆类型|价格|
|---|---|---|---|---|
|0|滴滴|推荐|花小猪正价版|22.83|
|1|滴滴|推荐|特惠快车|23.53|
|2|滴滴|推荐|滴滴快车|23.72|
|3|滴滴|推荐|特快出租车|24.78|
|4|滴滴|推荐|滴滴特快|26.23|
|5|滴滴|拼车|特价拼车|23.23-24.53|
|6|滴滴|拼车|极速拼车|26.07-27.08|
|7|滴滴|特价|花小猪外接版|30.00|
|8|滴滴|特价|惊喜特价|31.90|
|9|滴滴|快速|曹操出行|41.16|
|10|滴滴|快速|出租车|41.47|
|11|滴滴|快速|滴滴轻享|41.67|
|12|滴滴|快速|滴滴特快|42.01|
|13|滴滴|快速|滴滴优享|42.79|
|14|滴滴|快速|滴滴快车|44.72|
|15|滴滴|快速|宽敞好车|44.74|
|16|滴滴|快速|方舟行|45.48|
|17|滴滴|快速|长沙新出租|45.64|
|18|滴滴|快速|武汉新出租|46.43|
|19|滴滴|舒适|滴滴专车|54.76|
|20|滴滴|舒适|滴滴豪华车|55.61|
|21|滴滴|六座|六座专车|81.25|
|22|滴滴|六座|六座豪华车|85.85|",,,"[{""app"": ""滴滴"", ""category"": ""特快出租车"", ""mode"": ""无"", ""price"": False, ""price_min"": 0, ""price_max"": 0, ""fast"": False}]",滴滴,,滴滴,特快出租车,无,无,无,特快出租车，出租车，长沙新出租，武汉新出租,特快出租车，出租车，长沙新出租，武汉新出租,False,,False,0,,0,0,,0,1.081457376,直接命中车小类关键字但answer中没有或错误,,王笑,"[{'六座': '六座专车'}, {'六座': '六座豪华车'}, {'快速': '出租车'}, {'快速': '宽敞好车'}, {'快速': '方舟行'}, {'快速': '曹操出行'}, {'快速': '武汉新出租'}, {'快速': '滴滴优享'}, {'快速': '滴滴快车'}, {'快速': '滴滴特快'}, {'快速': '滴滴轻享'}, {'快速': '长沙新出租'}, {'拼车': '极速拼车'}, {'拼车': '特价拼车'}, {'推荐': '滴滴快车'}, {'推荐': '滴滴特快'}, {'推荐': '特快出租车'}, {'推荐': '特惠快车'}, {'推荐': '花小猪正价版'}, {'特价': '惊喜特价'}, {'特价': '花小猪外接版'}, {'舒适': '滴滴专车'}, {'舒适': '滴滴豪华车'}]",无,特快出租车，出租车，长沙新出租，武汉新出租,,到游泳馆南门用滴滴叫辆特快出租车
Qwen2.5-32B-Instruct,想去海鲜市场东门绕开施工段叫特快出租车,"|序号id|应用名称|车型大类|车辆类型|价格|
|---|---|---|---|---|
|0|高德地图|     |极速拼车|48-48|
|1|高德地图|     |特惠快车|54-57|
|2|高德地图|经济型|腾飞出行|57|
|3|高德地图|经济型|J刻出行|58|
|4|高德地图|经济型|日初出行|58|
|5|高德地图|经济型|及时用车|58|
|6|高德地图|经济型|AA出行|58|
|7|高德地图|经济型|北京新出租|58|
|8|高德地图|经济型|飞嘀打车|59|
|9|高德地图|经济型|聚的新出租|59|
|10|高德地图|经济型|首汽约车|59|
|11|高德地图|经济型|斑马快跑|59|
|12|高德地图|经济型|奇华出行|60|
|13|高德地图|经济型|东潮出行|60|
|14|高德地图|经济型|橄榄新出租|60|
|15|高德地图|经济型|365约车|61|
|16|高德地图|经济型|中交出行|61|
|17|高德地图|经济型|易至出行|61|
|18|高德地图|特快车|超值体验 更快上车|66|
|19|高德地图|出租车|车多应答快|72|
|20|高德地图|优享型|腾飞出行|77|
|21|高德地图|优享型|享道出行|77|
|22|高德地图|优享型|火箭出行|77|
|23|高德地图|优享型|及时用车|78|
|24|高德地图|优享型|风韵出行|78|
|25|高德地图|优享型|AA出行|78|
|26|高德地图|优享型|曹操出行|78|
|27|高德地图|优享型|环旅出行|78|
|28|高德地图|优享型|斑马快跑|79|
|29|高德地图|优享型|神州专车|81|
|30|高德地图|优享型|中交出行|81|
|31|高德地图|轻享专车|静音不打扰 整洁无异味|88|
|32|高德地图|品质专车|静音不打扰 整洁无异味|97|
|33|高德地图|六座商务|宽敞空间 商务体验|107|
|34|高德地图|豪华型|车型高端 服务专业|118|
|35|高德地图|经济|首汽约车|128|
|36|高德地图|拼车|特惠快车|139|
|37|高德地图|特价出发|惊喜特价|153|
|38|高德地图|特价出发|更多特价|155|
|39|高德地图|快速出发|无|170|
|40|高德地图|惠享专车|精选车型 优质司机|187|
|41|高德地图|惠享专车|阳光出行|188|
|42|高德地图|推荐|特惠快车|204|
|43|高德地图|豪华型|undefined|133-137|",,,"[{""app"": ""无"", ""category"": ""特快出租车"", ""mode"": ""无"", ""price"": False, ""price_min"": 0, ""price_max"": 0, ""fast"": False}]",无,,无,特快出租车,出租车,出租车,无,北京新出租，聚的新出租，橄榄新出租,北京新出租，聚的新出租，橄榄新出租,False,,False,0,,0,0,,0,1.08411026,"直接命中车小类关键字但answer中没有或错误,直接命中车大类关键字但answer中没有或错误",,王笑,"[{'': '极速拼车'}, {'': '特惠快车'}, {'优享型': 'AA出行'}, {'优享型': '中交出行'}, {'优享型': '享道出行'}, {'优享型': '及时用车'}, {'优享型': '斑马快跑'}, {'优享型': '曹操出行'}, {'优享型': '火箭出行'}, {'优享型': '环旅出行'}, {'优享型': '神州专车'}, {'优享型': '腾飞出行'}, {'优享型': '风韵出行'}, {'六座商务': '宽敞空间 商务体验'}, {'出租车': '车多应答快'}, {'品质专车': '静音不打扰 整洁无异味'}, {'快速出发': '无'}, {'惠享专车': '精选车型 优质司机'}, {'惠享专车': '阳光出行'}, {'拼车': '特惠快车'}, {'推荐': '特惠快车'}, {'特价出发': '惊喜特价'}, {'特价出发': '更多特价'}, {'特快车': '超值体验 更快上车'}, {'经济': '首汽约车'}, {'经济型': '365约车'}, {'经济型': 'AA出行'}, {'经济型': 'J刻出行'}, {'经济型': '东潮出行'}, {'经济型': '中交出行'}, {'经济型': '北京新出租'}, {'经济型': '及时用车'}, {'经济型': '奇华出行'}, {'经济型': '斑马快跑'}, {'经济型': '日初出行'}, {'经济型': '易至出行'}, {'经济型': '橄榄新出租'}, {'经济型': '聚的新出租'}, {'经济型': '腾飞出行'}, {'经济型': '飞嘀打车'}, {'经济型': '首汽约车'}, {'豪华型': '车型高端 服务专业'}, {'轻享专车': '静音不打扰 整洁无异味'}]",出租车,北京新出租，聚的新出租，橄榄新出租,,想去海鲜市场东门绕开施工段叫特快出租车
Qwen2.5-32B-Instruct,要到便利店对面用高德喊辆特快出租车,"|序号id|应用名称|车型大类|车辆类型|价格|
|---|---|---|---|---|
|0|高德地图|     |极速拼车|27-28|
|1|高德地图|     |特惠快车|32-35|
|2|高德地图|经济型|旅程出租|33|
|3|高德地图|经济型|腾飞出行|33|
|4|高德地图|经济型|全民GO|34|
|5|高德地图|经济型|添猫出行|34|
|6|高德地图|经济型|5U出行|35|
|7|高德地图|经济型|曹操出行|36|
|8|高德地图|经济型|飞嘀打车|36|
|9|高德地图|经济型|首汽约车|36|
|10|高德地图|经济型|阳光出行|36|
|11|高德地图|经济型|T3出行|36|
|12|高德地图|经济型|有序出行|37|
|13|高德地图|经济型|星徽出行|37|
|14|高德地图|经济型|中军出行|37|
|15|高德地图|经济型|聚的新出租|37|
|16|高德地图|经济型|易至出行|37|
|17|高德地图|特快车|超值体验 更快上车|39|
|18|高德地图|出租车|车多应答快|41|
|19|高德地图|优享型|腾飞出行|45|
|20|高德地图|优享型|旗妙出行|45|
|21|高德地图|优享型|火箭出行|45|
|22|高德地图|优享型|妥妥E行|46|
|23|高德地图|优享型|AA出行|46|
|24|高德地图|优享型|曹操出行|46|
|25|高德地图|优享型|飞嘀打车|46|
|26|高德地图|优享型|阳光出行|47|
|27|高德地图|优享型|东潮出行|48|
|28|高德地图|优享型|环旅出行|48|
|29|高德地图|优享型|星徽出行|49|
|30|高德地图|优享型|享道出行|49|
|31|高德地图|轻享专车|静音不打扰 整洁无异味|52|
|32|高德地图|品质专车|静音不打扰 整洁无异味|55|
|33|高德地图|六座商务|宽敞空间 商务体验|62|
|34|高德地图|豪华型|车型高端 服务专业|71|
|35|高德地图|经济|首汽约车|76|
|36|高德地图|拼车|出租车拼车|86|
|37|高德地图|特价出发|惊喜特价|91|
|38|高德地图|特价出发|更多特价|91|
|39|高德地图|快速出发|无|100|
|40|高德地图|惠享专车|精选车型 优质司机|111|
|41|高德地图|推荐|特惠快车|124|
|42|高德地图|推荐|极速拼车|124|
