model,query,车辆候选列表,id,大类|小类,标注人,answer,app,正确答案,category,category正确答案,mode,mode正确答案,price,price正确答案,price_min,price_min正确答案,price_max,price_max正确答案,think_time,问题,备注,标注人,,,,,,
Qwen2.5-32B-Instruct,打车去深圳大学，选36-43元之间的车型,"

|序号id|应用名称|车型大类|车辆类型|价格|
|---|---|---|---|---|
|0|高德地图||极速拼车|22.5-34.0|
|1|高德地图||特惠快车|27.5-30.7|
|2|高德地图|经济型|5U出行|29|
|3|高德地图|经济型|神州专车|30|
|4|高德地图|经济型|斑马快跑|31|
|5|高德地图|经济型|如祺出行|31|
|6|高德地图|经济型|飞嘀打车|31|
|7|高德地图|经济型|中交出行|31|
|8|高德地图|经济型|中军出行|31|
|9|高德地图|经济型|曹操出行|31|
|10|高德地图|经济型|东潮出行|31|
|11|高德地图|经济型|妥妥E行|31|
|12|高德地图|经济型|全民GO|31|
|13|高德地图|经济型|及时用车|33|
|14|高德地图|经济型|享道出行|36|
|15|高德地图|经济型|T3出行|37|
|16|高德地图|经济型|阳光出行|40|
|17|高德地图|经济型|聚的新出租|55|
|18|高德地图|经济型|深圳出租|55|
|19|高德地图|特快车|undefined|48|
|20|高德地图|出租车|undefined||
|21|高德地图|惠享专车|undefined|43-48|
|22|高德地图|优享型|中交出行|35|
|23|高德地图|优享型|东潮出行|37|
|24|高德地图|优享型|神州专车|37|
|25|高德地图|优享型|享道出行|38|
|26|高德地图|优享型|飞嘀打车|39|
|27|高德地图|优享型|妥妥E行|40|
|28|高德地图|优享型|全民GO|40|
|29|高德地图|优享型|曹操出行|41|
|30|高德地图|优享型|斑马快跑|42|
|31|高德地图|优享型|及时用车|42|
|32|高德地图|优享型|T3出行|42|
|33|高德地图|优享型|首汽约车|48|
|34|高德地图|优享型|阳光出行|48|
|35|高德地图|轻享专车|undefined|46-64|
|36|高德地图|六座商务|undefined|86-97|
|37|高德地图|豪华型|undefined|96-104|",无,无|无,顾存虹,"[{""app"": ""无"", ""category"": ""无"", ""mode"": ""无"", ""price"": True, ""price_min"": 36, ""price_max"": 43, ""fast"": False}]",无,,无,,无,,TRUE,,36,,43,,1.092392445,,,王笑,,,,,,
Qwen2.5-32B-Instruct,打车去梅村，选30元以上的车型,"

|序号id|应用名称|车型大类|车辆类型|价格|
|---|---|---|---|---|
|0|高德地图||极速拼车|10.1-16.0|
|1|高德地图||特惠快车|11.8-14.8|
|2|高德地图|经济型|聚的新出租|11|
|3|高德地图|经济型|深圳出租|11|
|4|高德地图|经济型|中交出行|12|
|5|高德地图|经济型|T3出行|13|
|6|高德地图|经济型|神州专车|13|
|7|高德地图|经济型|曹操出行|13|
|8|高德地图|经济型|及时用车|14|
|9|高德地图|经济型|全民GO|14|
|10|高德地图|经济型|妥妥E行|14|
|11|高德地图|经济型|如祺出行|14|
|12|高德地图|经济型|5U出行|14|
|13|高德地图|经济型|东潮出行|14|
|14|高德地图|经济型|享道出行|15|
|15|高德地图|经济型|首汽约车|15|
|16|高德地图|经济型|斑马快跑|16|
|17|高德地图|经济型|飞嘀打车|16|
|18|高德地图|经济型|阳光出行|17|
|19|高德地图|经济型|中军出行|23|
|20|高德地图|特快车|undefined|19|
|21|高德地图|出租车|undefined||
|22|高德地图|优享型|中交出行|13|
|23|高德地图|优享型|T3出行|14|
|24|高德地图|优享型|神州专车|15|
|25|高德地图|优享型|东潮出行|15|
|26|高德地图|优享型|及时用车|15|
|27|高德地图|优享型|全民GO|15|
|28|高德地图|优享型|妥妥E行|15|
|29|高德地图|优享型|曹操出行|15|
|30|高德地图|优享型|飞嘀打车|17|
|31|高德地图|优享型|阳光出行|19|
|32|高德地图|优享型|斑马快跑|22|
|33|高德地图|轻享专车|undefined|15-29|
|34|高德地图|六座商务|undefined|25-34|
|35|高德地图|豪华型|undefined|30-39|",无,无|无,顾存虹,"[{""app"": ""无"", ""category"": ""无"", ""mode"": ""无"", ""price"": True, ""price_min"": 30, ""price_max"": 100000, ""fast"": False}]",无,,无,,无,,TRUE,,30,,100000,,1.167139053,,,王笑,,,,,,
Qwen2.5-32B-Instruct,打车去白石龙，选40元以上的车型,"

|序号id|应用名称|车型大类|车辆类型|价格|
|---|---|---|---|---|
|0|高德地图||极速拼车|11.7-19.0|
|1|高德地图||特惠快车|9.5-12.4|
|2|高德地图|经济型|曹操出行|9|
|3|高德地图|经济型|首汽约车|11|
|4|高德地图|经济型|中交出行|11|
|5|高德地图|经济型|如祺出行|11|
|6|高德地图|经济型|5U出行|11|
|7|高德地图|经济型|妥妥E行|11|
|8|高德地图|经济型|全民GO|11|
|9|高德地图|经济型|神州专车|11|
|10|高德地图|经济型|T3出行|11|
|11|高德地图|经济型|及时用车|11|
|12|高德地图|经济型|东潮出行|13|
|13|高德地图|经济型|享道出行|13|
|14|高德地图|经济型|飞嘀打车|14|
|15|高德地图|经济型|阳光出行|15|
|16|高德地图|经济型|斑马快跑|15|
|17|高德地图|经济型|中军出行|16|
|18|高德地图|经济型|聚的新出租|19|
|19|高德地图|经济型|深圳出租|19|
|20|高德地图|特快车|undefined|19|
|21|高德地图|出租车|undefined||
|22|高德地图|惠享专车|undefined|12|
|23|高德地图|优享型|中交出行|12|
|24|高德地图|优享型|神州专车|13|
|25|高德地图|优享型|全民GO|14|
|26|高德地图|优享型|妥妥E行|14|
|27|高德地图|优享型|及时用车|14|
|28|高德地图|优享型|T3出行|14|
|29|高德地图|优享型|飞嘀打车|15|
|30|高德地图|优享型|首汽约车|15|
|31|高德地图|优享型|阳光出行|17|
|32|高德地图|优享型|曹操出行|20|
|33|高德地图|轻享专车|undefined|16-27|
|34|高德地图|六座商务|undefined|28-43|
|35|高德地图|豪华型|undefined|34-44|",无,无|无,顾存虹,"[{""app"": ""无"", ""category"": ""无"", ""mode"": ""无"", ""price"": True, ""price_min"": 40, ""price_max"": 100000, ""fast"": False}]",无,,无,,无,,TRUE,,40,,100000,,1.180364847,,,王笑,,,,,,
Qwen2.5-32B-Instruct,打车去福田CBD，选30元以内的车型,"

|序号id|应用名称|车型大类|车辆类型|价格|
|---|---|---|---|---|
|0|高德地图||极速拼车|13.0-20.0|
|1|高德地图||特惠快车|15.5-20.9|
|2|高德地图|经济型|曹操出行|15|
|3|高德地图|经济型|T3出行|15|
|4|高德地图|经济型|中交出行|17|
|5|高德地图|经济型|东潮出行|17|
|6|高德地图|经济型|神州专车|17|
|7|高德地图|经济型|妥妥E行|18|
|8|高德地图|经济型|如祺出行|19|
|9|高德地图|经济型|及时用车|19|
|10|高德地图|经济型|5U出行|19|
|11|高德地图|经济型|全民GO|19|
|12|高德地图|经济型|飞嘀打车|19|
|13|高德地图|经济型|享道出行|20|
|14|高德地图|经济型|斑马快跑|20|
|15|高德地图|经济型|首汽约车|21|
|16|高德地图|经济型|阳光出行|21|
|17|高德地图|经济型|中军出行|23|
|18|高德地图|经济型|聚的新出租|24|
|19|高德地图|经济型|深圳出租|24|
|20|高德地图|特快车|undefined|27|
|21|高德地图|出租车|undefined||
|22|高德地图|惠享专车|undefined|21|
|23|高德地图|优享型|中交出行|19|
|24|高德地图|优享型|飞嘀打车|20|
|25|高德地图|优享型|神州专车|21|
|26|高德地图|优享型|东潮出行|21|
|27|高德地图|优享型|T3出行|21|
|28|高德地图|优享型|曹操出行|21|
|29|高德地图|优享型|妥妥E行|21|
|30|高德地图|优享型|全民GO|22|
|31|高德地图|优享型|及时用车|22|
|32|高德地图|优享型|首汽约车|23|
|33|高德地图|优享型|斑马快跑|25|
|34|高德地图|轻享专车|undefined|24-33|
|35|高德地图|六座商务|undefined|41-51|
|36|高德地图|豪华型|undefined|47-55|",无,无|无,顾存虹,"[{""app"": ""无"", ""category"": ""无"", ""mode"": ""无"", ""price"": True, ""price_min"": 0, ""price_max"": 30, ""fast"": False}]",无,,无,,无,,TRUE,,0,,30,,1.05302763,,,王笑,,,,,,
Qwen2.5-32B-Instruct,打车从动物园到国际会展中心，选98元以内的车型,"
|序号id|应用名称|车型大类|车辆类型|价格| 
|---|---|---|---|---| 
|2|高德地图|经济型|5U出行|60| 
|3|高德地图|经济型|中军出行|62| 
|4|高德地图|经济型|享道出行|63| 
|5|高德地图|经济型|斑马快跑|63| 
|6|高德地图|经济型|东潮出行|63| 
|7|高德地图|经济型|神州专车|63| 
|8|高德地图|经济型|中交出行|64| 
|9|高德地图|经济型|全民GO|65| 
|10|高德地图|经济型|妥妥E行|66| 
|11|高德地图|经济型|及时用车|67| 
|12|高德地图|经济型|曹操出行|69| 
|13|高德地图|经济型|飞嘀打车|72| 
|14|高德地图|经济型|T3出行|78| 
|15|高德地图|经济型|阳光出行|84| 
|21|高德地图|优享型|享道出行|74| 
|22|高德地图|优享型|中交出行|75| 
|23|高德地图|优享型|东潮出行|76| 
|24|高德地图|优享型|神州专车|76| 
|25|高德地图|优享型|飞嘀打车|78| 
|26|高德地图|优享型|妥妥E行|83| 
|27|高德地图|优享型|全民GO|84| 
|29|高德地图|优享型|及时用车|88| 
|30|高德地图|优享型|曹操出行|88| 
|31|高德地图|优享型|T3出行|90|",无,无|无,顾存虹,"[{""app"": ""无"", ""category"": ""无"", ""mode"": ""无"", ""price"": True, ""price_min"": 0, ""price_max"": 98, ""fast"": False}]",无,,无,,无,,TRUE,,0,,98,,1.09508729,,,王笑,,,,,,
Qwen2.5-32B-Instruct,打车去龙岗大道，选35-40元之间的车型,"

|序号id|应用名称|车型大类|车辆类型|价格|
|---|---|---|---|---|
|0|高德地图||极速拼车|24.1-36.0|
|1|高德地图||特惠快车|28.6-40.5|
|2|高德地图|经济型|曹操出行|31|
|3|高德地图|经济型|5U出行|32|
|4|高德地图|经济型|斑马快跑|32|
|5|高德地图|经济型|神州专车|32|
|6|高德地图|经济型|中交出行|32|
|7|高德地图|经济型|飞嘀打车|33|
|8|高德地图|经济型|如祺出行|33|
|9|高德地图|经济型|中军出行|34|
|10|高德地图|经济型|妥妥E行|34|
|11|高德地图|经济型|全民GO|34|
|12|高德地图|经济型|东潮出行|35|
|13|高德地图|经济型|及时用车|36|
|14|高德地图|经济型|T3出行|41|
|15|高德地图|经济型|阳光出行|43|
|16|高德地图|经济型|聚的新出租|58|
|17|高德地图|经济型|深圳出租|58|
|18|高德地图|特快车|undefined|53|
|19|高德地图|出租车|undefined||
|20|高德地图|惠享专车|undefined|47-53|
|21|高德地图|优享型|中交出行|39|
|22|高德地图|优享型|东潮出行|40|
|23|高德地图|优享型|神州专车|41|
|24|高德地图|优享型|享道出行|42|
|25|高德地图|优享型|飞嘀打车|43|
|26|高德地图|优享型|妥妥E行|43|
|27|高德地图|优享型|全民GO|44|
|28|高德地图|优享型|斑马快跑|45|
|29|高德地图|优享型|曹操出行|45|
|30|高德地图|优享型|及时用车|46|
|31|高德地图|优享型|T3出行|47|
|32|高德地图|优享型|阳光出行|51|
|33|高德地图|优享型|首汽约车|53|
|34|高德地图|轻享专车|undefined|50-64|
|35|高德地图|六座商务|undefined|95-103|
|36|高德地图|豪华型|undefined|105-114|\",无,无|无,顾存虹,"[{""app"": ""无"", ""category"": ""无"", ""mode"": ""无"", ""price"": True, ""price_min"": 35, ""price_max"": 40, ""fast"": False}]",无,,无,,无,,TRUE,,35,,40,,1.071296692,,,王笑,,,,,,
Qwen2.5-32B-Instruct,打车去阿里中心，选最贵的车型,"

|序号id|应用名称|车型大类|车辆类型|价格|
|---|---|---|---|---|
|0|高德地图||极速拼车|24.5-37.0|
|1|高德地图||特惠快车|25.5-35|
|2|高德地图|经济型|T3出行|28|
|3|高德地图|经济型|飞嘀打车|28|
|4|高德地图|经济型|中军出行|28|
|5|高德地图|经济型|斑马快跑|28|
|6|高德地图|经济型|5U出行|29|
|7|高德地图|经济型|东潮出行|29|
|8|高德地图|经济型|神州专车|29|
|9|高德地图|经济型|中交出行|29|
|10|高德地图|经济型|妥妥E行|30|
|11|高德地图|经济型|如祺出行|31|
|12|高德地图|经济型|曹操出行|31|
|13|高德地图|经济型|及时用车|31|
|14|高德地图|经济型|享道出行|32|
|15|高德地图|经济型|全民GO|32|
|16|高德地图|经济型|首汽约车|37|
|17|高德地图|经济型|阳光出行|43|
|18|高德地图|经济型|聚的新出租|59|
|19|高德地图|经济型|深圳出租|59|
|20|高德地图|特快车|undefined|45|
|21|高德地图|出租车|undefined||
|22|高德地图|惠享专车|undefined|45-51|
|23|高德地图|优享型|享道出行|34|
|24|高德地图|优享型|中交出行|34|
|25|高德地图|优享型|神州专车|36|
|26|高德地图|优享型|东潮出行|36|
|27|高德地图|优享型|斑马快跑|38|
|28|高德地图|优享型|全民GO|39|
|29|高德地图|优享型|飞嘀打车|39|
|30|高德地图|优享型|妥妥E行|40|
|31|高德地图|优享型|及时用车|41|
|32|高德地图|优享型|首汽约车|45|
|33|高德地图|优享型|T3出行|46|
|34|高德地图|优享型|曹操出行|46|
|35|高德地图|优享型|阳光出行|52|
|36|高德地图|六座商务|undefined|90-115|
|37|高德地图|豪华型|undefined|101-108|\",无,无|无,顾存虹,"[{""app"": ""无"", ""category"": ""无"", ""mode"": ""无"", ""price"": True, ""price_min"": 0, ""price_max"": -1, ""fast"": False}]",无,,无,,无,,TRUE,,0,,-1,,1.075193644,,,王笑,,,,,,
Qwen2.5-32B-Instruct,打车去卓越后海，选最便宜的车型,"

|序号id|应用名称|车型大类|车辆类型|价格|
|---|---|---|---|---|
|0|高德地图||极速拼车|23.4-35.0|
|1|高德地图||特惠快车|24.5-28.8|
|2|高德地图|经济型|T3出行|26|
|3|高德地图|经济型|飞嘀打车|26|
|4|高德地图|经济型|中军出行|26|
|5|高德地图|经济型|神州专车|26|
|6|高德地图|经济型|5U出行|27|
|7|高德地图|经济型|斑马快跑|27|
|8|高德地图|经济型|东潮出行|27|
|9|高德地图|经济型|中交出行|27|
|10|高德地图|经济型|如祺出行|29|
|11|高德地图|经济型|曹操出行|29|
|12|高德地图|经济型|及时用车|29|
|13|高德地图|经济型|妥妥E行|29|
|14|高德地图|经济型|全民GO|29|
|15|高德地图|经济型|享道出行|30|
|16|高德地图|经济型|首汽约车|35|
|17|高德地图|经济型|阳光出行|40|
|18|高德地图|经济型|聚的新出租|55|
|19|高德地图|经济型|深圳出租|55|
|20|高德地图|特快车|undefined|42|
|21|高德地图|出租车|undefined||
|22|高德地图|惠享专车|undefined|42-48|
|23|高德地图|优享型|享道出行|32|
|24|高德地图|优享型|中交出行|32|
|25|高德地图|优享型|神州专车|34|
|26|高德地图|优享型|东潮出行|34|
|27|高德地图|优享型|斑马快跑|36|
|28|高德地图|优享型|全民GO|37|
|29|高德地图|优享型|飞嘀打车|37|
|30|高德地图|优享型|妥妥E行|37|
|31|高德地图|优享型|及时用车|39|
|32|高德地图|优享型|首汽约车|42|
|33|高德地图|优享型|T3出行|43|
|34|高德地图|优享型|曹操出行|44|
|35|高德地图|优享型|阳光出行|48|
|36|高德地图|轻享专车|undefined|43|
|37|高德地图|六座商务|undefined|85-109|
|38|高德地图|豪华型|undefined|96-103|\",无,无|无,顾存虹,"[{""app"": ""无"", ""category"": ""无"", ""mode"": ""无"", ""price"": True, ""price_min"": -1, ""price_max"": 0, ""fast"": False}]",无,,无,,无,,TRUE,,-1,,0,,1.044778347,,,王笑,,,,,,
Qwen2.5-32B-Instruct,打车去留仙洞，选所有价格车型,"

|序号id|应用名称|车型大类|车辆类型|价格|
|---|---|---|---|---|
|0|高德地图||极速拼车|21.2-32.0|
|1|高德地图||特惠快车|21.5-29.1|
|2|高德地图|经济型|飞嘀打车|23|
|3|高德地图|经济型|T3出行|23|
|4|高德地图|经济型|曹操出行|23|
|5|高德地图|经济型|斑马快跑|24|
|6|高德地图|经济型|中交出行|24|
|7|高德地图|经济型|中军出行|25|
|8|高德地图|经济型|东潮出行|25|
|9|高德地图|经济型|神州专车|25|
|10|高德地图|经济型|5U出行|25|
|11|高德地图|经济型|如祺出行|26|
|12|高德地图|经济型|及时用车|26|
|13|高德地图|经济型|全民GO|26|
|14|高德地图|经济型|妥妥E行|26|
|15|高德地图|经济型|享道出行|27|
|16|高德地图|经济型|首汽约车|31|
|17|高德地图|经济型|阳光出行|37|
|18|高德地图|经济型|聚的新出租|47|
|19|高德地图|经济型|深圳出租|47|
|20|高德地图|特快车|undefined|38|
|21|高德地图|出租车|undefined||
|22|高德地图|惠享专车|undefined|37-39|
|23|高德地图|优享型|享道出行|29|
|24|高德地图|优享型|中交出行|29|
|25|高德地图|优享型|神州专车|31|
|26|高德地图|优享型|东潮出行|31|
|27|高德地图|优享型|飞嘀打车|33|
|28|高德地图|优享型|全民GO|33|
|29|高德地图|优享型|斑马快跑|33|
|30|高德地图|优享型|妥妥E行|34|
|31|高德地图|优享型|及时用车|35|
|32|高德地图|优享型|曹操出行|36|
|33|高德地图|优享型|首汽约车|38|
|34|高德地图|优享型|T3出行|39|
|35|高德地图|优享型|阳光出行|44|
|36|高德地图|六座商务|undefined|76-94|
|37|高德地图|豪华型|undefined|86-93|",all,all|all,顾存虹,"[{""app"": ""无"", ""category"": ""无"", ""mode"": ""所有车型"", ""price"": True, ""price_min"": 0, ""price_max"": 100000, ""fast"": False}]",无,,无,all,所有车型,all,TRUE,,0,,100000,,1.148460865,其他,所有车型应填无,王笑,,,,,,
Qwen2.5-32B-Instruct,打车去小梅沙，只打拼车,"

|序号id|应用名称|车型大类|车辆类型|价格|
|---|---|---|---|---|
|0|高德地图||远途极速拼|40.0-95.0|
|1|高德地图||特惠快车|51.5-83.8|
|2|高德地图|经济型|5U出行|55|
|3|高德地图|经济型|中军出行|57|
|4|高德地图|经济型|斑马快跑|58|
|5|高德地图|经济型|飞嘀打车|59|
|6|高德地图|经济型|曹操出行|59|
|7|高德地图|经济型|东潮出行|59|
|8|高德地图|经济型|神州专车|59|
|9|高德地图|经济型|如祺出行|60|
|10|高德地图|经济型|中交出行|60|
|11|高德地图|经济型|T3出行|61|
|12|高德地图|经济型|妥妥E行|61|
|13|高德地图|经济型|全民GO|62|
|14|高德地图|经济型|及时用车|63|
|15|高德地图|经济型|享道出行|65|
|16|高德地图|经济型|聚的新出租|114|
|17|高德地图|经济型|深圳出租|114|
|18|高德地图|特快车|undefined|95|
|19|高德地图|出租车|undefined||
|20|高德地图|优享型|中交出行|68|
|21|高德地图|优享型|东潮出行|69|
|22|高德地图|优享型|神州专车|70|
|23|高德地图|优享型|曹操出行|72|
|24|高德地图|优享型|飞嘀打车|73|
|25|高德地图|优享型|妥妥E行|75|
|26|高德地图|优享型|全民GO|77|
|27|高德地图|优享型|斑马快跑|78|
|28|高德地图|优享型|享道出行|78|
|29|高德地图|优享型|及时用车|80|
|30|高德地图|优享型|T3出行|84|
|31|高德地图|轻享专车|undefined|89-112|
|32|高德地图|六座商务|undefined|173-204|
|33|高德地图|豪华型|undefined|192-200|",0,|远途极速拼,顾存虹,"[{""app"": ""无"", ""category"": ""拼车"", ""mode"": ""无"", ""price"": False, ""price_min"": 0, ""price_max"": 0, ""fast"": False}]",无,,拼车,无,无,远途极速拼,FALSE,,0,,0,,0.977394104,"直接命中车小类关键字但answer中没有或错误,answer下的车型必须存在于“车辆候选列表”",,王笑,,,,,,
Qwen2.5-32B-Instruct,打车去龙华福茂新村4栋，只打特惠快车,"

|序号id|应用名称|车型大类|车辆类型|价格|
|---|---|---|---|---|
|0|高德地图||极速拼车|20.6-31.0|
|1|高德地图||特惠快车|20.5-27.8|
|2|高德地图|经济型|曹操出行|21|
|3|高德地图|经济型|飞嘀打车|23|
|4|高德地图|经济型|T3出行|23|
|5|高德地图|经济型|斑马快跑|23|
|6|高德地图|经济型|中交出行|23|
|7|高德地图|经济型|中军出行|24|
|8|高德地图|经济型|如祺出行|24|
|9|高德地图|经济型|东潮出行|24|
|10|高德地图|经济型|神州专车|24|
|11|高德地图|经济型|5U出行|24|
|12|高德地图|经济型|及时用车|25|
|13|高德地图|经济型|全民GO|25|
|14|高德地图|经济型|妥妥E行|25|
|15|高德地图|经济型|享道出行|26|
|16|高德地图|经济型|首汽约车|29|
|17|高德地图|经济型|阳光出行|32|
|18|高德地图|经济型|聚的新出租|47|
|19|高德地图|经济型|深圳出租|47|
|20|高德地图|特快车|undefined|37|
|21|高德地图|出租车|undefined||
|22|高德地图|惠享专车|undefined|35-38|
|23|高德地图|优享型|享道出行|28|
|24|高德地图|优享型|中交出行|28|
|25|高德地图|优享型|神州专车|29|
|26|高德地图|优享型|东潮出行|30|
|27|高德地图|优享型|全民GO|32|
|28|高德地图|优享型|飞嘀打车|32|
|29|高德地图|优享型|斑马快跑|32|
|30|高德地图|优享型|妥妥E行|32|
|31|高德地图|优享型|及时用车|33|
|32|高德地图|优享型|曹操出行|34|
|33|高德地图|优享型|首汽约车|36|
|34|高德地图|优享型|T3出行|36|
|35|高德地图|优享型|阳光出行|38|
|36|高德地图|轻享专车|undefined|36-37|
|37|高德地图|六座商务|undefined|72-90|
|38|高德地图|豪华型|undefined|83-89|",1,|特惠快车,顾存虹,"[{""app"": ""无"", ""category"": ""特惠快车"", ""mode"": ""无"", ""price"": False, ""price_min"": 0, ""price_max"": 0, ""fast"": False}]",无,,特惠快车,无,无,特惠快车,FALSE,,0,,0,,1.100405455,"直接命中车小类关键字但answer中没有或错误,answer下的车型必须存在于“车辆候选列表”",,王笑,,,,,,
Qwen2.5-32B-Instruct,打车去深圳北站，只打经济车,"

|序号id|应用名称|车型大类|车辆类型|价格|
|---|---|---|---|---|
|0|高德地图||极速拼车|18.2-27.0|
|1|高德地图||特惠快车|17.5-22.5|
|2|高德地图|经济型|曹操出行|19|
|3|高德地图|经济型|飞嘀打车|19|
|4|高德地图|经济型|中交出行|19|
|5|高德地图|经济型|T3出行|20|
|6|高德地图|经济型|东潮出行|20|
|7|高德地图|经济型|神州专车|20|
|8|高德地图|经济型|5U出行|20|
|9|高德地图|经济型|如祺出行|21|
|10|高德地图|经济型|及时用车|21|
|11|高德地图|经济型|斑马快跑|21|
|12|高德地图|经济型|妥妥E行|21|
|13|高德地图|经济型|全民GO|21|
|14|高德地图|经济型|中军出行|22|
|15|高德地图|经济型|享道出行|23|
|16|高德地图|经济型|首汽约车|24|
|17|高德地图|经济型|阳光出行|29|
|18|高德地图|经济型|聚的新出租|40|
|19|高德地图|经济型|深圳出租|40|
|20|高德地图|特快车|undefined|31|
|21|高德地图|出租车|undefined||
|22|高德地图|惠享专车|undefined|29-30|
|23|高德地图|优享型|中交出行|23|
|24|高德地图|优享型|神州专车|25|
|25|高德地图|优享型|东潮出行|25|
|26|高德地图|优享型|飞嘀打车|26|
|27|高德地图|优享型|全民GO|27|
|28|高德地图|优享型|斑马快跑|27|
|29|高德地图|优享型|妥妥E行|27|
|30|高德地图|优享型|及时用车|28|
|31|高德地图|优享型|曹操出行|30|
|32|高德地图|优享型|首汽约车|30|
|33|高德地图|优享型|T3出行|31|
|34|高德地图|优享型|阳光出行|35|
|35|高德地图|轻享专车|undefined|31|
|36|高德地图|六座商务|undefined|60-78|
|37|高德地图|豪华型|undefined|69-77|\","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19","|特惠快车,经济型|曹操出行,经济型|飞嘀打车,经济型|中交出行,经济型|T3出行,经济型|东潮出行,经济型|神州专车,经济型|5U出行,经济型|如祺出行,经济型|及时用车,经济型|斑马快跑,经济型|妥妥E行,经济型|全民GO,经济型|中军出行,经济型|享道出行,经济型|首汽约车,经济型|阳光出行,经济型|聚的新出租,经济型|深圳出租",顾存虹,"[{""app"": ""无"", ""category"": ""经济车"", ""mode"": ""无"", ""price"": False, ""price_min"": 0, ""price_max"": 0, ""fast"": False}]",无,,经济车,经济型,无,特惠快车,FALSE,,0,,0,,1.068236113,"直接命中车小类关键字但answer中没有或错误,直接命中车大类关键字但answer中没有或错误",,王笑,,,,,,
Qwen2.5-32B-Instruct,打车去梅林关，只打特快车,"

|序号id|应用名称|车型大类|车辆类型|价格|
|---|---|---|---|---|
|0|高德地图||极速拼车|10.8-18.0|
|1|高德地图||特惠快车|8.5-11.2|
|2|高德地图|经济型|曹操出行|9|
|3|高德地图|经济型|及时用车|9|
|4|高德地图|经济型|中交出行|10|
|5|高德地图|经济型|如祺出行|10|
|6|高德地图|经济型|妥妥E行|10|
|7|高德地图|经济型|全民GO|10|
|8|高德地图|经济型|神州专车|10|
|9|高德地图|经济型|T3出行|10|
|10|高德地图|经济型|东潮出行|11|
|11|高德地图|经济型|5U出行|11|
|12|高德地图|经济型|享道出行|12|
|13|高德地图|经济型|飞嘀打车|13|
|14|高德地图|经济型|阳光出行|13|
|15|高德地图|经济型|首汽约车|13|
|16|高德地图|经济型|斑马快跑|14|
|17|高德地图|经济型|聚的新出租|14|
|18|高德地图|经济型|深圳出租|14|
|19|高德地图|经济型|中军出行|20|
|20|高德地图|特快车|undefined|17|
|21|高德地图|出租车|undefined||
|22|高德地图|惠享专车|undefined|10-13|
|23|高德地图|优享型|东潮出行|12|
|24|高德地图|优享型|神州专车|12|
|25|高德地图|优享型|全民GO|12|
|26|高德地图|优享型|妥妥E行|12|
|27|高德地图|优享型|T3出行|12|
|28|高德地图|优享型|及时用车|12|
|29|高德地图|优享型|首汽约车|14|
|30|高德地图|优享型|阳光出行|14|
|31|高德地图|轻享专车|undefined|14|
|32|高德地图|六座商务|undefined|24-36|
|33|高德地图|豪华型|undefined|30-44|\","1,20","|特惠快车,特快车|undefined",顾存虹,"[{""app"": ""无"", ""category"": ""特快车"", ""mode"": ""无"", ""price"": False, ""price_min"": 0, ""price_max"": 0, ""fast"": False}]",无,,特快车,,无,特惠快车,FALSE,,0,,0,,1.106947184,直接命中车小类关键字但answer中没有或错误,,王笑,,,,,,
