车列表名称,车列表参数,车型理解,车列表,sysSessionId,模型1返回结果,input,output,output标准答案,模型2返回结果,模型2标准答案,模型1三大项标注,模型1最快打车意图标注,app字段准确性,category，mode车型字段准确性,"price，price_min, price_max价格字段准确性",fast最快打车意图字段准确性,模型2准确率,模型2召回率,
,,江汉路到黄鹤楼需要六座专车，带着五人的设计团队去采风,滴滴车列表,sessionId20250624lhx1035,"{'appName': '', 'carModelRelated': False, 'categoryRelated': True, 'fastRelated': False, 'priceRelated': False}","[{""content"":""# 用户需求：\n江汉路到黄鹤楼需要六座专车，带着五人的设计团队去采风\n\n"",""exts"":""{\""userHistoryInputContent\"":\""江汉路到黄鹤楼需要六座专车，带着五人的设计团队去采风\""}""}]","```json
[{""app"": ""无"", ""category"": ""六座专车"", ""mode"": ""无"", ""price"": false, ""price_min"": 0, ""price_max"": 0, ""fast"": false}]
```","```json
[{""app"": ""无"", ""category"": ""六座专车"", ""mode"": ""无"", ""price"": false, ""price_min"": 0, ""price_max"": 0, ""fast"": false}]
```",['16'],['16'],1,1,1,1,1,1,1,1,
,,橘子洲头到岳麓山叫滴滴代驾，喝完酒正好有人帮忙开车,滴滴车列表,sessionId20250624lhx1036,"{'appName': '滴滴', 'carModelRelated': True, 'categoryRelated': False, 'fastRelated': False, 'priceRelated': False}","[{""content"":""# 用户需求：\n橘子洲头到岳麓山叫滴滴代驾，喝完酒正好有人帮忙开车\n\n"",""exts"":""{\""userHistoryInputContent\"":\""橘子洲头到岳麓山叫滴滴代驾，喝完酒正好有人帮忙开车\""}""}]","```json
[{""app"": ""滴滴"", ""category"": ""无"", ""mode"": ""代驾"", ""price"": false, ""price_min"": 0, ""price_max"": 0, ""fast"": false}]
```","```json
[{""app"": ""滴滴"", ""category"": ""无"", ""mode"": ""代驾"", ""price"": false, ""price_min"": 0, ""price_max"": 0, ""fast"": false}]
```",['17'],['17'],1,1,1,1,1,1,1,1,
,,苏州工业园区到周庄下单滴滴包车，周末带家人古镇一日游,滴滴车列表,sessionId20250624lhx1037,"{'appName': '滴滴', 'carModelRelated': False, 'categoryRelated': True, 'fastRelated': False, 'priceRelated': False}","[{""content"":""# 用户需求：\n苏州工业园区到周庄下单滴滴包车，周末带家人古镇一日游\n\n"",""exts"":""{\""userHistoryInputContent\"":\""苏州工业园区到周庄下单滴滴包车，周末带家人古镇一日游\""}""}]","```json
[{""app"": ""滴滴"", ""category"": ""包车"", ""mode"": ""无"", ""price"": false, ""price_min"": 0, ""price_max"": 0, ""fast"": false}]
```","```json
[{""app"": ""滴滴"", ""category"": ""包车"", ""mode"": ""无"", ""price"": false, ""price_min"": 0, ""price_max"": 0, ""fast"": false}]
```",['19'],['19'],1,1,1,1,1,1,1,1,
,,郑州二七塔到少林寺预约滴滴专车，武术器材需要专人押运,滴滴车列表,sessionId20250624lhx1038,"{'appName': '滴滴', 'carModelRelated': False, 'categoryRelated': True, 'fastRelated': False, 'priceRelated': False}","[{""content"":""# 用户需求：\n郑州二七塔到少林寺预约滴滴专车，武术器材需要专人押运\n\n"",""exts"":""{\""userHistoryInputContent\"":\""郑州二七塔到少林寺预约滴滴专车，武术器材需要专人押运\""}""}]","```json
[{""app"": ""滴滴"", ""category"": ""专车"", ""mode"": ""无"", ""price"": false, ""price_min"": 0, ""price_max"": 0, ""fast"": false}]
```","```json
[{""app"": ""滴滴"", ""category"": ""专车"", ""mode"": ""无"", ""price"": false, ""price_min"": 0, ""price_max"": 0, ""fast"": false}]
```","['14', '16', '28']","['14', '16' ,'28']",1,1,1,1,1,1,1,1,
,,天津之眼到滨海新区选快车服务，紧急文件必须两小时送达,滴滴车列表,sessionId20250624lhx1039,"{'appName': '', 'carModelRelated': False, 'categoryRelated': True, 'fastRelated': False, 'priceRelated': False}","[{""content"":""# 用户需求：\n天津之眼到滨海新区选快车服务，紧急文件必须两小时送达\n\n"",""exts"":""{\""userHistoryInputContent\"":\""天津之眼到滨海新区选快车服务，紧急文件必须两小时送达\""}""}]","```json
[{""app"": ""无"", ""category"": ""快车"", ""mode"": ""无"", ""price"": false, ""price_min"": 0, ""price_max"": 0, ""fast"": false}]
```","```json
[{""app"": ""无"", ""category"": ""快车"", ""mode"": ""无"", ""price"": false, ""price_min"": 0, ""price_max"": 0, ""fast"": false}]
```","['2', '3', '7', '8', '9', '10', '11', '12', '13']","['2','3','7','8','9','10','11','12','13']",1,1,1,1,1,1,1,1,
,,厦门大学到曾厝垵需要惊喜特价车型，学生社团搞活动预算有限,滴滴车列表,sessionId20250624lhx1040,"{'appName': '', 'carModelRelated': False, 'categoryRelated': True, 'fastRelated': False, 'priceRelated': True}","[{""content"":""# 用户需求：\n厦门大学到曾厝垵需要惊喜特价车型，学生社团搞活动预算有限\n\n"",""exts"":""{\""userHistoryInputContent\"":\""厦门大学到曾厝垵需要惊喜特价车型，学生社团搞活动预算有限\""}""}]","```json
[{""app"": ""无"", ""category"": ""惊喜特价车型"", ""mode"": ""无"", ""price"": true, ""price_min"": 0, ""price_max"": 0, ""fast"": false}]
```","```json
[{""app"": ""无"", ""category"": ""惊喜特价车型"", ""mode"": ""无"", ""price"": true, ""price_min"": 0, ""price_max"": 0, ""fast"": false}]
```","['22', '29']","['2','4','6','7','22','29']",0,1,1,1,1,1,1,0.33,
,,栈桥到金沙滩叫花小猪正价版车型的车，海边团建正好用企业账户结算,滴滴车列表,sessionId20250624lhx1041,"{'appName': '', 'carModelRelated': True, 'categoryRelated': False, 'fastRelated': False, 'priceRelated': False}","[{""content"":""# 用户需求：\n栈桥到金沙滩叫花小猪正价版车型的车，海边团建正好用企业账户结算\n\n"",""exts"":""{\""userHistoryInputContent\"":\""栈桥到金沙滩叫花小猪正价版车型的车，海边团建正好用企业账户结算\""}""}]","```json
[{""app"": ""无"", ""category"": ""无"", ""mode"": ""花小猪正价版"", ""price"": false, ""price_min"": 0, ""price_max"": 0, ""fast"": false}]
```","```json
[{""app"": ""无"", ""category"": ""无"", ""mode"": ""花小猪正价版"", ""price"": false, ""price_min"": 0, ""price_max"": 0, ""fast"": false}]
```","['8', '27']","['8','27']",1,1,1,1,1,1,1,1,
,,珠海长隆到澳门关口下单城际拼车，三个同事一起过关开会,滴滴车列表,sessionId20250624lhx1042,"{'appName': '', 'carModelRelated': False, 'categoryRelated': True, 'fastRelated': False, 'priceRelated': False}","[{""content"":""# 用户需求：\n珠海长隆到澳门关口下单城际拼车，三个同事一起过关开会\n\n"",""exts"":""{\""userHistoryInputContent\"":\""珠海长隆到澳门关口下单城际拼车，三个同事一起过关开会\""}""}]","```json
[{""app"": ""无"", ""category"": ""拼车"", ""mode"": ""无"", ""price"": false, ""price_min"": 0, ""price_max"": 0, ""fast"": false}]
```","```json
[{""app"": ""无"", ""category"": ""拼车"", ""mode"": ""无"", ""price"": false, ""price_min"": 0, ""price_max"": 0, ""fast"": false}]
```",['24'],"['1', '4', '5', '24']",1,1,1,1,1,1,1,0.25,
,,佛山岭南天地到顺德预约特价拼车，探店网红餐厅需要早点到,滴滴车列表,sessionId20250624lhx1043,"{'appName': '', 'carModelRelated': False, 'categoryRelated': True, 'fastRelated': False, 'priceRelated': False}","[{""content"":""# 用户需求：\n佛山岭南天地到顺德预约特价拼车，探店网红餐厅需要早点到\n\n"",""exts"":""{\""userHistoryInputContent\"":\""佛山岭南天地到顺德预约特价拼车，探店网红餐厅需要早点到\""}""}]","```json
[{""app"": ""无"", ""category"": ""特价拼车"", ""mode"": ""无"", ""price"": false, ""price_min"": 0, ""price_max"": 0, ""fast"": false}]
```","```json
[{""app"": ""无"", ""category"": ""特价拼车"", ""mode"": ""无"", ""price"": false, ""price_min"": 0, ""price_max"": 0, ""fast"": false}]
```",['4'],"['1', '4']",1,1,1,1,1,1,1,0.5,
,,松山湖到华为基地选极速拼车，临时通知要参加产品保密会议,滴滴车列表,sessionId20250624lhx1044,"{'appName': '', 'carModelRelated': True, 'categoryRelated': True, 'fastRelated': False, 'priceRelated': False}","[{""content"":""# 用户需求：\n松山湖到华为基地选极速拼车，临时通知要参加产品保密会议\n\n"",""exts"":""{\""userHistoryInputContent\"":\""松山湖到华为基地选极速拼车，临时通知要参加产品保密会议\""}""}]","```json
[{""app"": ""无"", ""category"": ""拼车"", ""mode"": ""极速拼车"", ""price"": false, ""price_min"": 0, ""price_max"": 0, ""fast"": false}]
```","```json
[{""app"": ""无"", ""category"": ""拼车"", ""mode"": ""极速拼车"", ""price"": false, ""price_min"": 0, ""price_max"": 0, ""fast"": false}]
```","['1', '5']","['1', '4', '5']",1,1,1,1,1,1,1,0.67,
,,沈阳故宫到本溪水洞需要特惠快车，文旅局的考察行程很紧凑,滴滴车列表,sessionId20250624lhx1045,"{'appName': '', 'carModelRelated': False, 'categoryRelated': True, 'fastRelated': False, 'priceRelated': False}","[{""content"":""# 用户需求：\n沈阳故宫到本溪水洞需要特惠快车，文旅局的考察行程很紧凑\n\n"",""exts"":""{\""userHistoryInputContent\"":\""沈阳故宫到本溪水洞需要特惠快车，文旅局的考察行程很紧凑\""}""}]","```json
[{""app"": ""无"", ""category"": ""特惠快车"", ""mode"": ""无"", ""price"": false, ""price_min"": 0, ""price_max"": 0, ""fast"": false}]
```","```json
[{""app"": ""无"", ""category"": ""特惠快车"", ""mode"": ""无"", ""price"": false, ""price_min"": 0, ""price_max"": 0, ""fast"": false}]
```","['2', '7']","['2','7']",1,1,1,1,1,1,1,1,
,,泉城广场到趵突泉叫花小猪外接版车型，外地游客想体验本地平台,滴滴车列表,sessionId20250624lhx1046,"{'appName': '', 'carModelRelated': True, 'categoryRelated': False, 'fastRelated': False, 'priceRelated': False}","[{""content"":""# 用户需求：\n泉城广场到趵突泉叫花小猪外接版车型，外地游客想体验本地平台\n\n"",""exts"":""{\""userHistoryInputContent\"":\""泉城广场到趵突泉叫花小猪外接版车型，外地游客想体验本地平台\""}""}]","```json
[{""app"": ""无"", ""category"": ""无"", ""mode"": ""花小猪外接版"", ""price"": false, ""price_min"": 0, ""price_max"": 0, ""fast"": false}]
```","```json
[{""app"": ""无"", ""category"": ""无"", ""mode"": ""花小猪外接版"", ""price"": false, ""price_min"": 0, ""price_max"": 0, ""fast"": false}]
```","['6', '26']","['6','26']",1,1,1,1,1,1,1,1,
,,福州东街口到平潭岛下单曹操出行，拍摄团队需要多座位的车放器材,滴滴车列表,sessionId20250624lhx1047,"{'appName': '', 'carModelRelated': False, 'categoryRelated': True, 'fastRelated': False, 'priceRelated': False}","[{""content"":""# 用户需求：\n福州东街口到平潭岛下单曹操出行，拍摄团队需要多座位的车放器材\n\n"",""exts"":""{\""userHistoryInputContent\"":\""福州东街口到平潭岛下单曹操出行，拍摄团队需要多座位的车放器材\""}""}]","```json
[{""app"": ""曹操出行"", ""category"": ""多座位"", ""mode"": ""无"", ""price"": false, ""price_min"": 0, ""price_max"": 0, ""fast"": false}]
```","```json
[{""app"": ""曹操出行"", ""category"": ""七座车"", ""mode"": ""无"", ""price"": false, ""price_min"": 0, ""price_max"": 0, ""fast"": false}]
```",['9'],['9'],1,1,1,1,1,1,1,1,
,,合肥政务区到巢湖预约特快出租车，突然接到客户临时考察通知,滴滴车列表,sessionId20250624lhx1048,"{'appName': '', 'carModelRelated': False, 'categoryRelated': True, 'fastRelated': False, 'priceRelated': False}","[{""content"":""# 用户需求：\n合肥政务区到巢湖预约特快出租车，突然接到客户临时考察通知\n\n"",""exts"":""{\""userHistoryInputContent\"":\""合肥政务区到巢湖预约特快出租车，突然接到客户临时考察通知\""}""}]","```json
[{""app"": ""无"", ""category"": ""特快出租车"", ""mode"": ""无"", ""price"": false, ""price_min"": 0, ""price_max"": 0, ""fast"": false}]
```","```json
[{""app"": ""无"", ""category"": ""特快出租车"", ""mode"": ""无"", ""price"": false, ""price_min"": 0, ""price_max"": 0, ""fast"": false}]
```","['10', '12']","['10', '12']",1,1,1,1,1,1,1,1,
,,滇池到石林选滴滴特快车型，地质考察队要在闭园前进入景区,滴滴车列表,sessionId20250624lhx1049,"{'appName': '滴滴', 'carModelRelated': False, 'categoryRelated': True, 'fastRelated': False, 'priceRelated': False}","[{""content"":""# 用户需求：\n滇池到石林选滴滴特快车型，地质考察队要在闭园前进入景区\n\n"",""exts"":""{\""userHistoryInputContent\"":\""滇池到石林选滴滴特快车型，地质考察队要在闭园前进入景区\""}""}]","```json
[{""app"": ""滴滴"", ""category"": ""特快车型"", ""mode"": ""无"", ""price"": false, ""price_min"": 0, ""price_max"": 0, ""fast"": false}]
```","```json
[{""app"": ""滴滴"", ""category"": ""特快车型"", ""mode"": ""无"", ""price"": false, ""price_min"": 0, ""price_max"": 0, ""fast"": false}]
```",['11'],"['2', '3', '7', '8', '9', '10', '11', '12', '13']",1,1,1,1,1,1,1,0.11,
,,南宁万象城到方特需要出租车，市场部要收集主题乐园运营数据,滴滴车列表,sessionId20250624lhx1050,"{'appName': '', 'carModelRelated': False, 'categoryRelated': True, 'fastRelated': False, 'priceRelated': False}","[{""content"":""# 用户需求：\n南宁万象城到方特需要出租车，市场部要收集主题乐园运营数据\n\n"",""exts"":""{\""userHistoryInputContent\"":\""南宁万象城到方特需要出租车，市场部要收集主题乐园运营数据\""}""}]","```json
[{""app"": ""无"", ""category"": ""出租车"", ""mode"": ""无"", ""price"": false, ""price_min"": 0, ""price_max"": 0, ""fast"": false}]
```","```json
[{""app"": ""无"", ""category"": ""出租车"", ""mode"": ""无"", ""price"": false, ""price_min"": 0, ""price_max"": 0, ""fast"": false}]
```","['10', '12']","['10','12']",1,1,1,1,1,1,1,1,
,,从北京中关村打车去颐和园开会，记得用滴滴快车,滴滴车列表,sessionId20250624lhx1051,"{'appName': '滴滴', 'carModelRelated': False, 'categoryRelated': True, 'fastRelated': False, 'priceRelated': False}","[{""content"":""# 用户需求：\n从北京中关村打车去颐和园开会，记得用滴滴快车\n\n"",""exts"":""{\""userHistoryInputContent\"":\""从北京中关村打车去颐和园开会，记得用滴滴快车\""}""}]","```json
[{""app"": ""滴滴"", ""category"": ""快车"", ""mode"": ""无"", ""price"": false, ""price_min"": 0, ""price_max"": 0, ""fast"": false}]
```","```json
[{""app"": ""滴滴"", ""category"": ""快车"", ""mode"": ""无"", ""price"": false, ""price_min"": 0, ""price_max"": 0, ""fast"": false}]
```","['3', '13']","['2', '3', '7',  '10', '11',  '13']",1,1,1,1,1,1,1,0.33,
,,上海静安寺到虹桥站叫花小猪正价版车型的车，带着样品去参展,滴滴车列表,sessionId20250624lhx1052,"{'appName': '', 'carModelRelated': True, 'categoryRelated': False, 'fastRelated': False, 'priceRelated': False}","[{""content"":""# 用户需求：\n上海静安寺到虹桥站叫花小猪正价版车型的车，带着样品去参展\n\n"",""exts"":""{\""userHistoryInputContent\"":\""上海静安寺到虹桥站叫花小猪正价版车型的车，带着样品去参展\""}""}]","```json
[{""app"": ""无"", ""category"": ""无"", ""mode"": ""花小猪正价版"", ""price"": false, ""price_min"": 0, ""price_max"": 0, ""fast"": false}]
```","```json
[{""app"": ""无"", ""category"": ""无"", ""mode"": ""花小猪正价版"", ""price"": false, ""price_min"": 0, ""price_max"": 0, ""fast"": false}]
```","['8', '27']","['8','27']",1,1,1,1,1,1,1,1,
,,听说长隆野生动物园适合亲子游，广州塔出发打六座专车全家同行,滴滴车列表,sessionId20250624lhx1053,"{'appName': '', 'carModelRelated': False, 'categoryRelated': True, 'fastRelated': False, 'priceRelated': False}","[{""content"":""# 用户需求：\n听说长隆野生动物园适合亲子游，广州塔出发打六座专车全家同行\n\n"",""exts"":""{\""userHistoryInputContent\"":\""听说长隆野生动物园适合亲子游，广州塔出发打六座专车全家同行\""}""}]","```json
[{""app"": ""无"", ""category"": ""六座专车"", ""mode"": ""无"", ""price"": false, ""price_min"": 0, ""price_max"": 0, ""fast"": false}]
```","```json
[{""app"": ""无"", ""category"": ""六座专车"", ""mode"": ""无"", ""price"": false, ""price_min"": 0, ""price_max"": 0, ""fast"": false}]
```",['16'],['16'],1,1,1,1,1,1,1,1,
,,深圳华强北有批电子器材要送，打的到盐田港，选拼车,滴滴车列表,sessionId20250624lhx1054,"{'appName': '', 'carModelRelated': False, 'categoryRelated': True, 'fastRelated': False, 'priceRelated': False}","[{""content"":""# 用户需求：\n深圳华强北有批电子器材要送，打的到盐田港，选拼车\n\n"",""exts"":""{\""userHistoryInputContent\"":\""深圳华强北有批电子器材要送，打的到盐田港，选拼车\""}""}]","```json
[{""app"": ""无"", ""category"": ""拼车"", ""mode"": ""无"", ""price"": false, ""price_min"": 0, ""price_max"": 0, ""fast"": false}]
```","```json
[{""app"": ""无"", ""category"": ""拼车"", ""mode"": ""无"", ""price"": false, ""price_min"": 0, ""price_max"": 0, ""fast"": false}]
```","['1', '4', '5', '24']","['1', '4', '5', '24']",1,1,1,1,1,1,1,1,
,,跨城去青城山考察，从成都锦里坐城际拼车更合适,滴滴车列表,sessionId20250624lhx1055,"{'appName': '', 'carModelRelated': False, 'categoryRelated': True, 'fastRelated': False, 'priceRelated': False}","[{""content"":""# 用户需求：\n跨城去青城山考察，从成都锦里坐城际拼车更合适\n\n"",""exts"":""{\""userHistoryInputContent\"":\""跨城去青城山考察，从成都锦里坐城际拼车更合适\""}""}]","```json
[{""app"": ""无"", ""category"": ""拼车"", ""mode"": ""无"", ""price"": false, ""price_min"": 0, ""price_max"": 0, ""fast"": false}]
```","```json
[{""app"": ""无"", ""category"": ""拼车"", ""mode"": ""无"", ""price"": false, ""price_min"": 0, ""price_max"": 0, ""fast"": false}]
```",['24'],"['1', '4', '5', '24']",1,1,1,1,1,1,1,0.25,
,,杭州钱江新城到宋城体验滴滴豪华车，接待重要客户看演出,滴滴车列表,sessionId20250624lhx1056,"{'appName': '滴滴', 'carModelRelated': False, 'categoryRelated': True, 'fastRelated': False, 'priceRelated': False}","[{""content"":""# 用户需求：\n杭州钱江新城到宋城体验滴滴豪华车，接待重要客户看演出\n\n"",""exts"":""{\""userHistoryInputContent\"":\""杭州钱江新城到宋城体验滴滴豪华车，接待重要客户看演出\""}""}]","```json
[{""app"": ""滴滴"", ""category"": ""豪华车"", ""mode"": ""无"", ""price"": false, ""price_min"": 0, ""price_max"": 0, ""fast"": false}]
```","```json
[{""app"": ""滴滴"", ""category"": ""豪华车"", ""mode"": ""无"", ""price"": false, ""price_min"": 0, ""price_max"": 0, ""fast"": false}]
```",['15'],['15'],1,1,1,1,1,1,1,1,
,,南京雨花台到玄武湖踏青，优先选特惠快车节省预算,滴滴车列表,sessionId20250624lhx1057,"{'appName': '', 'carModelRelated': False, 'categoryRelated': True, 'fastRelated': False, 'priceRelated': True}","[{""content"":""# 用户需求：\n南京雨花台到玄武湖踏青，优先选特惠快车节省预算\n\n"",""exts"":""{\""userHistoryInputContent\"":\""南京雨花台到玄武湖踏青，优先选特惠快车节省预算\""}""}]","```json
[{""app"": ""无"", ""category"": ""特惠快车"", ""mode"": ""无"", ""price"": true, ""price_min"": -1, ""price_max"": 0, ""fast"": false}]
```","```json
[{""app"": ""无"", ""category"": ""特惠快车"", ""mode"": ""无"", ""price"": true, ""price_min"": -1, ""price_max"": 0, ""fast"": false}]
```",['7'],"['2','7']",0,1,1,1,1,1,1,0.5,
,,重庆朝天门到南山一棵树观夜景，曹操出行车型的服务比较靠谱,滴滴车列表,sessionId20250624lhx1058,"{'appName': '', 'carModelRelated': False, 'categoryRelated': False, 'fastRelated': False, 'priceRelated': False}","[{""content"":""# 用户需求：\n重庆朝天门到南山一棵树观夜景，曹操出行车型的服务比较靠谱\n\n"",""exts"":""{\""userHistoryInputContent\"":\""重庆朝天门到南山一棵树观夜景，曹操出行车型的服务比较靠谱\""}""}]","```json
[{""app"": ""曹操出行"", ""category"": ""无"", ""mode"": ""无"", ""price"": false, ""price_min"": 0, ""price_max"": 0, ""fast"": false}]
```","```json
[{""app"": ""曹操出行"", ""category"": ""无"", ""mode"": ""曹操出行"", ""price"": false, ""price_min"": 0, ""price_max"": 0, ""fast"": false}]
```","['1', '2', '3', '4', '5', '6', '7', '8', '9', '10', '11', '12', '13', '14', '15', '16', '17', '18', '19', '22', '23', '24', '25', '26', '27', '28', '29']",['9'],0,1,1,0,1,1,0,1,
,,凌晨在西安回民街喝完酒，去大唐不夜城需要滴滴代驾,滴滴车列表,sessionId20250624lhx1059,"{'appName': '滴滴', 'carModelRelated': True, 'categoryRelated': False, 'fastRelated': False, 'priceRelated': False}","[{""content"":""# 用户需求：\n凌晨在西安回民街喝完酒，去大唐不夜城需要滴滴代驾\n\n"",""exts"":""{\""userHistoryInputContent\"":\""凌晨在西安回民街喝完酒，去大唐不夜城需要滴滴代驾\""}""}]","```json
[{""app"": ""滴滴"", ""category"": ""无"", ""mode"": ""代驾"", ""price"": false, ""price_min"": 0, ""price_max"": 0, ""fast"": false}]
```","```json
[{""app"": ""滴滴"", ""category"": ""无"", ""mode"": ""代驾"", ""price"": false, ""price_min"": 0, ""price_max"": 0, ""fast"": false}]
```",['17'],['17'],1,1,1,1,1,1,1,1,
,,武汉东湖骑行完要去户部巷，使用惊喜特价车型,滴滴车列表,sessionId20250624lhx1060,"{'appName': '', 'carModelRelated': False, 'categoryRelated': True, 'fastRelated': False, 'priceRelated': False}","[{""content"":""# 用户需求：\n武汉东湖骑行完要去户部巷，使用惊喜特价车型\n\n"",""exts"":""{\""userHistoryInputContent\"":\""武汉东湖骑行完要去户部巷，使用惊喜特价车型\""}""}]","```json
[{""app"": ""无"", ""category"": ""惊喜特价车型"", ""mode"": ""无"", ""price"": false, ""price_min"": 0, ""price_max"": 0, ""fast"": false}]
```","```json
[{""app"": ""无"", ""category"": ""惊喜特价车型"", ""mode"": ""无"", ""price"": false, ""price_min"": 0, ""price_max"": 0, ""fast"": false}]
```","['22', '29']","['2','4','6','7','22','29']",1,1,1,1,1,1,1,0.33,
,,长沙坡子街到梅溪湖团建，直接下滴滴包车全天跟着团队走,滴滴车列表,sessionId20250624lhx1061,"{'appName': '滴滴', 'carModelRelated': False, 'categoryRelated': True, 'fastRelated': False, 'priceRelated': False}","[{""content"":""# 用户需求：\n长沙坡子街到梅溪湖团建，直接下滴滴包车全天跟着团队走\n\n"",""exts"":""{\""userHistoryInputContent\"":\""长沙坡子街到梅溪湖团建，直接下滴滴包车全天跟着团队走\""}""}]","```json
[{""app"": ""滴滴"", ""category"": ""包车"", ""mode"": ""无"", ""price"": false, ""price_min"": 0, ""price_max"": 0, ""fast"": false}]
```","```json
[{""app"": ""滴滴"", ""category"": ""包车"", ""mode"": ""无"", ""price"": false, ""price_min"": 0, ""price_max"": 0, ""fast"": false}]
```",['19'],['19'],1,1,1,1,1,1,1,1,
,,苏州观前街到同里考察古镇，叫一辆极速拼车,滴滴车列表,sessionId20250624lhx1062,"{'appName': '', 'carModelRelated': False, 'categoryRelated': True, 'fastRelated': False, 'priceRelated': False}","[{""content"":""# 用户需求：\n苏州观前街到同里考察古镇，叫一辆极速拼车\n\n"",""exts"":""{\""userHistoryInputContent\"":\""苏州观前街到同里考察古镇，叫一辆极速拼车\""}""}]","```json
[{""app"": ""无"", ""category"": ""拼车"", ""mode"": ""无"", ""price"": false, ""price_min"": 0, ""price_max"": 0, ""fast"": false}]
```","```json
[{""app"": ""无"", ""category"": ""极速拼车"", ""mode"": ""无"", ""price"": false, ""price_min"": 0, ""price_max"": 0, ""fast"": false}]
```","['1', '5']","['1', '4', '5']",1,1,1,1,1,1,1,0.67,
,,郑州CBD到黄河风景区调研，叫特快出租车,滴滴车列表,sessionId20250624lhx1063,"{'appName': '', 'carModelRelated': False, 'categoryRelated': True, 'fastRelated': False, 'priceRelated': False}","[{""content"":""# 用户需求：\n郑州CBD到黄河风景区调研，叫特快出租车\n\n"",""exts"":""{\""userHistoryInputContent\"":\""郑州CBD到黄河风景区调研，叫特快出租车\""}""}]","```json
[{""app"": ""无"", ""category"": ""特快出租车"", ""mode"": ""无"", ""price"": false, ""price_min"": 0, ""price_max"": 0, ""fast"": false}]
```","```json
[{""app"": ""无"", ""category"": ""特快出租车"", ""mode"": ""无"", ""price"": false, ""price_min"": 0, ""price_max"": 0, ""fast"": false}]
```","['10', '12']","['10', '12']",1,1,1,1,1,1,1,1,
,,天津意式风情街寄合同，到航母公园用快车服务加急送达,滴滴车列表,sessionId20250624lhx1064,"{'appName': '', 'carModelRelated': False, 'categoryRelated': True, 'fastRelated': False, 'priceRelated': False}","[{""content"":""# 用户需求：\n天津意式风情街寄合同，到航母公园用快车服务加急送达\n\n"",""exts"":""{\""userHistoryInputContent\"":\""天津意式风情街寄合同，到航母公园用快车服务加急送达\""}""}]","```json
[{""app"": ""无"", ""category"": ""快车"", ""mode"": ""无"", ""price"": false, ""price_min"": 0, ""price_max"": 0, ""fast"": true}]
```","```json
[{""app"": ""无"", ""category"": ""快车"", ""mode"": ""无"", ""price"": false, ""price_min"": 0, ""price_max"": 0, ""fast"": true}]
```","['2', '3', '7', '8', '9', '10', '11', '12', '13']","['2','3','7','8','9','10','11','12','13']",1,1,1,1,1,1,1,1,
,,厦门鼓浪屿到集美学村采风，学生党最爱“花小猪外接版”车型的车,滴滴车列表,sessionId20250624lhx1065,"{'appName': '', 'carModelRelated': True, 'categoryRelated': False, 'fastRelated': False, 'priceRelated': False}","[{""content"":""# 用户需求：\n厦门鼓浪屿到集美学村采风，学生党最爱“花小猪外接版”车型的车\n\n"",""exts"":""{\""userHistoryInputContent\"":\""厦门鼓浪屿到集美学村采风，学生党最爱“花小猪外接版”车型的车\""}""}]","```json
[{""app"": ""无"", ""category"": ""无"", ""mode"": ""花小猪外接版"", ""price"": false, ""price_min"": 0, ""price_max"": 0, ""fast"": false}]
```","```json
[{""app"": ""无"", ""category"": ""无"", ""mode"": ""花小猪外接版"", ""price"": false, ""price_min"": 0, ""price_max"": 0, ""fast"": false}]
```","['6', '26']","['6','26']",1,1,1,1,1,1,1,1,
,,青岛五四广场到啤酒博物馆参访，叫一辆滴滴专车,滴滴车列表,sessionId20250624lhx1066,"{'appName': '滴滴', 'carModelRelated': True, 'categoryRelated': False, 'fastRelated': False, 'priceRelated': False}","[{""content"":""# 用户需求：\n青岛五四广场到啤酒博物馆参访，叫一辆滴滴专车\n\n"",""exts"":""{\""userHistoryInputContent\"":\""青岛五四广场到啤酒博物馆参访，叫一辆滴滴专车\""}""}]","```json
[{""app"": ""滴滴"", ""category"": ""无"", ""mode"": ""滴滴专车"", ""price"": false, ""price_min"": 0, ""price_max"": 0, ""fast"": false}]
```","```json
[{""app"": ""滴滴"", ""category"": ""无"", ""mode"": ""滴滴专车"", ""price"": false, ""price_min"": 0, ""price_max"": 0, ""fast"": false}]
```","['14', '16', '28']","['14', '16', '28']",1,1,1,1,1,1,1,1,
,,珠海横琴到澳门大学交流，三个教授拼一辆城际拼车,滴滴车列表,sessionId20250624lhx1067,"{'appName': '', 'carModelRelated': False, 'categoryRelated': True, 'fastRelated': False, 'priceRelated': False}","[{""content"":""# 用户需求：\n珠海横琴到澳门大学交流，三个教授拼一辆城际拼车\n\n"",""exts"":""{\""userHistoryInputContent\"":\""珠海横琴到澳门大学交流，三个教授拼一辆城际拼车\""}""}]","```json
[{""app"": ""无"", ""category"": ""拼车"", ""mode"": ""无"", ""price"": false, ""price_min"": 0, ""price_max"": 0, ""fast"": false}]
```","```json
[{""app"": ""无"", ""category"": ""拼车"", ""mode"": ""无"", ""price"": false, ""price_min"": 0, ""price_max"": 0, ""fast"": false}]
```",['24'],"['1', '4', '5', '24']",1,1,1,1,1,1,1,0.25,
