model,query,车辆候选列表,id,大类|小类,answer,app,正确答案,app名称,category,category正确答案,车大类,mode,mode正确答案,车小类,price,正确答案.1,是否包含价格,price_min,正确答案.2,价格下限,price_max,正确答案.3,价格上限,think_time,问题,备注,标注人,_vehicle_pairs,_gt_category,_gt_mode,_history,_query
|15|滴滴|快速|宽敞好车|21.07|
|16|滴滴|快速|方舟行|22.50|
|17|滴滴|快速|长沙新出租|22.57|
|18|滴滴|快速|武汉新出租|23.06|
|19|滴滴|舒适|滴滴专车|27.48|
|20|滴滴|六座|六座专车|40.01|
|21|滴滴|六座|六座豪华车|43.35|",无,无|无,"[{""app"": ""无"", ""category"": ""无"", ""mode"": ""无"", ""price"": False, ""price_min"": 0, ""price_max"": 0, ""fast"": True}]",无,,无,无,,无,无,,无,False,,False,0,,0,0,,0,1.053405762,,,王笑,"[{'六座': '六座专车'}, {'六座': '六座豪华车'}, {'快速': '出租车'}, {'快速': '宽敞好车'}, {'快速': '方舟行'}, {'快速': '曹操出行'}, {'快速': '武汉新出租'}, {'快速': '滴滴优享'}, {'快速': '滴滴快车'}, {'快速': '滴滴特快'}, {'快速': '滴滴轻享'}, {'快速': '长沙新出租'}, {'拼车': '极速拼车'}, {'拼车': '特价拼车'}, {'推荐': '滴滴快车'}, {'推荐': '特快出租车'}, {'推荐': '特惠快车'}, {'推荐': '花小猪正价版'}, {'特价': '惊喜特价'}, {'特价': '特惠快车'}, {'特价': '花小猪外接版'}, {'舒适': '滴滴专车'}]",无,无,,打的去高铁站，赶时间。
Qwen2.5-32B-Instruct,打的去奥体，车型不限,"|序号id|应用名称|车型大类|车辆类型|价格|
|---|---|---|---|---|
|0|高德地图|     |极速拼车|47-47|
|1|高德地图|     |特惠快车|51-51|
|2|高德地图|经济型|旗妙出行|55|
|3|高德地图|经济型|及时用车|55|
|4|高德地图|经济型|K9用车|56|
|5|高德地图|经济型|如祺出行|56|
|6|高德地图|经济型|AA出行|56|
|7|高德地图|经济型|北京新出租|57|
|8|高德地图|经济型|深圳出租|57|
|9|高德地图|经济型|900出行|58|
|10|高德地图|经济型|首汽约车|58|
|11|高德地图|经济型|斑马快跑|58|
|12|高德地图|经济型|奇华出行|58|
|13|高德地图|经济型|T3出行|58|
|14|高德地图|经济型|有序出行|58|
|15|高德地图|经济型|渔阳出行|58|
|16|高德地图|经济型|365约车|58|
|17|高德地图|经济型|国泰出租|59|
|18|高德地图|经济型|聚的新出租|59|
|19|高德地图|经济型|易至出行|59|
|20|高德地图|特快车|超值体验 更快上车|61|
|21|高德地图|出租车|车多应答快|68|
|22|高德地图|优享型|全民GO|74|
|23|高德地图|优享型|及时用车|74|
|24|高德地图|优享型|风韵出行|75|
|25|高德地图|优享型|AA出行|75|
|26|高德地图|优享型|首汽约车|75|
|27|高德地图|优享型|神州专车|76|
|28|高德地图|优享型|阳光出行|76|
|29|高德地图|优享型|东潮出行|76|
|30|高德地图|优享型|环旅出行|76|
|31|高德地图|优享型|星徽出行|76|
|32|高德地图|优享型|中交出行|77|
|33|高德地图|优享型|享道出行|78|
|34|高德地图|轻享专车|静音不打扰 整洁无异味|85|
|35|高德地图|品质专车|静音不打扰 整洁无异味|94|
|36|高德地图|六座商务|宽敞空间 商务体验|99|
|37|高德地图|豪华型|车型高端 服务专业|110|
|38|高德地图|经济|首汽约车|120|
|39|高德地图|拼车|出租车拼车|134|
|40|高德地图|特价出发|惊喜特价|146|
|41|高德地图|特价出发|更多特价|148|
|42|高德地图|快速出发|无|162|
|43|高德地图|惠享专车|T3出行|177|
|44|高德地图|推荐|特惠快车|196|
|45|高德地图|推荐|极速拼车|198|
|46|高德地图|豪华型|undefined|128-131|",无,无|无,"[{""app"": ""无"", ""category"": ""无"", ""mode"": ""无"", ""price"": True, ""price_min"": -1, ""price_max"": 0, ""fast"": False}]",无,,无,无,,无,无,,无,False,,False,0,,0,0,,0,1.073380709,,,王笑,"[{'': '极速拼车'}, {'': '特惠快车'}, {'优享型': 'AA出行'}, {'优享型': '东潮出行'}, {'优享型': '中交出行'}, {'优享型': '享道出行'}, {'优享型': '全民GO'}, {'优享型': '及时用车'}, {'优享型': '星徽出行'}, {'优享型': '环旅出行'}, {'优享型': '神州专车'}, {'优享型': '阳光出行'}, {'优享型': '风韵出行'}, {'优享型': '首汽约车'}, {'六座商务': '宽敞空间 商务体验'}, {'出租车': '车多应答快'}, {'品质专车': '静音不打扰 整洁无异味'}, {'快速出发': '无'}, {'惠享专车': 'T3出行'}, {'拼车': '出租车拼车'}, {'推荐': '极速拼车'}, {'推荐': '特惠快车'}, {'特价出发': '惊喜特价'}, {'特价出发': '更多特价'}, {'特快车': '超值体验 更快上车'}, {'经济': '首汽约车'}, {'经济型': '365约车'}, {'经济型': '900出行'}, {'经济型': 'AA出行'}, {'经济型': 'K9用车'}, {'经济型': 'T3出行'}, {'经济型': '北京新出租'}, {'经济型': '及时用车'}, {'经济型': '国泰出租'}, {'经济型': '奇华出行'}, {'经济型': '如祺出行'}, {'经济型': '斑马快跑'}, {'经济型': '旗妙出行'}, {'经济型': '易至出行'}, {'经济型': '有序出行'}, {'经济型': '深圳出租'}, {'经济型': '渔阳出行'}, {'经济型': '聚的新出租'}, {'经济型': '首汽约车'}, {'豪华型': '车型高端 服务专业'}, {'轻享专车': '静音不打扰 整洁无异味'}]",无,无,,打的去奥体，车型不限
