query,可选车型组合,模型输出车型组合,正确车型组合,模型输出_indexed,正确答案_indexed
苏州火车站到金鸡湖打的，记得选特价分类更划算,"[{'六座': '六座专车'}, {'城际': '城际拼车'}, {'城际': '顺风车'}, {'快速': '花小猪正价版'}, {'快速': '曹操出行'}, {'快速': '特快出租车'}, {'快速': '滴滴特快'}, {'快速': '出租车'}, {'快速': '滴滴快车'}, {'拼车': '特价拼车'}, {'拼车': '极速拼车'}, {'推荐': '极速拼车'}, {'推荐': '特惠快车'}, {'推荐': '滴滴快车'}, {'推荐': '顺风车'}, {'推荐': '花小猪外接版'}, {'推荐': '花小猪正价版'}, {'推荐': '滴滴专车'}, {'推荐': '惊喜特价'}, {'更多': '滴滴代驾'}, {'更多': '宠物出行'}, {'更多': '滴滴包车'}, {'特价': '花小猪外接版'}, {'特价': '特惠快车'}, {'特价': '惊喜特价'}, {'舒适': '滴滴专车'}, {'舒适': '滴滴豪华车'}, {'送货': '汽车快送'}, {'送货': '跑腿'}]","[{'拼车': '特价拼车'}, {'推荐': '特惠快车'}, {'推荐': '惊喜特价'}, {'特价': '花小猪外接版'}, {'特价': '特惠快车'}, {'特价': '惊喜特价'}]","[{'拼车': '特价拼车'}, {'拼车': '极速拼车'}, {'推荐': '极速拼车'}, {'推荐': '特惠快车'}, {'推荐': '滴滴快车'}, {'推荐': '顺风车'}, {'推荐': '花小猪外接版'}, {'推荐': '花小猪正价版'}, {'推荐': '滴滴专车'}, {'推荐': '惊喜特价'}, {'特价': '花小猪外接版'}, {'特价': '特惠快车'}, {'特价': '惊喜特价'}]","[{'2': {'推荐': '特惠快车'}}, {'4': {'拼车': '特价拼车'}}, {'6': {'特价': '花小猪外接版'}}, {'7': {'特价': '特惠快车'}}, {'22': {'特价': '惊喜特价'}}, {'29': {'推荐': '惊喜特价'}}]","[{'1': {'推荐': '极速拼车'}}, {'2': {'推荐': '特惠快车'}}, {'3': {'推荐': '滴滴快车'}}, {'4': {'拼车': '特价拼车'}}, {'5': {'拼车': '极速拼车'}}, {'6': {'特价': '花小猪外接版'}}, {'7': {'特价': '特惠快车'}}, {'22': {'特价': '惊喜特价'}}, {'23': {'推荐': '顺风车'}}, {'26': {'推荐': '花小猪外接版'}}, {'27': {'推荐': '花小猪正价版'}}, {'28': {'推荐': '滴滴专车'}}, {'29': {'推荐': '惊喜特价'}}]"
郑州东站去CBD开会，帮我预约个拼车服务的车辆,"[{'六座': '六座专车'}, {'城际': '城际拼车'}, {'城际': '顺风车'}, {'快速': '花小猪正价版'}, {'快速': '曹操出行'}, {'快速': '特快出租车'}, {'快速': '滴滴特快'}, {'快速': '出租车'}, {'快速': '滴滴快车'}, {'拼车': '特价拼车'}, {'拼车': '极速拼车'}, {'推荐': '极速拼车'}, {'推荐': '特惠快车'}, {'推荐': '滴滴快车'}, {'推荐': '顺风车'}, {'推荐': '花小猪外接版'}, {'推荐': '花小猪正价版'}, {'推荐': '滴滴专车'}, {'推荐': '惊喜特价'}, {'更多': '滴滴代驾'}, {'更多': '宠物出行'}, {'更多': '滴滴包车'}, {'特价': '花小猪外接版'}, {'特价': '特惠快车'}, {'特价': '惊喜特价'}, {'舒适': '滴滴专车'}, {'舒适': '滴滴豪华车'}, {'送货': '汽车快送'}, {'送货': '跑腿'}]","[{'城际': '城际拼车'}, {'拼车': '特价拼车'}, {'拼车': '极速拼车'}, {'推荐': '极速拼车'}]","[{'城际': '城际拼车'}, {'城际': '顺风车'}, {'拼车': '特价拼车'}, {'拼车': '极速拼车'}, {'推荐': '极速拼车'}, {'推荐': '特惠快车'}, {'推荐': '滴滴快车'}, {'推荐': '顺风车'}, {'推荐': '花小猪外接版'}, {'推荐': '花小猪正价版'}, {'推荐': '滴滴专车'}, {'推荐': '惊喜特价'}]","[{'1': {'推荐': '极速拼车'}}, {'4': {'拼车': '特价拼车'}}, {'5': {'拼车': '极速拼车'}}, {'24': {'城际': '城际拼车'}}]","[{'1': {'推荐': '极速拼车'}}, {'2': {'推荐': '特惠快车'}}, {'3': {'推荐': '滴滴快车'}}, {'4': {'拼车': '特价拼车'}}, {'5': {'拼车': '极速拼车'}}, {'23': {'推荐': '顺风车'}}, {'24': {'城际': '城际拼车'}}, {'25': {'城际': '顺风车'}}, {'26': {'推荐': '花小猪外接版'}}, {'27': {'推荐': '花小猪正价版'}}, {'28': {'推荐': '滴滴专车'}}, {'29': {'推荐': '惊喜特价'}}]"
天津滨海机场到古文化街需要舒适型车辆，听说那边游客多,"[{'六座': '六座专车'}, {'城际': '城际拼车'}, {'城际': '顺风车'}, {'快速': '花小猪正价版'}, {'快速': '曹操出行'}, {'快速': '特快出租车'}, {'快速': '滴滴特快'}, {'快速': '出租车'}, {'快速': '滴滴快车'}, {'拼车': '特价拼车'}, {'拼车': '极速拼车'}, {'推荐': '极速拼车'}, {'推荐': '特惠快车'}, {'推荐': '滴滴快车'}, {'推荐': '顺风车'}, {'推荐': '花小猪外接版'}, {'推荐': '花小猪正价版'}, {'推荐': '滴滴专车'}, {'推荐': '惊喜特价'}, {'更多': '滴滴代驾'}, {'更多': '宠物出行'}, {'更多': '滴滴包车'}, {'特价': '花小猪外接版'}, {'特价': '特惠快车'}, {'特价': '惊喜特价'}, {'舒适': '滴滴专车'}, {'舒适': '滴滴豪华车'}, {'送货': '汽车快送'}, {'送货': '跑腿'}]","[{'舒适': '滴滴专车'}, {'舒适': '滴滴豪华车'}]","[{'推荐': '滴滴专车'}, {'舒适': '滴滴专车'}, {'舒适': '滴滴豪华车'}]","[{'14': {'舒适': '滴滴专车'}}, {'15': {'舒适': '滴滴豪华车'}}]","[{'14': {'舒适': '滴滴专车'}}, {'15': {'舒适': '滴滴豪华车'}}, {'28': {'推荐': '滴滴专车'}}]"
鼓浪屿的轮渡快停了，厦门高崎机场选六座车大类赶时间,"[{'六座': '六座专车'}, {'城际': '城际拼车'}, {'城际': '顺风车'}, {'快速': '花小猪正价版'}, {'快速': '曹操出行'}, {'快速': '特快出租车'}, {'快速': '滴滴特快'}, {'快速': '出租车'}, {'快速': '滴滴快车'}, {'拼车': '特价拼车'}, {'拼车': '极速拼车'}, {'推荐': '极速拼车'}, {'推荐': '特惠快车'}, {'推荐': '滴滴快车'}, {'推荐': '顺风车'}, {'推荐': '花小猪外接版'}, {'推荐': '花小猪正价版'}, {'推荐': '滴滴专车'}, {'推荐': '惊喜特价'}, {'更多': '滴滴代驾'}, {'更多': '宠物出行'}, {'更多': '滴滴包车'}, {'特价': '花小猪外接版'}, {'特价': '特惠快车'}, {'特价': '惊喜特价'}, {'舒适': '滴滴专车'}, {'舒适': '滴滴豪华车'}, {'送货': '汽车快送'}, {'送货': '跑腿'}]",[{'六座': '六座专车'}],[{'六座': '六座专车'}],[{'16': {'六座': '六座专车'}}],[{'16': {'六座': '六座专车'}}]
崂山景区的货物要送，青岛北站下单快车类目的车,"[{'六座': '六座专车'}, {'城际': '城际拼车'}, {'城际': '顺风车'}, {'快速': '花小猪正价版'}, {'快速': '曹操出行'}, {'快速': '特快出租车'}, {'快速': '滴滴特快'}, {'快速': '出租车'}, {'快速': '滴滴快车'}, {'拼车': '特价拼车'}, {'拼车': '极速拼车'}, {'推荐': '极速拼车'}, {'推荐': '特惠快车'}, {'推荐': '滴滴快车'}, {'推荐': '顺风车'}, {'推荐': '花小猪外接版'}, {'推荐': '花小猪正价版'}, {'推荐': '滴滴专车'}, {'推荐': '惊喜特价'}, {'更多': '滴滴代驾'}, {'更多': '宠物出行'}, {'更多': '滴滴包车'}, {'特价': '花小猪外接版'}, {'特价': '特惠快车'}, {'特价': '惊喜特价'}, {'舒适': '滴滴专车'}, {'舒适': '滴滴豪华车'}, {'送货': '汽车快送'}, {'送货': '跑腿'}]","[{'快速': '花小猪正价版'}, {'快速': '曹操出行'}, {'快速': '特快出租车'}, {'快速': '滴滴特快'}, {'快速': '出租车'}, {'快速': '滴滴快车'}, {'拼车': '极速拼车'}, {'推荐': '极速拼车'}, {'推荐': '特惠快车'}, {'推荐': '滴滴快车'}, {'特价': '特惠快车'}, {'送货': '汽车快送'}]","[{'快速': '花小猪正价版'}, {'快速': '曹操出行'}, {'快速': '特快出租车'}, {'快速': '滴滴特快'}, {'快速': '出租车'}, {'快速': '滴滴快车'}, {'推荐': '极速拼车'}, {'推荐': '特惠快车'}, {'推荐': '滴滴快车'}, {'推荐': '顺风车'}, {'推荐': '花小猪外接版'}, {'推荐': '花小猪正价版'}, {'推荐': '滴滴专车'}, {'推荐': '惊喜特价'}, {'特价': '花小猪外接版'}, {'特价': '特惠快车'}, {'特价': '惊喜特价'}]","[{'1': {'推荐': '极速拼车'}}, {'2': {'推荐': '特惠快车'}}, {'3': {'推荐': '滴滴快车'}}, {'5': {'拼车': '极速拼车'}}, {'7': {'特价': '特惠快车'}}, {'8': {'快速': '花小猪正价版'}}, {'9': {'快速': '曹操出行'}}, {'10': {'快速': '特快出租车'}}, {'11': {'快速': '滴滴特快'}}, {'12': {'快速': '出租车'}}, {'13': {'快速': '滴滴快车'}}, {'20': {'送货': '汽车快送'}}]","[{'1': {'推荐': '极速拼车'}}, {'2': {'推荐': '特惠快车'}}, {'3': {'推荐': '滴滴快车'}}, {'6': {'特价': '花小猪外接版'}}, {'7': {'特价': '特惠快车'}}, {'8': {'快速': '花小猪正价版'}}, {'9': {'快速': '曹操出行'}}, {'10': {'快速': '特快出租车'}}, {'11': {'快速': '滴滴特快'}}, {'12': {'快速': '出租车'}}, {'13': {'快速': '滴滴快车'}}, {'22': {'特价': '惊喜特价'}}, {'23': {'推荐': '顺风车'}}, {'26': {'推荐': '花小猪外接版'}}, {'27': {'推荐': '花小猪正价版'}}, {'28': {'推荐': '滴滴专车'}}, {'29': {'推荐': '惊喜特价'}}]"
珠海拱北口岸到长隆的城际车型，适合带行李的团队出行,"[{'六座': '六座专车'}, {'城际': '城际拼车'}, {'城际': '顺风车'}, {'快速': '花小猪正价版'}, {'快速': '曹操出行'}, {'快速': '特快出租车'}, {'快速': '滴滴特快'}, {'快速': '出租车'}, {'快速': '滴滴快车'}, {'拼车': '特价拼车'}, {'拼车': '极速拼车'}, {'推荐': '极速拼车'}, {'推荐': '特惠快车'}, {'推荐': '滴滴快车'}, {'推荐': '顺风车'}, {'推荐': '花小猪外接版'}, {'推荐': '花小猪正价版'}, {'推荐': '滴滴专车'}, {'推荐': '惊喜特价'}, {'更多': '滴滴代驾'}, {'更多': '宠物出行'}, {'更多': '滴滴包车'}, {'特价': '花小猪外接版'}, {'特价': '特惠快车'}, {'特价': '惊喜特价'}, {'舒适': '滴滴专车'}, {'舒适': '滴滴豪华车'}, {'送货': '汽车快送'}, {'送货': '跑腿'}]","[{'城际': '城际拼车'}, {'城际': '顺风车'}]","[{'城际': '城际拼车'}, {'城际': '顺风车'}, {'推荐': '顺风车'}]","[{'24': {'城际': '城际拼车'}}, {'25': {'城际': '顺风车'}}]","[{'23': {'推荐': '顺风车'}}, {'24': {'城际': '城际拼车'}}, {'25': {'城际': '顺风车'}}]"
下午要去广州塔拍摄，从佛山祖庙打的优先推荐大类车型,"[{'六座': '六座专车'}, {'城际': '城际拼车'}, {'城际': '顺风车'}, {'快速': '花小猪正价版'}, {'快速': '曹操出行'}, {'快速': '特快出租车'}, {'快速': '滴滴特快'}, {'快速': '出租车'}, {'快速': '滴滴快车'}, {'拼车': '特价拼车'}, {'拼车': '极速拼车'}, {'推荐': '极速拼车'}, {'推荐': '特惠快车'}, {'推荐': '滴滴快车'}, {'推荐': '顺风车'}, {'推荐': '花小猪外接版'}, {'推荐': '花小猪正价版'}, {'推荐': '滴滴专车'}, {'推荐': '惊喜特价'}, {'更多': '滴滴代驾'}, {'更多': '宠物出行'}, {'更多': '滴滴包车'}, {'特价': '花小猪外接版'}, {'特价': '特惠快车'}, {'特价': '惊喜特价'}, {'舒适': '滴滴专车'}, {'舒适': '滴滴豪华车'}, {'送货': '汽车快送'}, {'送货': '跑腿'}]","[{'推荐': '极速拼车'}, {'推荐': '特惠快车'}, {'推荐': '滴滴快车'}, {'推荐': '顺风车'}, {'推荐': '花小猪外接版'}, {'推荐': '花小猪正价版'}, {'推荐': '滴滴专车'}, {'推荐': '惊喜特价'}]","[{'城际': '顺风车'}, {'快速': '花小猪正价版'}, {'快速': '滴滴快车'}, {'拼车': '极速拼车'}, {'推荐': '极速拼车'}, {'推荐': '特惠快车'}, {'推荐': '滴滴快车'}, {'推荐': '顺风车'}, {'推荐': '花小猪外接版'}, {'推荐': '花小猪正价版'}, {'推荐': '滴滴专车'}, {'推荐': '惊喜特价'}, {'特价': '花小猪外接版'}, {'特价': '特惠快车'}, {'特价': '惊喜特价'}, {'舒适': '滴滴专车'}]","[{'1': {'推荐': '极速拼车'}}, {'2': {'推荐': '特惠快车'}}, {'3': {'推荐': '滴滴快车'}}, {'23': {'推荐': '顺风车'}}, {'26': {'推荐': '花小猪外接版'}}, {'27': {'推荐': '花小猪正价版'}}, {'28': {'推荐': '滴滴专车'}}, {'29': {'推荐': '惊喜特价'}}]","[{'1': {'推荐': '极速拼车'}}, {'2': {'推荐': '特惠快车'}}, {'3': {'推荐': '滴滴快车'}}, {'5': {'拼车': '极速拼车'}}, {'6': {'特价': '花小猪外接版'}}, {'7': {'特价': '特惠快车'}}, {'8': {'快速': '花小猪正价版'}}, {'13': {'快速': '滴滴快车'}}, {'14': {'舒适': '滴滴专车'}}, {'22': {'特价': '惊喜特价'}}, {'23': {'推荐': '顺风车'}}, {'25': {'城际': '顺风车'}}, {'26': {'推荐': '花小猪外接版'}}, {'27': {'推荐': '花小猪正价版'}}, {'28': {'推荐': '滴滴专车'}}, {'29': {'推荐': '惊喜特价'}}]"
东莞虎门到深圳北站指定快速大类，有个重要客户见面会,"[{'六座': '六座专车'}, {'城际': '城际拼车'}, {'城际': '顺风车'}, {'快速': '花小猪正价版'}, {'快速': '曹操出行'}, {'快速': '特快出租车'}, {'快速': '滴滴特快'}, {'快速': '出租车'}, {'快速': '滴滴快车'}, {'拼车': '特价拼车'}, {'拼车': '极速拼车'}, {'推荐': '极速拼车'}, {'推荐': '特惠快车'}, {'推荐': '滴滴快车'}, {'推荐': '顺风车'}, {'推荐': '花小猪外接版'}, {'推荐': '花小猪正价版'}, {'推荐': '滴滴专车'}, {'推荐': '惊喜特价'}, {'更多': '滴滴代驾'}, {'更多': '宠物出行'}, {'更多': '滴滴包车'}, {'特价': '花小猪外接版'}, {'特价': '特惠快车'}, {'特价': '惊喜特价'}, {'舒适': '滴滴专车'}, {'舒适': '滴滴豪华车'}, {'送货': '汽车快送'}, {'送货': '跑腿'}]","[{'快速': '花小猪正价版'}, {'快速': '曹操出行'}, {'快速': '特快出租车'}, {'快速': '滴滴特快'}, {'快速': '出租车'}, {'快速': '滴滴快车'}, {'拼车': '极速拼车'}, {'推荐': '特惠快车'}, {'推荐': '滴滴快车'}, {'特价': '特惠快车'}]","[{'快速': '花小猪正价版'}, {'快速': '曹操出行'}, {'快速': '特快出租车'}, {'快速': '滴滴特快'}, {'快速': '出租车'}, {'快速': '滴滴快车'}, {'推荐': '极速拼车'}, {'推荐': '特惠快车'}, {'推荐': '滴滴快车'}, {'推荐': '顺风车'}, {'推荐': '花小猪外接版'}, {'推荐': '花小猪正价版'}, {'推荐': '滴滴专车'}, {'推荐': '惊喜特价'}, {'特价': '花小猪外接版'}, {'特价': '特惠快车'}, {'特价': '惊喜特价'}]","[{'2': {'推荐': '特惠快车'}}, {'3': {'推荐': '滴滴快车'}}, {'5': {'拼车': '极速拼车'}}, {'7': {'特价': '特惠快车'}}, {'8': {'快速': '花小猪正价版'}}, {'9': {'快速': '曹操出行'}}, {'10': {'快速': '特快出租车'}}, {'11': {'快速': '滴滴特快'}}, {'12': {'快速': '出租车'}}, {'13': {'快速': '滴滴快车'}}]","[{'1': {'推荐': '极速拼车'}}, {'2': {'推荐': '特惠快车'}}, {'3': {'推荐': '滴滴快车'}}, {'6': {'特价': '花小猪外接版'}}, {'7': {'特价': '特惠快车'}}, {'8': {'快速': '花小猪正价版'}}, {'9': {'快速': '曹操出行'}}, {'10': {'快速': '特快出租车'}}, {'11': {'快速': '滴滴特快'}}, {'12': {'快速': '出租车'}}, {'13': {'快速': '滴滴快车'}}, {'22': {'特价': '惊喜特价'}}, {'23': {'推荐': '顺风车'}}, {'26': {'推荐': '花小猪外接版'}}, {'27': {'推荐': '花小猪正价版'}}, {'28': {'推荐': '滴滴专车'}}, {'29': {'推荐': '惊喜特价'}}]"
沈阳中街到桃仙机场需要舒适型服务，带两位外籍合作伙伴,"[{'六座': '六座专车'}, {'城际': '城际拼车'}, {'城际': '顺风车'}, {'快速': '花小猪正价版'}, {'快速': '曹操出行'}, {'快速': '特快出租车'}, {'快速': '滴滴特快'}, {'快速': '出租车'}, {'快速': '滴滴快车'}, {'拼车': '特价拼车'}, {'拼车': '极速拼车'}, {'推荐': '极速拼车'}, {'推荐': '特惠快车'}, {'推荐': '滴滴快车'}, {'推荐': '顺风车'}, {'推荐': '花小猪外接版'}, {'推荐': '花小猪正价版'}, {'推荐': '滴滴专车'}, {'推荐': '惊喜特价'}, {'更多': '滴滴代驾'}, {'更多': '宠物出行'}, {'更多': '滴滴包车'}, {'特价': '花小猪外接版'}, {'特价': '特惠快车'}, {'特价': '惊喜特价'}, {'舒适': '滴滴专车'}, {'舒适': '滴滴豪华车'}, {'送货': '汽车快送'}, {'送货': '跑腿'}]","[{'舒适': '滴滴专车'}, {'舒适': '滴滴豪华车'}]","[{'推荐': '滴滴专车'}, {'舒适': '滴滴专车'}, {'舒适': '滴滴豪华车'}]","[{'14': {'舒适': '滴滴专车'}}, {'15': {'舒适': '滴滴豪华车'}}]","[{'14': {'舒适': '滴滴专车'}}, {'15': {'舒适': '滴滴豪华车'}}, {'28': {'推荐': '滴滴专车'}}]"
大明湖到遥墙机场预约特价分类，顺便捎带会议资料,"[{'六座': '六座专车'}, {'城际': '城际拼车'}, {'城际': '顺风车'}, {'快速': '花小猪正价版'}, {'快速': '曹操出行'}, {'快速': '特快出租车'}, {'快速': '滴滴特快'}, {'快速': '出租车'}, {'快速': '滴滴快车'}, {'拼车': '特价拼车'}, {'拼车': '极速拼车'}, {'推荐': '极速拼车'}, {'推荐': '特惠快车'}, {'推荐': '滴滴快车'}, {'推荐': '顺风车'}, {'推荐': '花小猪外接版'}, {'推荐': '花小猪正价版'}, {'推荐': '滴滴专车'}, {'推荐': '惊喜特价'}, {'更多': '滴滴代驾'}, {'更多': '宠物出行'}, {'更多': '滴滴包车'}, {'特价': '花小猪外接版'}, {'特价': '特惠快车'}, {'特价': '惊喜特价'}, {'舒适': '滴滴专车'}, {'舒适': '滴滴豪华车'}, {'送货': '汽车快送'}, {'送货': '跑腿'}]","[{'拼车': '特价拼车'}, {'推荐': '特惠快车'}, {'推荐': '惊喜特价'}, {'特价': '花小猪外接版'}, {'特价': '特惠快车'}, {'特价': '惊喜特价'}]","[{'拼车': '特价拼车'}, {'拼车': '极速拼车'}, {'推荐': '极速拼车'}, {'推荐': '特惠快车'}, {'推荐': '滴滴快车'}, {'推荐': '顺风车'}, {'推荐': '花小猪外接版'}, {'推荐': '花小猪正价版'}, {'推荐': '滴滴专车'}, {'推荐': '惊喜特价'}, {'特价': '花小猪外接版'}, {'特价': '特惠快车'}, {'特价': '惊喜特价'}]","[{'2': {'推荐': '特惠快车'}}, {'4': {'拼车': '特价拼车'}}, {'6': {'特价': '花小猪外接版'}}, {'7': {'特价': '特惠快车'}}, {'22': {'特价': '惊喜特价'}}, {'29': {'推荐': '惊喜特价'}}]","[{'1': {'推荐': '极速拼车'}}, {'2': {'推荐': '特惠快车'}}, {'3': {'推荐': '滴滴快车'}}, {'4': {'拼车': '特价拼车'}}, {'5': {'拼车': '极速拼车'}}, {'6': {'特价': '花小猪外接版'}}, {'7': {'特价': '特惠快车'}}, {'22': {'特价': '惊喜特价'}}, {'23': {'推荐': '顺风车'}}, {'26': {'推荐': '花小猪外接版'}}, {'27': {'推荐': '花小猪正价版'}}, {'28': {'推荐': '滴滴专车'}}, {'29': {'推荐': '惊喜特价'}}]"
福州火车站去三坊七巷考察，选拼车类目比较经济实惠,"[{'六座': '六座专车'}, {'城际': '城际拼车'}, {'城际': '顺风车'}, {'快速': '花小猪正价版'}, {'快速': '曹操出行'}, {'快速': '特快出租车'}, {'快速': '滴滴特快'}, {'快速': '出租车'}, {'快速': '滴滴快车'}, {'拼车': '特价拼车'}, {'拼车': '极速拼车'}, {'推荐': '极速拼车'}, {'推荐': '特惠快车'}, {'推荐': '滴滴快车'}, {'推荐': '顺风车'}, {'推荐': '花小猪外接版'}, {'推荐': '花小猪正价版'}, {'推荐': '滴滴专车'}, {'推荐': '惊喜特价'}, {'更多': '滴滴代驾'}, {'更多': '宠物出行'}, {'更多': '滴滴包车'}, {'特价': '花小猪外接版'}, {'特价': '特惠快车'}, {'特价': '惊喜特价'}, {'舒适': '滴滴专车'}, {'舒适': '滴滴豪华车'}, {'送货': '汽车快送'}, {'送货': '跑腿'}]","[{'城际': '城际拼车'}, {'拼车': '特价拼车'}, {'拼车': '极速拼车'}, {'推荐': '极速拼车'}]","[{'城际': '城际拼车'}, {'城际': '顺风车'}, {'拼车': '特价拼车'}, {'拼车': '极速拼车'}, {'推荐': '极速拼车'}, {'推荐': '特惠快车'}, {'推荐': '滴滴快车'}, {'推荐': '顺风车'}, {'推荐': '花小猪外接版'}, {'推荐': '花小猪正价版'}, {'推荐': '滴滴专车'}, {'推荐': '惊喜特价'}]","[{'1': {'推荐': '极速拼车'}}, {'4': {'拼车': '特价拼车'}}, {'5': {'拼车': '极速拼车'}}, {'24': {'城际': '城际拼车'}}]","[{'1': {'推荐': '极速拼车'}}, {'2': {'推荐': '特惠快车'}}, {'3': {'推荐': '滴滴快车'}}, {'4': {'拼车': '特价拼车'}}, {'5': {'拼车': '极速拼车'}}, {'23': {'推荐': '顺风车'}}, {'24': {'城际': '城际拼车'}}, {'25': {'城际': '顺风车'}}, {'26': {'推荐': '花小猪外接版'}}, {'27': {'推荐': '花小猪正价版'}}, {'28': {'推荐': '滴滴专车'}}, {'29': {'推荐': '惊喜特价'}}]"
合肥南站到政务区要六座车型，部门团建正好坐得下,"[{'六座': '六座专车'}, {'城际': '城际拼车'}, {'城际': '顺风车'}, {'快速': '花小猪正价版'}, {'快速': '曹操出行'}, {'快速': '特快出租车'}, {'快速': '滴滴特快'}, {'快速': '出租车'}, {'快速': '滴滴快车'}, {'拼车': '特价拼车'}, {'拼车': '极速拼车'}, {'推荐': '极速拼车'}, {'推荐': '特惠快车'}, {'推荐': '滴滴快车'}, {'推荐': '顺风车'}, {'推荐': '花小猪外接版'}, {'推荐': '花小猪正价版'}, {'推荐': '滴滴专车'}, {'推荐': '惊喜特价'}, {'更多': '滴滴代驾'}, {'更多': '宠物出行'}, {'更多': '滴滴包车'}, {'特价': '花小猪外接版'}, {'特价': '特惠快车'}, {'特价': '惊喜特价'}, {'舒适': '滴滴专车'}, {'舒适': '滴滴豪华车'}, {'送货': '汽车快送'}, {'送货': '跑腿'}]",[{'六座': '六座专车'}],[{'六座': '六座专车'}],[{'16': {'六座': '六座专车'}}],[{'16': {'六座': '六座专车'}}]
昆明长水机场到滇池需要快车服务，展会展板急需运送,"[{'六座': '六座专车'}, {'城际': '城际拼车'}, {'城际': '顺风车'}, {'快速': '花小猪正价版'}, {'快速': '曹操出行'}, {'快速': '特快出租车'}, {'快速': '滴滴特快'}, {'快速': '出租车'}, {'快速': '滴滴快车'}, {'拼车': '特价拼车'}, {'拼车': '极速拼车'}, {'推荐': '极速拼车'}, {'推荐': '特惠快车'}, {'推荐': '滴滴快车'}, {'推荐': '顺风车'}, {'推荐': '花小猪外接版'}, {'推荐': '花小猪正价版'}, {'推荐': '滴滴专车'}, {'推荐': '惊喜特价'}, {'更多': '滴滴代驾'}, {'更多': '宠物出行'}, {'更多': '滴滴包车'}, {'特价': '花小猪外接版'}, {'特价': '特惠快车'}, {'特价': '惊喜特价'}, {'舒适': '滴滴专车'}, {'舒适': '滴滴豪华车'}, {'送货': '汽车快送'}, {'送货': '跑腿'}]","[{'快速': '花小猪正价版'}, {'快速': '曹操出行'}, {'快速': '特快出租车'}, {'快速': '滴滴特快'}, {'快速': '出租车'}, {'快速': '滴滴快车'}, {'拼车': '极速拼车'}, {'推荐': '极速拼车'}, {'推荐': '特惠快车'}, {'推荐': '滴滴快车'}, {'特价': '特惠快车'}, {'送货': '汽车快送'}]","[{'快速': '花小猪正价版'}, {'快速': '曹操出行'}, {'快速': '特快出租车'}, {'快速': '滴滴特快'}, {'快速': '出租车'}, {'快速': '滴滴快车'}, {'推荐': '极速拼车'}, {'推荐': '特惠快车'}, {'推荐': '滴滴快车'}, {'推荐': '顺风车'}, {'推荐': '花小猪外接版'}, {'推荐': '花小猪正价版'}, {'推荐': '滴滴专车'}, {'推荐': '惊喜特价'}, {'特价': '花小猪外接版'}, {'特价': '特惠快车'}, {'特价': '惊喜特价'}]","[{'1': {'推荐': '极速拼车'}}, {'2': {'推荐': '特惠快车'}}, {'3': {'推荐': '滴滴快车'}}, {'5': {'拼车': '极速拼车'}}, {'7': {'特价': '特惠快车'}}, {'8': {'快速': '花小猪正价版'}}, {'9': {'快速': '曹操出行'}}, {'10': {'快速': '特快出租车'}}, {'11': {'快速': '滴滴特快'}}, {'12': {'快速': '出租车'}}, {'13': {'快速': '滴滴快车'}}, {'20': {'送货': '汽车快送'}}]","[{'1': {'推荐': '极速拼车'}}, {'2': {'推荐': '特惠快车'}}, {'3': {'推荐': '滴滴快车'}}, {'6': {'特价': '花小猪外接版'}}, {'7': {'特价': '特惠快车'}}, {'8': {'快速': '花小猪正价版'}}, {'9': {'快速': '曹操出行'}}, {'10': {'快速': '特快出租车'}}, {'11': {'快速': '滴滴特快'}}, {'12': {'快速': '出租车'}}, {'13': {'快速': '滴滴快车'}}, {'22': {'特价': '惊喜特价'}}, {'23': {'推荐': '顺风车'}}, {'26': {'推荐': '花小猪外接版'}}, {'27': {'推荐': '花小猪正价版'}}, {'28': {'推荐': '滴滴专车'}}, {'29': {'推荐': '惊喜特价'}}]"
