query,车辆候选列表,answer,app,正确答案,category,category正确答案,mode,mode正确答案,price,price_min,price_max,think_time,问题,备注,标注人,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,_vehicle_pairs,_history,_query,_gt_category,_gt_mode,_gt_full_match
用高德打个聚优出租去创新大厦，价格不超过80元。,"|序号id|应用名称|车型大类|车辆类型|价格|
|22|高德地图|经济型|阳光出行|68|
|23|高德地图|特快车|超值体验 更快上车|73|
|24|高德地图|出租车|车多应答快|82|
|25|高德地图|出租车|鞍马聚的-高档出租车|82|
|26|高德地图|优享型|腾飞出行|86|
|27|高德地图|优享型|T3出行|87|
|28|高德地图|优享型|环旅出行|87|
|29|高德地图|优享型|曹操出行|87|
|30|高德地图|优享型|火箭出行|87|
|31|高德地图|优享型|及时用车|88|
|32|高德地图|优享型|旗妙出行|89|
|33|高德地图|优享型|斑马快跑|89|
|34|高德地图|优享型|中交出行|89|
|35|高德地图|优享型|首汽约车|90|
|36|高德地图|优享型|添猫出行|90|
|37|高德地图|优享型|星徽出行|90|
|38|高德地图|轻享专车|静音不打扰 整洁无异味|97|
|39|高德地图|品质专车|静音不打扰 整洁无异味|105|
|40|高德地图|六座商务|宽敞空间 商务体验|115|
|41|高德地图|豪华型|车型高端 服务专业|128|
|42|高德地图|经济|首汽约车|144|
|43|高德地图|拼车|出租车拼车|154|
|44|高德地图|拼车|特惠快车|155|
|45|高德地图|特价出发|惊喜特价|172|
|46|高德地图|快速出发|无|189|
|47|高德地图|惠享专车|神州专车|209|
|48|高德地图|推荐|特惠快车|227|
|49|高德地图|豪华型|undefined|148-151|","[{""app"": ""高德"", ""category"": ""无"", ""mode"": ""聚优出租"", ""price"": False, ""price_min"": 0, ""price_max"": 0, ""fast"": False}]",高德,,无,,聚优出租,无,False,0,0,15.00696659,,,顾存虹,,,,,"[{"""": ""极速拼车""}, {"""": ""特惠快车""}, {""优享型"": ""T3出行""}, {""优享型"": ""中交出行""}, {""优享型"": ""及时用车""}, {""优享型"": ""斑马快跑""}, {""优享型"": ""旗妙出行""}, {""优享型"": ""星徽出行""}, {""优享型"": ""曹操出行""}, {""优享型"": ""添猫出行""}, {""优享型"": ""火箭出行""}, {""优享型"": ""环旅出行""}, {""优享型"": ""腾飞出行""}, {""优享型"": ""首汽约车""}, {""六座商务"": ""宽敞空间 商务体验""}, {""出租车"": ""车多应答快""}, {""出租车"": ""鞍马聚的-高档出租车""}, {""品质专车"": ""静音不打扰 整洁无异味""}, {""快速出发"": ""无""}, {""惠享专车"": ""神州专车""}, {""拼车"": ""出租车拼车""}, {""拼车"": ""特惠快车""}, {""推荐"": ""特惠快车""}, {""特价出发"": ""惊喜特价""}, {""特快车"": ""超值体验 更快上车""}, {""经济"": ""首汽约车""}, {""经济型"": ""365约车""}, {""经济型"": ""K9用车""}, {""经济型"": ""T3出行""}, {""经济型"": ""中交出行""}, {""经济型"": ""享道出行""}, {""经济型"": ""北京新出租""}, {""经济型"": ""国泰出租""}, {""经济型"": ""妥妥E行""}, {""经济型"": ""方舟行""}, {""经济型"": ""旅程出租""}, {""经济型"": ""日初出行""}, {""经济型"": ""有滴出行""}, {""经济型"": ""橄榄新出租""}, {""经济型"": ""神州专车""}, {""经济型"": ""聚的出租车""}, {""经济型"": ""腾飞出行""}, {""经济型"": ""阳光出行""}, {""经济型"": ""鞍马出行""}, {""经济型"": ""鞍马聚的新出租""}, {""经济型"": ""飞嘀打车""}, {""经济型"": ""首汽约车""}, {""豪华型"": ""车型高端 服务专业""}, {""轻享专车"": ""静音不打扰 整洁无异味""}]",,帮我叫个聚优出租去软件园西区，用高德地图。,无,聚优出租,
用聚优出租去国际会展中心，车费不超过120元。,"|序号id|应用名称|车型大类|车辆类型|价格|
|---|---|---|---|---|
|0|高德地图|     |极速拼车|57-60|
|1|高德地图|     |特惠快车|63-63|
|2|高德地图|经济型|腾飞新出租|69|
|3|高德地图|经济型|享道出行|69|
|4|高德地图|经济型|聚的出租车|69|
|5|高德地图|经济型|日初出行|69|
|6|高德地图|经济型|深圳出租|70|
|7|高德地图|经济型|添猫出行|70|
|8|高德地图|经济型|妥妥E行|71|
|9|高德地图|经济型|J刻出行|71|
|10|高德地图|经济型|有序出行|71|
|11|高德地图|经济型|神州专车|71|
|12|高德地图|经济型|AA出行|71|
|13|高德地图|经济型|奇华出行|72|
|14|高德地图|经济型|900出行|72|
|15|高德地图|经济型|方舟行|72|
|16|高德地图|经济型|橄榄新出租|72|
|17|高德地图|经济型|风韵出行|72|
|18|高德地图|经济型|国泰出租|72|
|19|高德地图|经济型|5U出行|73|
|20|高德地图|经济型|北京新出租|73|
|21|高德地图|经济型|飞嘀打车|73|
|22|高德地图|特快车|超值体验 更快上车|80|
|23|高德地图|出租车|鞍马聚的-高档出租车|84|
|24|高德地图|优享型|妥妥E行|93|
|25|高德地图|优享型|风韵出行|93|
|26|高德地图|优享型|T3出行|94|
|27|高德地图|优享型|曹操出行|94|
|28|高德地图|优享型|环旅出行|94|
|29|高德地图|优享型|享道出行|94|
|30|高德地图|优享型|及时用车|95|
|31|高德地图|优享型|斑马快跑|95|
|32|高德地图|优享型|AA出行|95|
|33|高德地图|优享型|星徽出行|96|
|34|高德地图|优享型|阳光出行|97|
|35|高德地图|轻享专车|静音不打扰 整洁无异味|104|
|36|高德地图|品质专车|静音不打扰 整洁无异味|116|
|37|高德地图|六座商务|宽敞空间 商务体验|129|
|38|高德地图|豪华型|车型高端 服务专业|138|
|39|高德地图|经济|首汽约车|154|
|40|高德地图|拼车|出租车拼车|171|
|41|高德地图|特价出发|更多特价|186|
|42|高德地图|快速出发|无|204|
|43|高德地图|惠享专车|精选车型 优质司机|223|
|44|高德地图|推荐|特惠快车|249|
|45|高德地图|豪华型|undefined|156-157|","[{""app"": ""无"", ""category"": ""无"", ""mode"": ""聚优出租"", ""price"": True, ""price_min"": 0, ""price_max"": 120, ""fast"": False}]",无,,无,,聚优出租,无,True,0,120,9.076820374,,,顾存虹,,,,,"[{"""": ""极速拼车""}, {"""": ""特惠快车""}, {""优享型"": ""AA出行""}, {""优享型"": ""T3出行""}, {""优享型"": ""享道出行""}, {""优享型"": ""及时用车""}, {""优享型"": ""妥妥E行""}, {""优享型"": ""斑马快跑""}, {""优享型"": ""星徽出行""}, {""优享型"": ""曹操出行""}, {""优享型"": ""环旅出行""}, {""优享型"": ""阳光出行""}, {""优享型"": ""风韵出行""}, {""六座商务"": ""宽敞空间 商务体验""}, {""出租车"": ""鞍马聚的-高档出租车""}, {""品质专车"": ""静音不打扰 整洁无异味""}, {""快速出发"": ""无""}, {""惠享专车"": ""精选车型 优质司机""}, {""拼车"": ""出租车拼车""}, {""推荐"": ""特惠快车""}, {""特价出发"": ""更多特价""}, {""特快车"": ""超值体验 更快上车""}, {""经济"": ""首汽约车""}, {""经济型"": ""5U出行""}, {""经济型"": ""900出行""}, {""经济型"": ""AA出行""}, {""经济型"": ""J刻出行""}, {""经济型"": ""享道出行""}, {""经济型"": ""北京新出租""}, {""经济型"": ""国泰出租""}, {""经济型"": ""奇华出行""}, {""经济型"": ""妥妥E行""}, {""经济型"": ""方舟行""}, {""经济型"": ""日初出行""}, {""经济型"": ""有序出行""}, {""经济型"": ""橄榄新出租""}, {""经济型"": ""深圳出租""}, {""经济型"": ""添猫出行""}, {""经济型"": ""神州专车""}, {""经济型"": ""聚的出租车""}, {""经济型"": ""腾飞新出租""}, {""经济型"": ""风韵出行""}, {""经济型"": ""飞嘀打车""}, {""豪华型"": ""车型高端 服务专业""}, {""轻享专车"": ""静音不打扰 整洁无异味""}]",,用聚优出租去国际会展中心，车费不超过120元。,无,聚优出租,
用高德叫聚优出租去金融城地铁站，价格在40元以内。,"|序号id|应用名称|车型大类|车辆类型|价格|
|---|---|---|---|---|
|0|高德地图|     |极速拼车|50-53|
|1|高德地图|     |特惠快车|53-54|
|2|高德地图|经济型|中交出行|59|
|3|高德地图|经济型|J刻出行|60|
|4|高德地图|经济型|国泰出租|60|
|5|高德地图|经济型|T3出行|60|
|6|高德地图|经济型|5U出行|61|
|7|高德地图|经济型|易至出行|61|
|8|高德地图|经济型|旅程出租|61|
|9|高德地图|经济型|享道出行|61|
|10|高德地图|经济型|旗妙出行|61|
|11|高德地图|经济型|飞嘀打车|61|
|12|高德地图|经济型|聚的出租车|62|
|13|高德地图|经济型|东潮出行|62|
|14|高德地图|经济型|神州专车|62|
|15|高德地图|经济型|有序出行|62|
|16|高德地图|经济型|全民GO|63|
|17|高德地图|经济型|深圳出租|63|
|18|高德地图|经济型|首汽约车|63|
|19|高德地图|经济型|聚优出租|63|
|20|高德地图|特快车|超值体验 更快上车|68|
|21|高德地图|出租车|鞍马聚的-高档出租车|75|
|22|高德地图|优享型|妥妥E行|80|
|23|高德地图|优享型|全民GO|80|
|24|高德地图|优享型|T3出行|81|
|25|高德地图|优享型|火箭出行|81|
|26|高德地图|优享型|享道出行|81|
|27|高德地图|优享型|及时用车|81|
|28|高德地图|优享型|旗妙出行|82|
|29|高德地图|优享型|飞嘀打车|82|
|30|高德地图|优享型|东潮出行|82|
|31|高德地图|优享型|AA出行|83|
|32|高德地图|优享型|中交出行|83|
|33|高德地图|优享型|优e出行特选|83|
|34|高德地图|优享型|首汽约车|83|
|35|高德地图|轻享专车|静音不打扰 整洁无异味|87|
|36|高德地图|品质专车|静音不打扰 整洁无异味|99|
|37|高德地图|六座商务|宽敞空间 商务体验|109|
|38|高德地图|豪华型|车型高端 服务专业|119|
|39|高德地图|经济|首汽约车|132|
|40|高德地图|拼车|出租车拼车|142|
|41|高德地图|特价出发|更多特价|158|
|42|高德地图|特价出发|惊喜特价|159|
|43|高德地图|快速出发|无|172|
|44|高德地图|惠享专车|T3出行|194|
|45|高德地图|推荐|极速拼车|213|
|46|高德地图|豪华型|undefined|134-137|","[{""app"": ""高德"", ""category"": ""无"", ""mode"": ""聚优出租"", ""price"": True, ""price_min"": 0, ""price_max"": 40, ""fast"": False}]",高德,,无,,聚优出租,,True,0,40,9.131305933,,,顾存虹,,,,,"[{"""": ""极速拼车""}, {"""": ""特惠快车""}, {""优享型"": ""AA出行""}, {""优享型"": ""T3出行""}, {""优享型"": ""东潮出行""}, {""优享型"": ""中交出行""}, {""优享型"": ""享道出行""}, {""优享型"": ""优e出行特选""}, {""优享型"": ""全民GO""}, {""优享型"": ""及时用车""}, {""优享型"": ""妥妥E行""}, {""优享型"": ""旗妙出行""}, {""优享型"": ""火箭出行""}, {""优享型"": ""飞嘀打车""}, {""优享型"": ""首汽约车""}, {""六座商务"": ""宽敞空间 商务体验""}, {""出租车"": ""鞍马聚的-高档出租车""}, {""品质专车"": ""静音不打扰 整洁无异味""}, {""快速出发"": ""无""}, {""惠享专车"": ""T3出行""}, {""拼车"": ""出租车拼车""}, {""推荐"": ""极速拼车""}, {""特价出发"": ""惊喜特价""}, {""特价出发"": ""更多特价""}, {""特快车"": ""超值体验 更快上车""}, {""经济"": ""首汽约车""}, {""经济型"": ""5U出行""}, {""经济型"": ""J刻出行""}, {""经济型"": ""T3出行""}, {""经济型"": ""东潮出行""}, {""经济型"": ""中交出行""}, {""经济型"": ""享道出行""}, {""经济型"": ""全民GO""}, {""经济型"": ""国泰出租""}, {""经济型"": ""旅程出租""}, {""经济型"": ""旗妙出行""}, {""经济型"": ""易至出行""}, {""经济型"": ""有序出行""}, {""经济型"": ""深圳出租""}, {""经济型"": ""神州专车""}, {""经济型"": ""聚优出租""}, {""经济型"": ""聚的出租车""}, {""经济型"": ""飞嘀打车""}, {""经济型"": ""首汽约车""}, {""豪华型"": ""车型高端 服务专业""}, {""轻享专车"": ""静音不打扰 整洁无异味""}]",,用高德叫聚优出租去金融城地铁站，价格在40元以内。,无,聚优出租,
准备用聚优出租去人才公寓，用高德车费在30至50之间。,"|序号id|应用名称|车型大类|车辆类型|价格|
|---|---|---|---|---|
|0|高德地图|     |极速拼车|56-58|
|1|高德地图|     |特惠快车|60-63|
|2|高德地图|经济型|腾飞新出租|65|
|3|高德地图|经济型|旅程出租|65|
|4|高德地图|经济型|聚优出行|65|
|5|高德地图|经济型|日初出行|65|
|6|高德地图|经济型|深圳出租|65|
|7|高德地图|经济型|斑马快跑|65|
|8|高德地图|经济型|神州专车|66|
|9|高德地图|经济型|首汽约车|67|
|10|高德地图|经济型|奇华出行|67|
|11|高德地图|经济型|900出行|67|
|12|高德地图|经济型|T3出行|67|
|13|高德地图|经济型|方舟行|68|
|14|高德地图|经济型|365约车|68|
|15|高德地图|经济型|有滴出行|68|
|16|高德地图|经济型|曹操出行|68|
|17|高德地图|经济型|北京新出租|68|
|18|高德地图|经济型|飞嘀打车|68|
|19|高德地图|经济型|如祺出行|69|
|20|高德地图|经济型|聚优出租|69|
|21|高德地图|特快车|超值体验 更快上车|75|
|22|高德地图|出租车|鞍马聚的-高档出租车|82|
|23|高德地图|优享型|妥妥E行|88|
|24|高德地图|优享型|星徽出行|88|
|25|高德地图|优享型|享道出行|89|
|26|高德地图|优享型|及时用车|89|
|27|高德地图|优享型|火箭出行|91|
|28|高德地图|优享型|斑马快跑|91|
|29|高德地图|优享型|飞嘀打车|91|
|30|高德地图|优享型|AA出行|91|
|31|高德地图|优享型|全民GO|92|
|32|高德地图|优享型|首汽约车|92|
|33|高德地图|优享型|添猫出行|92|
|34|高德地图|优享型|环旅出行|92|
|35|高德地图|优享型|阳光出行|92|
|36|高德地图|轻享专车|静音不打扰 整洁无异味|101|
|37|高德地图|品质专车|静音不打扰 整洁无异味|111|
|38|高德地图|六座商务|宽敞空间 商务体验|119|
|39|高德地图|豪华型|车型高端 服务专业|131|
|40|高德地图|经济|首汽约车|147|
|41|高德地图|拼车|出租车拼车|158|
|42|高德地图|拼车|特惠快车|162|
|43|高德地图|特价出发|惊喜特价|178|
|44|高德地图|快速出发|无|192|
|45|高德地图|惠享专车|好车好服务|215|
|46|高德地图|推荐|特惠快车|233|
|47|高德地图|推荐|极速拼车|236|
|48|高德地图|豪华型|undefined|149-154|","[{""app"": ""高德"", ""category"": ""无"", ""mode"": ""聚优出租"", ""price"": True, ""price_min"": 30, ""price_max"": 50, ""fast"": False}]",高德,,无,,聚优出租,,True,30,50,15.97593284,,,顾存虹,,,,,"[{"""": ""极速拼车""}, {"""": ""特惠快车""}, {""优享型"": ""AA出行""}, {""优享型"": ""享道出行""}, {""优享型"": ""全民GO""}, {""优享型"": ""及时用车""}, {""优享型"": ""妥妥E行""}, {""优享型"": ""斑马快跑""}, {""优享型"": ""星徽出行""}, {""优享型"": ""添猫出行""}, {""优享型"": ""火箭出行""}, {""优享型"": ""环旅出行""}, {""优享型"": ""阳光出行""}, {""优享型"": ""飞嘀打车""}, {""优享型"": ""首汽约车""}, {""六座商务"": ""宽敞空间 商务体验""}, {""出租车"": ""鞍马聚的-高档出租车""}, {""品质专车"": ""静音不打扰 整洁无异味""}, {""快速出发"": ""无""}, {""惠享专车"": ""好车好服务""}, {""拼车"": ""出租车拼车""}, {""拼车"": ""特惠快车""}, {""推荐"": ""极速拼车""}, {""推荐"": ""特惠快车""}, {""特价出发"": ""惊喜特价""}, {""特快车"": ""超值体验 更快上车""}, {""经济"": ""首汽约车""}, {""经济型"": ""365约车""}, {""经济型"": ""900出行""}, {""经济型"": ""T3出行""}, {""经济型"": ""北京新出租""}, {""经济型"": ""奇华出行""}, {""经济型"": ""如祺出行""}, {""经济型"": ""斑马快跑""}, {""经济型"": ""方舟行""}, {""经济型"": ""旅程出租""}, {""经济型"": ""日初出行""}, {""经济型"": ""曹操出行""}, {""经济型"": ""有滴出行""}, {""经济型"": ""深圳出租""}, {""经济型"": ""神州专车""}, {""经济型"": ""聚优出租""}, {""经济型"": ""聚优出行""}, {""经济型"": ""腾飞新出租""}, {""经济型"": ""飞嘀打车""}, {""经济型"": ""首汽约车""}, {""豪华型"": ""车型高端 服务专业""}, {""轻享专车"": ""静音不打扰 整洁无异味""}]",,准备用聚优出租去人才公寓，用高德车费在30至50之间。,无,聚优出租,
叫个聚优出租去生态公园北门，价格不限。,"|序号id|应用名称|车型大类|车辆类型|价格|
|---|---|---|---|---|
|0|高德地图|     |极速拼车|48-48|
|1|高德地图|     |特惠快车|54-55|
|2|高德地图|经济型|腾飞出行|57|
|3|高德地图|经济型|国泰出租|57|
|4|高德地图|经济型|叮叮出行|57|
|5|高德地图|经济型|鞍马出行|57|
|6|高德地图|经济型|享道出行|58|
|7|高德地图|经济型|方舟行|58|
|8|高德地图|经济型|聚优出行|58|
|9|高德地图|经济型|旗妙出行|59|
|10|高德地图|经济型|橄榄新出租|59|
|11|高德地图|经济型|鞍马聚的新出租|59|
|12|高德地图|经济型|有序出行|60|
|13|高德地图|经济型|AA出行|60|
|14|高德地图|经济型|聚的出租车|60|
|15|高德地图|经济型|中交出行|60|
|16|高德地图|经济型|聚的新出租|61|
|17|高德地图|经济型|阳光出行|61|
|18|高德地图|特快车|超值体验 更快上车|65|
|19|高德地图|出租车|车多应答快|74|
|20|高德地图|出租车|鞍马聚的-高档出租车|74|
|21|高德地图|优享型|妥妥E行|77|
