query,车辆候选列表,全匹配,answer,app,正确答案,category,category正确答案,mode,mode正确答案,price,price_min,price_max,问题,备注,标注人,,,,,
用高德，打个车去北京南站，用斑马快跑经济型，价格不超过100元。  ,"|序号id|应用名称|车型大类|车辆类型|价格|
|43|高德地图|特价出发|惊喜特价|178|
|44|高德地图|快速出发|无|192|
|45|高德地图|惠享专车|好车好服务|215|
|46|高德地图|推荐|特惠快车|233|
|47|高德地图|推荐|极速拼车|236|
|48|高德地图|豪华型|undefined|149-154|",,"[{""app"": ""高德"", ""category"": ""高档出租车"", ""mode"": ""鞍马聚"", ""price"": True, ""price_min"": 150, ""price_max"": 150, ""fast"": False}]",高德,,高档出租车,无,鞍马聚,鞍马聚的-高档出租车,TRUE,150,150,,,王笑,,,,,
准备用高德叫个车去望京SOHO，用中交出行优享型，价格不限。  ,"|序号id|应用名称|车型大类|车辆类型|价格|
|---|---|---|---|---|
|0|高德地图|     |极速拼车|48-48|
|1|高德地图|     |特惠快车|54-55|
|2|高德地图|经济型|腾飞出行|57|
|3|高德地图|经济型|国泰出租|57|
|4|高德地图|经济型|叮叮出行|57|
|5|高德地图|经济型|鞍马出行|57|
|6|高德地图|经济型|享道出行|58|
|7|高德地图|经济型|方舟行|58|
|8|高德地图|经济型|聚优出行|58|
|9|高德地图|经济型|旗妙出行|59|
|10|高德地图|经济型|橄榄新出租|59|
|11|高德地图|经济型|鞍马聚的新出租|59|
|12|高德地图|经济型|有序出行|60|
|13|高德地图|经济型|AA出行|60|
|14|高德地图|经济型|聚的出租车|60|
|15|高德地图|经济型|中交出行|60|
|16|高德地图|经济型|聚的新出租|61|
|17|高德地图|经济型|阳光出行|61|
|18|高德地图|特快车|超值体验 更快上车|65|
|19|高德地图|出租车|车多应答快|74|
|20|高德地图|出租车|鞍马聚的-高档出租车|74|
|21|高德地图|优享型|妥妥E行|77|
|22|高德地图|优享型|中交出行|77|
|23|高德地图|优享型|腾飞出行|77|
|24|高德地图|优享型|曹操出行|77|
|25|高德地图|优享型|火箭出行|77|
|26|高德地图|优享型|及时用车|78|
|27|高德地图|优享型|享道出行|78|
|28|高德地图|优享型|旗妙出行|78|
|29|高德地图|优享型|飞嘀打车|79|
|30|高德地图|优享型|神州专车|79|
|31|高德地图|优享型|斑马快跑|79|
|32|高德地图|优享型|AA出行|80|
|33|高德地图|优享型|全民GO|80|
|34|高德地图|优享型|首汽约车|81|
|35|高德地图|轻享专车|静音不打扰 整洁无异味|88|
|36|高德地图|品质专车|静音不打扰 整洁无异味|96|
|37|高德地图|六座商务|宽敞空间 商务体验|107|
|38|高德地图|豪华型|车型高端 服务专业|114|
|39|高德地图|经济|首汽约车|129|
|40|高德地图|拼车|特惠快车|143|
|41|高德地图|特价出发|更多特价|156|
|42|高德地图|特价出发|惊喜特价|157|
|43|高德地图|快速出发|无|170|
|44|高德地图|惠享专车|精选车型 优质司机|185|
|45|高德地图|推荐|推荐专车|204|
|46|高德地图|推荐|特惠快车|206|
|47|高德地图|豪华型|undefined|136-139|",优享型|中交出行,"[{""app"": ""高德"", ""category"": ""无"", ""mode"": ""中交出行优享型"", ""price"": True, ""price_min"": 0, ""price_max"": 100000, ""fast"": False}]",高德,,无,,中交出行优享型,中交出行,TRUE,0,100000,,,王笑,,,,,
打个神州专车经济型去首都机场，用高德，价格不超过200元。  ,"|序号id|应用名称|车型大类|车辆类型|价格|
|---|---|---|---|---|
|0|高德地图|     |极速拼车|57-57|
|1|高德地图|     |特惠快车|62-64|
|2|高德地图|经济型|南京出租|67|
|3|高德地图|经济型|旅程出租|67|
|4|高德地图|经济型|聚的出租车|67|
|5|高德地图|经济型|中交出行|67|
|6|高德地图|经济型|全民GO|67|
|7|高德地图|经济型|添猫出行|67|
|8|高德地图|经济型|深圳出租|67|
|9|高德地图|经济型|环旅出行|68|
|10|高德地图|经济型|K9用车|68|
|11|高德地图|经济型|旗妙出行|68|
|12|高德地图|经济型|斑马快跑|68|
|13|高德地图|经济型|东潮出行|68|
|14|高德地图|经济型|神州专车|69|
|15|高德地图|经济型|AA出行|69|
|16|高德地图|经济型|首汽约车|69|
|17|高德地图|经济型|星徽出行|69|
|18|高德地图|经济型|900出行|69|
|19|高德地图|经济型|T3出行|70|
|20|高德地图|经济型|方舟行|70|
|21|高德地图|经济型|橄榄新出租|70|
|22|高德地图|经济型|北京的士|70|
|23|高德地图|经济型|迪尔出行|71|
|24|高德地图|经济型|5U出行|71|
|25|高德地图|经济型|飞嘀打车|71|
|26|高德地图|经济型|阳光出行|71|
|27|高德地图|特快车|超值体验 更快上车|74|
|28|高德地图|出租车|车多应答快|85|
|29|高德地图|优享型|星徽出行|91|
|30|高德地图|优享型|风韵出行|91|
|31|高德地图|优享型|享道出行|91|
|32|高德地图|优享型|及时用车|92|
|33|高德地图|优享型|神州专车|93|
|34|高德地图|优享型|全民GO|93|
|35|高德地图|优享型|添猫出行|93|
|36|高德地图|优享型|环旅出行|94|
|37|高德地图|优享型|阳光出行|94|
|38|高德地图|轻享专车|静音不打扰 整洁无异味|101|
|39|高德地图|品质专车|静音不打扰 整洁无异味|112|
|40|高德地图|六座商务|宽敞空间 商务体验|124|
|41|高德地图|豪华型|车型高端 服务专业|134|
|42|高德地图|经济|首汽约车|146|
|43|高德地图|拼车|出租车拼车|161|
|44|高德地图|拼车|特惠快车|165|
|45|高德地图|特价出发|惊喜特价|180|
|46|高德地图|快速出发|无|198|
|47|高德地图|惠享专车|T3出行|218|
|48|高德地图|推荐|推荐专车|240|
|49|高德地图|豪华型|undefined|150-154|",经济型|神州专车,"[{""app"": ""高德"", ""category"": ""无"", ""mode"": ""神州专车经济型"", ""price"": True, ""price_min"": 0, ""price_max"": 200, ""fast"": False}]",高德,,无,,神州专车经济型,神州专车,TRUE,0,200,,,王笑,,,,,
帮我叫个车多应答快出租车去金融街，价格在50到80之间。  ,"|序号id|应用名称|车型大类|车辆类型|价格|
|---|---|---|---|---|
|0|高德地图|     |极速拼车|59-62|
|1|高德地图|     |特惠快车|65-66|
|2|高德地图|经济型|南京出租|71|
|3|高德地图|经济型|聚的出租车|72|
|4|高德地图|经济型|日初出行|72|
|5|高德地图|经济型|渔阳出行|72|
|6|高德地图|经济型|添猫出行|73|
|7|高德地图|经济型|J刻出行|73|
|8|高德地图|经济型|叮叮出行|73|
|9|高德地图|经济型|有序出行|73|
|10|高德地图|经济型|神州专车|74|
|11|高德地图|经济型|AA出行|74|
|12|高德地图|经济型|斑马快跑|74|
|13|高德地图|经济型|星徽出行|74|
|14|高德地图|经济型|奇华出行|74|
|15|高德地图|经济型|T3出行|74|
|16|高德地图|经济型|国泰出租|74|
|17|高德地图|经济型|曹操出行|75|
|18|高德地图|经济型|北京新出租|75|
|19|高德地图|经济型|飞嘀打车|75|
|20|高德地图|经济型|如祺出行|75|
|21|高德地图|特快车|超值体验 更快上车|78|
|22|高德地图|出租车|车多应答快|89|
|23|高德地图|优享型|妥妥E行|95|
|24|高德地图|优享型|腾飞出行|95|
|25|高德地图|优享型|风韵出行|96|
|26|高德地图|优享型|享道出行|96|
|27|高德地图|优享型|及时用车|96|
|28|高德地图|优享型|斑马快跑|97|
|29|高德地图|优享型|神州专车|97|
|30|高德地图|优享型|东潮出行|98|
|31|高德地图|优享型|全民GO|98|
|32|高德地图|优享型|首汽约车|98|
|33|高德地图|优享型|添猫出行|98|
|34|高德地图|优享型|阳光出行|99|
|35|高德地图|轻享专车|静音不打扰 整洁无异味|108|
|36|高德地图|品质专车|静音不打扰 整洁无异味|116|
|37|高德地图|六座商务|宽敞空间 商务体验|130|
|38|高德地图|豪华型|车型高端 服务专业|140|
|39|高德地图|经济|首汽约车|156|
|40|高德地图|拼车|特惠快车|171|
|41|高德地图|特价出发|更多特价|189|
|42|高德地图|特价出发|惊喜特价|190|
|43|高德地图|快速出发|无|210|
|44|高德地图|惠享专车|曹操出行|227|
|45|高德地图|推荐|特惠快车|251|
|46|高德地图|豪华型|undefined|162-167|",,"[{""app"": ""无"", ""category"": ""出租车"", ""mode"": ""无"", ""price"": True, ""price_min"": 50, ""price_max"": 80, ""fast"": False}]",无,,出租车,,无,车多应答快,TRUE,50,80,,,王笑,,,,,
用高德，准备去颐和园用如祺出行经济型，价格在60左右。  ,"|序号id|应用名称|车型大类|车辆类型|价格|
|---|---|---|---|---|
|0|高德地图|     |极速拼车|56-58|
|1|高德地图|     |特惠快车|61-63|
|2|高德地图|经济型|腾飞新出租|67|
|3|高德地图|经济型|风韵出行|67|
|4|高德地图|经济型|享道出行|67|
|5|高德地图|经济型|及时用车|67|
|6|高德地图|经济型|橄榄新出租|68|
|7|高德地图|经济型|飞嘀打车|69|
|8|高德地图|经济型|神州专车|69|
|9|高德地图|经济型|AA出行|69|
|10|高德地图|经济型|东潮出行|69|
|11|高德地图|经济型|鞍马聚的新出租|69|
|12|高德地图|经济型|聚的出租车|70|
|13|高德地图|经济型|聚的新出租|71|
|14|高德地图|经济型|星徽出行|71|
|15|高德地图|经济型|中军出行|71|
|16|高德地图|特快车|超值体验 更快上车|78|
|17|高德地图|出租车|车多应答快|85|
|18|高德地图|优享型|风韵出行|90|
|19|高德地图|优享型|环旅出行|90|
|20|高德地图|优享型|曹操出行|90|
|21|高德地图|优享型|享道出行|91|
|22|高德地图|优享型|及时用车|92|
|23|高德地图|优享型|火箭出行|92|
|24|高德地图|优享型|旗妙出行|92|
|25|高德地图|优享型|神州专车|92|
|26|高德地图|优享型|AA出行|92|
|27|高德地图|优享型|中交出行|94|
|28|高德地图|优享型|优e出行特选|94|
|29|高德地图|优享型|星徽出行|94|
|30|高德地图|优享型|阳光出行|94|
|31|高德地图|轻享专车|静音不打扰 整洁无异味|102|
|32|高德地图|品质专车|静音不打扰 整洁无异味|110|
|33|高德地图|六座商务|宽敞空间 商务体验|121|
|34|高德地图|豪华型|车型高端 服务专业|136|
|35|高德地图|经济|首汽约车|147|
|36|高德地图|拼车|出租车拼车|162|
|37|高德地图|特价出发|更多特价|177|
|38|高德地图|特价出发|惊喜特价|179|
|39|高德地图|快速出发|无|197|
|40|高德地图|惠享专车|及时用车|219|
|41|高德地图|惠享专车|曹操出行|219|
|42|高德地图|推荐|特惠快车|240|
|43|高德地图|豪华型|undefined|153-157|",,"[{""app"": ""高德"", ""category"": ""经济型"", ""mode"": ""如祺出行"", ""price"": True, ""price_min"": 60, ""price_max"": 60, ""fast"": False}]",高德,,经济型,无,如祺出行,无,TRUE,60,60,,,王笑,,,,,
叫个T3出行优享型去五棵松体育馆，价格不超过120元。  ,"|序号id|应用名称|车型大类|车辆类型|价格|
|---|---|---|---|---|
|0|高德地图|     |极速拼车|55-56|
|1|高德地图|     |特惠快车|60-61|
|2|高德地图|经济型|易至出行|65|
|3|高德地图|经济型|鞍马出行|65|
|4|高德地图|经济型|聚的出租车|65|
|5|高德地图|经济型|日初出行|66|
|6|高德地图|经济型|全民GO|66|
|7|高德地图|经济型|渔阳出行|66|
|8|高德地图|经济型|添猫出行|67|
|9|高德地图|经济型|环旅出行|67|
|10|高德地图|经济型|妥妥E行|67|
|11|高德地图|经济型|K9用车|68|
|12|高德地图|经济型|神州专车|68|
|13|高德地图|经济型|AA出行|68|
|14|高德地图|经济型|首汽约车|68|
|15|高德地图|经济型|星徽出行|68|
|16|高德地图|经济型|北京的士|69|
|17|高德地图|经济型|365约车|69|
|18|高德地图|经济型|腾飞出行|69|
|19|高德地图|经济型|5U出行|69|
|20|高德地图|经济型|曹操出行|69|
|21|高德地图|特快车|超值体验 更快上车|76|
|22|高德地图|出租车|车多应答快|80|
|23|高德地图|出租车|鞍马聚的-高档出租车|84|
|24|高德地图|优享型|妥妥E行|88|
|25|高德地图|优享型|风韵出行|88|
|26|高德地图|优享型|T3出行|88|
|27|高德地图|优享型|享道出行|88|
|28|高德地图|优享型|斑马快跑|88|
|29|高德地图|优享型|东潮出行|88|
|30|高德地图|优享型|AA出行|88|
|31|高德地图|优享型|飞嘀打车|89|
|32|高德地图|优享型|神州专车|89|
|33|高德地图|优享型|中交出行|90|
|34|高德地图|优享型|优e出行特选|91|
|35|高德地图|优享型|首汽约车|91|
|36|高德地图|优享型|环旅出行|91|
|37|高德地图|优享型|阳光出行|92|
|38|高德地图|轻享专车|静音不打扰 整洁无异味|100|
|39|高德地图|品质专车|静音不打扰 整洁无异味|108|
|40|高德地图|六座商务|宽敞空间 商务体验|121|
|41|高德地图|豪华型|车型高端 服务专业|133|
|42|高德地图|经济|首汽约车|146|
|43|高德地图|拼车|出租车拼车|158|
|44|高德地图|特价出发|惊喜特价|175|
|45|高德地图|快速出发|无|191|
|46|高德地图|惠享专车|好车好服务|215|
|47|高德地图|推荐|特惠快车|232|
|48|高德地图|推荐|极速拼车|234|
|49|高德地图|豪华型|undefined|148-149|",,"[{""app"": ""T3"", ""category"": ""无"", ""mode"": ""T3出行优享型"", ""price"": True, ""price_min"": 0, ""price_max"": 120, ""fast"": False}]",T3,无,无,,T3出行优享型,T3出行,TRUE,0,120,,,王笑,,,,,
用高德打车去798艺术区，用阳光出行经济型，价格在70到90之间。  ,"|序号id|应用名称|车型大类|车辆类型|价格|
|---|---|---|---|---|
|0|高德地图|     |极速拼车|51-54|
|1|高德地图|     |特惠快车|58-61|
|2|高德地图|经济型|腾飞新出租|63|
|3|高德地图|经济型|旅程出租|63|
|4|高德地图|经济型|鞍马聚的新出租|63|
|5|高德地图|经济型|聚的出租车|63|
|6|高德地图|经济型|日初出行|64|
|7|高德地图|经济型|全民GO|64|
|8|高德地图|经济型|深圳出租|64|
|9|高德地图|经济型|添猫出行|64|
|10|高德地图|经济型|叮叮出行|64|
|11|高德地图|经济型|K9用车|64|
|12|高德地图|经济型|斑马快跑|64|
|13|高德地图|经济型|AA出行|64|
|14|高德地图|经济型|星徽出行|64|
|15|高德地图|经济型|奇华出行|65|
|16|高德地图|经济型|方舟行|65|
|17|高德地图|经济型|橄榄新出租|65|
|18|高德地图|经济型|迪尔出行|65|
|19|高德地图|经济型|有滴出行|65|
|20|高德地图|经济型|腾飞出行|65|
|21|高德地图|经济型|国泰出租|65|
|22|高德地图|经济型|曹操出行|66|
|23|高德地图|经济型|飞嘀打车|66|
|24|高德地图|经济型|阳光出行|67|
|25|高德地图|特快车|超值体验 更快上车|73|
|26|高德地图|出租车|车多应答快|78|
|27|高德地图|优享型|腾飞出行|84|
|28|高德地图|优享型|曹操出行|86|
|29|高德地图|优享型|火箭出行|86|
|30|高德地图|优享型|东潮出行|86|
|31|高德地图|优享型|AA出行|87|
|32|高德地图|优享型|全民GO|87|
|33|高德地图|优享型|首汽约车|87|
|34|高德地图|优享型|阳光出行|88|
|35|高德地图|轻享专车|静音不打扰 整洁无异味|93|
|36|高德地图|品质专车|静音不打扰 整洁无异味|105|
|37|高德地图|六座商务|宽敞空间 商务体验|115|
|38|高德地图|豪华型|车型高端 服务专业|129|
|39|高德地图|经济|首汽约车|139|
|40|高德地图|拼车|出租车拼车|154|
|41|高德地图|特价出发|惊喜特价|168|
|42|高德地图|快速出发|无|184|
|43|高德地图|惠享专车|T3出行|206|
|44|高德地图|推荐|特惠快车|226|
|45|高德地图|豪华型|undefined|146-151|",经济型|阳光出行,"[{""app"": ""高德"", ""category"": ""无"", ""mode"": ""无"", ""price"": False, ""price_min"": 0, ""price_max"": 0, ""fast"": False}, {""app"": ""无"", ""category"": ""经济型"", ""mode"": ""阳光出行"", ""price"": True, ""price_min"": 70, ""price_max"": 90, ""fast"": False}]",高德,,无,,无,阳光出行,FALSE,0,0,,,王笑,,,,,
用高德，打个车去蓝色港湾，用风韵出行优享型，价格不限。  ,"|序号id|应用名称|车型大类|车辆类型|价格|
|---|---|---|---|---|
|0|高德地图|     |极速拼车|57-57|
|1|高德地图|     |特惠快车|60-63|
|2|高德地图|经济型|南京出租|67|
|3|高德地图|经济型|旅程出租|67|
|4|高德地图|经济型|享道出行|67|
|5|高德地图|经济型|聚优出行|67|
|6|高德地图|经济型|鞍马聚的新出租|67|
|7|高德地图|经济型|聚的出租车|67|
|8|高德地图|经济型|叮叮出行|68|
|9|高德地图|经济型|斑马快跑|68|
|10|高德地图|经济型|AA出行|68|
|11|高德地图|经济型|首汽约车|69|
|12|高德地图|经济型|T3出行|69|
|13|高德地图|经济型|橄榄新出租|69|
|14|高德地图|经济型|方舟行|69|
|15|高德地图|经济型|迪尔出行|69|
|16|高德地图|经济型|国泰出租|70|
|17|高德地图|经济型|5U出行|70|
|18|高德地图|经济型|北京新出租|70|
|19|高德地图|经济型|及时用车|70|
|20|高德地图|经济型|飞嘀打车|70|
|21|高德地图|经济型|阳光出行|71|
|22|高德地图|特快车|超值体验 更快上车|74|
|23|高德地图|出租车|车多应答快|84|
|24|高德地图|优享型|旅程专车|90|
|25|高德地图|优享型|腾飞出行|91|
|26|高德地图|优享型|全民GO|91|
|27|高德地图|优享型|T3出行|92|
|28|高德地图|优享型|曹操出行|92|
|29|高德地图|优享型|风韵出行|93|
|30|高德地图|优享型|享道出行|93|
|31|高德地图|优享型|神州专车|93|
|32|高德地图|优享型|AA出行|93|
|33|高德地图|优享型|中交出行|94|
|34|高德地图|优享型|首汽约车|94|
|35|高德地图|优享型|添猫出行|94|
|36|高德地图|优享型|星徽出行|94|
|37|高德地图|优享型|阳光出行|94|
|38|高德地图|轻享专车|静音不打扰 整洁无异味|100|
|39|高德地图|品质专车|静音不打扰 整洁无异味|110|
|40|高德地图|六座商务|宽敞空间 商务体验|124|
|41|高德地图|豪华型|车型高端 服务专业|136|
|42|高德地图|经济|首汽约车|149|
|43|高德地图|拼车|特惠快车|164|
|44|高德地图|特价出发|惊喜特价|179|
|45|高德地图|快速出发|无|195|
|46|高德地图|惠享专车|曹操出行|215|
|47|高德地图|推荐|特惠快车|240|
|48|高德地图|豪华型|undefined|152-156|",,"[{""app"": ""高德"", ""category"": ""无"", ""mode"": ""风韵出行优享型"", ""price"": True, ""price_min"": 0, ""price_max"": 100000, ""fast"": False}]",高德,,无,,风韵出行优享型,风韵出行,TRUE,0,100000,,,王笑,,,,,
打个中军出行经济型去北京站，用高德，价格不超过80元。  ,"|序号id|应用名称|车型大类|车辆类型|价格|
|---|---|---|---|---|
|0|高德地图|     |极速拼车|58-61|
|1|高德地图|     |特惠快车|64-66|
|2|高德地图|经济型|旅程出租|69|
|3|高德地图|经济型|易至出行|70|
|4|高德地图|经济型|鞍马出行|70|
|5|高德地图|经济型|聚优出行|70|
|6|高德地图|经济型|享道出行|70|
|7|高德地图|经济型|鞍马聚的新出租|70|
|8|高德地图|经济型|中交出行|70|
|9|高德地图|经济型|全民GO|70|
|10|高德地图|经济型|深圳出租|70|
|11|高德地图|经济型|叮叮出行|70|
|12|高德地图|经济型|有序出行|70|
|13|高德地图|经济型|首汽约车|71|
|14|高德地图|经济型|奇华出行|71|
|15|高德地图|经济型|橄榄新出租|71|
|16|高德地图|经济型|方舟行|72|
|17|高德地图|经济型|北京的士|72|
|18|高德地图|经济型|迪尔出行|72|
|19|高德地图|经济型|有滴出行|72|
|20|高德地图|经济型|风韵出行|73|
|21|高德地图|经济型|飞嘀打车|73|
|22|高德地图|经济型|阳光出行|73|
|23|高德地图|特快车|超值体验 更快上车|80|
|24|高德地图|出租车|车多应答快|84|
|25|高德地图|优享型|妥妥E行|93|
|26|高德地图|优享型|享道出行|94|
|27|高德地图|优享型|及时用车|95|
|28|高德地图|优享型|火箭出行|95|
|29|高德地图|优享型|斑马快跑|95|
|30|高德地图|优享型|神州专车|95|
|31|高德地图|优享型|AA出行|95|
|32|高德地图|优享型|优e出行特选|97|
|33|高德地图|优享型|首汽约车|97|
|34|高德地图|轻享专车|静音不打扰 整洁无异味|104|
|35|高德地图|品质专车|静音不打扰 整洁无异味|115|
|36|高德地图|六座商务|宽敞空间 商务体验|125|
|37|高德地图|豪华型|车型高端 服务专业|138|
|38|高德地图|经济|首汽约车|156|
|39|高德地图|拼车|特惠快车|167|
|40|高德地图|特价出发|惊喜特价|184|
|41|高德地图|快速出发|无|206|
|42|高德地图|惠享专车|好车好服务|223|
|43|高德地图|推荐|特惠快车|247|
|44|高德地图|豪华型|undefined|160-164|",,"[{""app"": ""高德"", ""category"": ""经济型"", ""mode"": ""中军出行"", ""price"": True, ""price_min"": 0, ""price_max"": 80, ""fast"": False}]",高德,,经济型,无,中军出行,无,TRUE,0,80,,,王笑,,,,,
用高德叫个火箭出行优享型去奥林匹克公园，价格在100左右。  ,"|序号id|应用名称|车型大类|车辆类型|价格|
|---|---|---|---|---|
|0|高德地图|     |极速拼车|51-52|
|1|高德地图|     |特惠快车|58-61|
|2|高德地图|经济型|南京出租|64|
|3|高德地图|经济型|旅程出租|65|
|4|高德地图|经济型|鞍马出行|65|
|5|高德地图|经济型|聚的出租车|65|
|6|高德地图|经济型|深圳出租|65|
|7|高德地图|经济型|环旅出行|65|
|8|高德地图|经济型|J刻出行|65|
|9|高德地图|经济型|叮叮出行|65|
|10|高德地图|经济型|K9用车|65|
|11|高德地图|经济型|旗妙出行|65|
|12|高德地图|经济型|有序出行|66|
|13|高德地图|经济型|AA出行|66|
|14|高德地图|经济型|T3出行|66|
|15|高德地图|经济型|橄榄新出租|66|
|16|高德地图|经济型|方舟行|66|
|17|高德地图|经济型|迪尔出行|67|
|18|高德地图|经济型|国泰出租|67|
|19|高德地图|经济型|及时用车|67|
|20|高德地图|经济型|飞嘀打车|67|
|21|高德地图|经济型|阳光出行|67|
|22|高德地图|特快车|超值体验 更快上车|69|
|23|高德地图|出租车|车多应答快|78|
|24|高德地图|优享型|中交出行|84|
|25|高德地图|优享型|旅程专车|84|
|26|高德地图|优享型|风韵出行|85|
|27|高德地图|优享型|腾飞出行|85|
|28|高德地图|优享型|T3出行|85|
|29|高德地图|优享型|曹操出行|86|
|30|高德地图|优享型|及时用车|87|
|31|高德地图|优享型|旗妙出行|87|
|32|高德地图|优享型|神州专车|87|
|33|高德地图|优享型|AA出行|87|
|34|高德地图|优享型|全民GO|88|
|35|高德地图|优享型|星徽出行|88|
|36|高德地图|优享型|阳光出行|88|
|37|高德地图|轻享专车|静音不打扰 整洁无异味|95|
|38|高德地图|品质专车|静音不打扰 整洁无异味|107|
|39|高德地图|六座商务|宽敞空间 商务体验|113|
|40|高德地图|豪华型|车型高端 服务专业|127|
|41|高德地图|经济|首汽约车|139|
|42|高德地图|拼车|特惠快车|152|
|43|高德地图|特价出发|更多特价|170|
|44|高德地图|快速出发|无|186|
|45|高德地图|惠享专车|阳光出行|205|
|46|高德地图|推荐|特惠快车|225|
|47|高德地图|豪华型|undefined|143-147|",,"[{""app"": ""高德"", ""category"": ""无"", ""mode"": ""火箭出行优享型"", ""price"": True, ""price_min"": 100, ""price_max"": 100, ""fast"": False}]",高德,,无,,火箭出行优享型,无,TRUE,100,100,,,王笑,,,,,
用高德打车去香山公园，用全民GO经济型，价格在50到60之间。  ,"|序号id|应用名称|车型大类|车辆类型|价格|
|---|---|---|---|---|
|0|高德地图|     |极速拼车|48-50|
|1|高德地图|     |特惠快车|54-54|
|2|高德地图|经济型|腾飞新出租|57|
|3|高德地图|经济型|易至出行|57|
|4|高德地图|经济型|鞍马出行|57|
|5|高德地图|经济型|享道出行|57|
