model,query,车辆候选列表,id,大类|小类,answer原数据,app,正确答案,app名称,category,category正确答案,车大类,mode,mode正确答案,车小类,price,正确答案,是否包含价格,price_min,正确答案,价格下限,price_max,正确答案,think_time,价格上限,问题,备注,标注人,
Qwen2.5-32B-Instruct,用滴滴叫六座专车去江北国际机场。,"|序号id|应用名称|车型大类|车辆类型|价格|
|---|---|---|---|---|
|0|滴滴|推荐|花小猪正价版|28.69|
|1|滴滴|推荐|特惠快车|29.12|
|2|滴滴|推荐|滴滴快车|30.29|
|3|滴滴|拼车|特价拼车|32.31-34.22|
|4|滴滴|特价|花小猪外接版|36.87|
|5|滴滴|特价|惊喜特价|40.38|
|6|滴滴|快速|曹操出行|50.56|
|7|滴滴|快速|出租车|53.75|
|8|滴滴|快速|滴滴轻享|53.99|
|9|滴滴|快速|滴滴特快|55.07|
|10|滴滴|舒适|滴滴专车|72.14|
|11|滴滴|舒适|滴滴豪华车|73.23|
|12|滴滴|六座|六座专车|98.04|
|13|滴滴|六座|六座豪华车|98.71|",12,六座|六座专车,"[{""app"": ""滴滴"", ""category"": ""六座专车"", ""mode"": ""无"", ""price"": False, ""price_min"": 0, ""price_max"": 0, ""fast"": False}]",滴滴,,滴滴,六座专车,无,无,无,六座专车,六座专车,FALSE,,FALSE,0,,0,0,,1.122124195,0,"直接命中车小类关键字但answer中没有或错误,answer下的车型必须存在于“车辆候选列表”",,王笑,
Qwen2.5-32B-Instruct,打特价拼车到火山口地质公园，费用不超过50元。,"|序号id|应用名称|车型大类|车辆类型|价格|
|---|---|---|---|---|
|0|滴滴|推荐|花小猪正价版|33.25|
|1|滴滴|推荐|特惠快车|33.98|
|2|滴滴|推荐|滴滴快车|36.28|
|3|滴滴|拼车|特价拼车|29.51-31.11|
|4|滴滴|特价|花小猪外接版|34.44|
|5|滴滴|特价|惊喜特价|35.18|
|6|滴滴|特价|特惠快车|36.99|
|7|滴滴|快速|曹操出行|46.26|
|8|滴滴|快速|出租车|47.97|
|9|滴滴|快速|滴滴轻享|48.66|
|10|滴滴|快速|滴滴特快|50.52|
|11|滴滴|舒适|滴滴专车|67.86|
|12|滴滴|六座|六座专车|106.98|
|13|滴滴|六座|六座豪华车|107.57|",3,拼车|特价拼车,"[{""app"": ""无"", ""category"": ""特价拼车"", ""mode"": ""无"", ""price"": True, ""price_min"": 0, ""price_max"": 30, ""fast"": False}]",无,,无,特价拼车,无,无,无,特价拼车,特价拼车,TRUE,,TRUE,0,,0,30,50,1.123663425,50,"直接命中车小类关键字但answer中没有或错误,answer下的车型必须存在于“车辆候选列表”",,王笑,
Qwen2.5-32B-Instruct,叫辆特惠快车到海底捞钟楼店，费用控制在50元以内。,"|序号id|应用名称|车型大类|车辆类型|价格|
|---|---|---|---|---|
|0|滴滴|推荐|花小猪正价版|29.76|
|1|滴滴|推荐|特惠快车|32.73|
|2|滴滴|推荐|滴滴快车|34.48|
|3|滴滴|拼车|特价拼车|34.34-35.36|
|4|滴滴|特价|花小猪外接版|35.14|
|5|滴滴|特价|惊喜特价|35.33|
|6|滴滴|快速|曹操出行|58.91|
|7|滴滴|快速|出租车|60.00|
|8|滴滴|快速|滴滴轻享|60.23|
|9|滴滴|快速|滴滴特快|62.29|
|10|滴滴|快速|滴滴优享|62.97|
|11|滴滴|快速|滴滴快车|62.97|
|12|滴滴|舒适|滴滴专车|80.53|
|13|滴滴|六座|六座专车|133.80|",1,推荐|特惠快车,"[{""app"": ""无"", ""category"": ""特惠快车"", ""mode"": ""无"", ""price"": True, ""price_min"": 0, ""price_max"": 30, ""fast"": False}]",无,,无,特惠快车,无,无,无,特惠快车,特惠快车,TRUE,,TRUE,0,,0,30,50,1.125737667,50,"直接命中车小类关键字但answer中没有或错误,answer下的车型必须存在于“车辆候选列表”",,王笑,
Qwen2.5-32B-Instruct,叫个特价拼车和曹操出行去秦淮水游城，选最快路线。,"|序号id|应用名称|车型大类|车辆类型|价格|
|---|---|---|---|---|
|0|滴滴|推荐|花小猪正价版|12.53|
|1|滴滴|推荐|特惠快车|12.55|
|2|滴滴|推荐|滴滴快车|15.26|
|3|滴滴|拼车|特价拼车|10.63-12.31|
|4|滴滴|拼车|极速拼车|14.02-15.94|
|5|滴滴|特价|花小猪外接版|15.38|
|6|滴滴|特价|惊喜特价|17.05|
|7|滴滴|快速|曹操出行|21.37|
|8|滴滴|快速|出租车|22.60|
|9|滴滴|快速|滴滴轻享|24.98|
|10|滴滴|快速|滴滴特快|25.46|
|11|滴滴|快速|滴滴优享|25.48|
|12|滴滴|舒适|滴滴专车|40.27|
|13|滴滴|六座|六座专车|60.76|","3,7",拼车|特价拼车，快速|曹操出行,"[{""app"": ""无"", ""category"": ""特价拼车"", ""mode"": ""曹操出行"", ""price"": False, ""price_min"": 0, ""price_max"": 0, ""fast"": True}]",无,,无,特价拼车,无,无,曹操出行,特价拼车，曹操出行,特价拼车，曹操出行,FALSE,,FALSE,0,,0,0,,1.117674828,0,"直接命中车小类关键字但answer中没有或错误,answer下的车型必须存在于“车辆候选列表”",,王笑,
Qwen2.5-32B-Instruct,预约特快出租车到省医观山湖院区，7:40前出发优先畅通路线。,"|序号id|应用名称|车型大类|车辆类型|价格|
|---|---|---|---|---|
|0|滴滴|推荐|花小猪正价版|2.84|
|1|滴滴|推荐|特惠快车|3.77|
|2|滴滴|推荐|滴滴快车|5.00|
|3|滴滴|拼车|特价拼车|-0.62-1.26|
|4|滴滴|拼车|极速拼车|5.62-6.82|
|5|滴滴|特价|花小猪外接版|5.47|
|6|滴滴|特价|惊喜特价|7.74|
|7|滴滴|快速|曹操出行|7.65|
|8|滴滴|快速|出租车|10.71|
|9|滴滴|快速|滴滴轻享|11.77|
|10|滴滴|舒适|滴滴专车|11.79|
|11|滴滴|六座|六座专车|17.21|
|12|滴滴|六座|六座豪华车|17.75|",8,快速|出租车,"[{""app"": ""无"", ""category"": ""特快出租车"", ""mode"": ""无"", ""price"": False, ""price_min"": 0, ""price_max"": 0, ""fast"": False}]",无,,无,特快出租车,无,无,无,出租车,出租车,FALSE,,FALSE,0,,0,0,,1.085384846,0,answer下的车型必须存在于“车辆候选列表”,,王笑,
Qwen2.5-32B-Instruct,叫辆六座专车去北京首都国际机场，选特惠快车也行。,"|序号id|应用名称|车型大类|车辆类型|价格|
|---|---|---|---|---|
|0|滴滴|推荐|花小猪正价版|5.76|
|1|滴滴|推荐|特惠快车|7.19|
|2|滴滴|推荐|滴滴快车|7.54|
|3|滴滴|推荐|特快出租车|8.38|
|4|滴滴|拼车|特价拼车|2.44-4.03|
|5|滴滴|特价|花小猪外接版|7.33|
|6|滴滴|特价|惊喜特价|7.63|
|7|滴滴|快速|曹操出行|13.45|
|8|滴滴|快速|出租车|14.79|
|9|滴滴|快速|滴滴轻享|16.36|
|10|滴滴|舒适|滴滴专车|19.29|
|11|滴滴|六座|六座专车|28.58|
|12|滴滴|六座|六座豪华车|28.92|","1,11",六座|六座专车，推荐|特惠快车,"[{""app"": ""无"", ""category"": ""六座专车, 特惠快车"", ""mode"": ""无"", ""price"": False, ""price_min"": 0, ""price_max"": 0, ""fast"": False}]",无,,无,"六座专车, 特惠快车",无,无,无,"六座专车, 特惠快车","六座专车, 特惠快车",FALSE,,FALSE,0,,0,0,,1.219257593,0,"直接命中车小类关键字但answer中没有或错误,answer下的车型必须存在于“车辆候选列表”",,王笑,
Qwen2.5-32B-Instruct,叫辆特价拼车到南京新街口中央商场，价格不超过35元。,"|序号id|应用名称|车型大类|车辆类型|价格|
|---|---|---|---|---|
|0|滴滴|推荐|花小猪正价版|21.53|
|1|滴滴|推荐|特惠快车|21.93|
|2|滴滴|推荐|滴滴快车|24.43|
|3|滴滴|拼车|特价拼车|18.81-20.60|
|4|滴滴|拼车|极速拼车|21.33-22.47|
|5|滴滴|特价|花小猪外接版|25.31|
|6|滴滴|特价|惊喜特价|26.92|
|7|滴滴|快速|曹操出行|36.68|
|8|滴滴|快速|出租车|37.21|
|9|滴滴|快速|滴滴轻享|37.98|
|10|滴滴|快速|滴滴特快|38.33|
|11|滴滴|快速|滴滴优享|40.33|
|12|滴滴|舒适|滴滴专车|47.19|
|13|滴滴|六座|六座专车|87.47|
|14|滴滴|六座|六座豪华车|90.02|",3,拼车|特价拼车,"[{""app"": ""无"", ""category"": ""特价拼车"", ""mode"": ""无"", ""price"": True, ""price_min"": 0, ""price_max"": 35, ""fast"": False}]",无,,无,特价拼车,无,无,无,特价拼车,特价拼车,TRUE,,TRUE,0,,0,35,,1.122435331,35,"直接命中车小类关键字但answer中没有或错误,answer下的车型必须存在于“车辆候选列表”",,王笑,
Qwen2.5-32B-Instruct,叫个惊喜特价到中山公园，费用不超过20元。,"|序号id|应用名称|车型大类|车辆类型|价格|
|---|---|---|---|---|
|0|滴滴|推荐|花小猪正价版|5.10|
|1|滴滴|推荐|特惠快车|6.16|
|2|滴滴|推荐|滴滴快车|6.56|
|3|滴滴|拼车|特价拼车|3.23-4.87|
|4|滴滴|拼车|极速拼车|-0.08-1.69|
|5|滴滴|特价|花小猪外接版|4.77|
|6|滴滴|特价|惊喜特价|6.56|
|7|滴滴|快速|曹操出行|9.91|
|8|滴滴|快速|出租车|10.09|
|9|滴滴|快速|滴滴轻享|11.87|
|10|滴滴|舒适|滴滴专车|11.76|
|11|滴滴|舒适|滴滴豪华车|12.97|
|12|滴滴|六座|六座专车|18.40|
|13|滴滴|六座|六座豪华车|19.18|",6,特价|惊喜特价,"[{""app"": ""无"", ""category"": ""惊喜特价"", ""mode"": ""无"", ""price"": True, ""price_min"": 0, ""price_max"": 20, ""fast"": False}]",无,,无,惊喜特价,无,无,无,惊喜特价,惊喜特价,TRUE,,TRUE,0,,0,20,,1.081182241,20,"直接命中车小类关键字但answer中没有或错误,answer下的车型必须存在于“车辆候选列表”",,王笑,
Qwen2.5-32B-Instruct,用惊喜特价到上海科技馆，不超过30块。,"|序号id|应用名称|车型大类|车辆类型|价格|
|---|---|---|---|---|
|0|滴滴|推荐|花小猪正价版|21.85|
|1|滴滴|推荐|特惠快车|21.96|
|2|滴滴|推荐|滴滴快车|22.90|
|3|滴滴|推荐|特快出租车|23.47|
|4|滴滴|拼车|特价拼车|14.53-15.63|
|5|滴滴|特价|花小猪外接版|25.77|
|6|滴滴|特价|惊喜特价|28.32|
|7|滴滴|快速|曹操出行|38.28|
|8|滴滴|快速|出租车|39.53|
|9|滴滴|快速|滴滴轻享|40.13|
|10|滴滴|快速|滴滴特快|41.75|
|11|滴滴|快速|滴滴优享|41.84|
|12|滴滴|舒适|滴滴专车|53.17|
|13|滴滴|舒适|滴滴豪华车|56.78|
|14|滴滴|六座|六座专车|93.91|",6,特价|惊喜特价,"[{""app"": ""无"", ""category"": ""惊喜特价"", ""mode"": ""无"", ""price"": True, ""price_min"": 0, ""price_max"": 20, ""fast"": False}]",无,,无,惊喜特价,无,无,无,惊喜特价,惊喜特价,TRUE,,TRUE,0,,0,20,30,1.119539022,30,"直接命中车小类关键字但answer中没有或错误,answer下的车型必须存在于“车辆候选列表”",,王笑,
Qwen2.5-32B-Instruct,叫个极速拼车到江宁双龙大道景枫中心，费用控制在35元以内。,"|序号id|应用名称|车型大类|车辆类型|价格|
|---|---|---|---|---|
|0|滴滴|推荐|花小猪正价版|31.59|
|1|滴滴|推荐|特惠快车|32.27|
|2|滴滴|推荐|滴滴快车|34.69|
|3|滴滴|推荐|特快出租车|37.04|
|4|滴滴|拼车|特价拼车|29.81-31.14|
|5|滴滴|拼车|极速拼车|31.63-33.24|
|6|滴滴|特价|花小猪外接版|37.58|
|7|滴滴|特价|惊喜特价|38.93|
|8|滴滴|快速|曹操出行|61.27|
|9|滴滴|快速|出租车|61.87|
|10|滴滴|快速|滴滴轻享|62.38|
|11|滴滴|快速|滴滴特快|63.79|
|12|滴滴|舒适|滴滴专车|90.77|
|13|滴滴|舒适|滴滴豪华车|92.17|
|14|滴滴|六座|六座专车|141.19|
|15|滴滴|六座|六座豪华车|145.36|",5,拼车|极速拼车,"[{""app"": ""无"", ""category"": ""极速拼车"", ""mode"": ""无"", ""price"": True, ""price_min"": 0, ""price_max"": 25, ""fast"": False}]",无,,无,极速拼车,无,无,无,极速拼车,极速拼车,TRUE,,TRUE,0,,0,25,35,1.117888212,35,"直接命中车小类关键字但answer中没有或错误,answer下的车型必须存在于“车辆候选列表”",,王笑,
Qwen2.5-32B-Instruct,叫个拼车去西湖，价格不超40元。,"|序号id|应用名称|车型大类|车辆类型|价格|
|---|---|---|---|---|
|0|滴滴|推荐|花小猪正价版|20.63|
|1|滴滴|推荐|特惠快车|24.02|
|2|滴滴|推荐|滴滴快车|25.19|
|3|滴滴|拼车|特价拼车|23.00-24.42|
|4|滴滴|特价|花小猪外接版|24.66|
|5|滴滴|快速|曹操出行|35.66|
|6|滴滴|快速|出租车|35.67|
|7|滴滴|快速|滴滴轻享|36.79|
|8|滴滴|快速|滴滴特快|37.60|
|9|滴滴|快速|滴滴优享|38.94|
|10|滴滴|舒适|滴滴专车|52.14|
|11|滴滴|六座|六座专车|80.79|
|12|滴滴|六座|六座豪华车|82.01|",3,拼车|特价拼车,"[{""app"": ""无"", ""category"": ""特价拼车"", ""mode"": ""无"", ""price"": True, ""price_min"": 0, ""price_max"": 40, ""fast"": False}]",无,,无,拼车,,拼车,无,,无,TRUE,,TRUE,0,,0,40,,1.116916895,40,,,王笑,
Qwen2.5-32B-Instruct,叫辆惊喜特价去深圳宝安机场，费用不超过100元。,"|序号id|应用名称|车型大类|车辆类型|价格|
|---|---|---|---|---|
|0|滴滴|推荐|花小猪正价版|33.77|
|1|滴滴|推荐|特惠快车|34.14|
|2|滴滴|推荐|滴滴快车|34.66|
|3|滴滴|拼车|特价拼车|33.05-34.36|
|4|滴滴|拼车|极速拼车|38.39-39.47|
|5|滴滴|特价|花小猪外接版|42.81|
|6|滴滴|特价|惊喜特价|42.92|
|7|滴滴|快速|曹操出行|49.68|
|8|滴滴|快速|出租车|50.79|
|9|滴滴|快速|滴滴轻享|51.13|
|10|滴滴|快速|滴滴特快|51.89|
|11|滴滴|快速|滴滴优享|53.06|
|12|滴滴|舒适|滴滴专车|70.31|
|13|滴滴|六座|六座专车|113.21|
|14|滴滴|六座|六座豪华车|114.37|",6,特价|惊喜特价,"[{""app"": ""无"", ""category"": ""惊喜特价"", ""mode"": ""无"", ""price"": True, ""price_min"": 0, ""price_max"": 100, ""fast"": False}]",无,,无,惊喜特价,无,无,无,惊喜特价,惊喜特价,TRUE,,TRUE,0,,0,100,,1.131518126,100,"直接命中车小类关键字但answer中没有或错误,answer下的车型必须存在于“车辆候选列表”",,王笑,
