query,车辆候选列表,车型组合,category,category正确答案,mode,mode正确答案
逢甲夜市美食展冷链运输，清泉岗机场，用享道出行车型的车,[],[],,优享型，六座商务，品质专车，特惠快车，经济，经济型,,享道出行
请帮我叫一辆腾飞出行车型的车，现在需要从台南机场到赤崁楼文化园区，测绘仪器要放后备箱,[],[],,优享型，六座商务，品质专车，特惠快车，经济，经济型,,腾飞出行
从高雄小港机场到西子湾拼车，选神州专车车型的车，客户PPT在车上突然要改,[],[],,优享型，六座商务，品质专车，特惠快车，经济，经济型,,神州专车
我想立刻叫环旅出行车型的车，三亚凤凰机场到亚龙湾，客户突然要加购十箱芒果伴手礼,[],[],,优享型，品质专车，特惠快车，经济，经济型,,环旅出行
经济分类车型的车现在能走吗？张家界荷花机场到天门山，无人机电池过安检被扣了,[],[],,经济，经济型,,365约车，T3出行，享道出行，南京出租，及时用车，叮叮出行，妥妥E行，旅程约车，曹操出行，有序出行，有滴出行，沛途出行，环旅出行，神州专车，聚优出租，聚优出行，腾飞出行，腾飞新出租，迪尔出行，阳光出行，鞍马出行，鞍马聚的新出租，风韵出行，首汽约车
请调一辆风韵出行，丽江三义机场到大水车，化妆师把假发落酒店要折返,[],[],,优享型，品质专车，特惠快车，经济，经济型,,风韵出行
嘎洒机场到野象谷拼车，选经济型类目，傣族园泼水把摄像机淋短路了,[],[],,拼车，推荐，特价拼车,,极速拼车，特价拼车
打出租车，聚优出租车型的车！桂林两江机场到象鼻山，剧组灯光架倒塌封路要绕行,[],[],,特惠快车，经济，经济型,,聚优出租
南京出租车型的车现在有空车吗？敦煌莫高机场到鸣沙山，沙尘暴预警要提前两小时,[],[],,特惠快车，经济，经济型,,南京出租
鞍马聚的车型的车，长白山机场到北坡，科考队的冰钻突然要加急送,[],[],,出租车,,鞍马聚的-低档
打出租车，特惠快车类目，黄山屯溪机场到南大门，实习生把登山绳忘托运处,[],[],,特惠快车,,南京出租，聚优出租，聚的出租车，聚的新出租，腾飞新出租
六座商务车型有ETC吗？拉萨市到纳木错，藏民卖的手串卡住车门应急锁,[],[],,六座商务,,享道出行，六座商务，叮叮出行，特价专车，神州专车，腾飞出行，首汽约车
首汽约车车型的车带儿童座椅吗？林芝米林机场到大峡谷，向导孩子发烧要送诊所,[],[],,优享型，六座商务，品质专车，特惠快车，经济，经济型,,首汽约车
日喀则机场到扎什伦布寺，经济型分类现在走，唐卡画轴超长要斜放,[],[],,经济，经济型,,365约车，T3出行，享道出行，南京出租，及时用车，叮叮出行，妥妥E行，旅程约车，曹操出行，有序出行，有滴出行，沛途出行，环旅出行，神州专车，聚优出租，聚优出行，腾飞出行，腾飞新出租，迪尔出行，阳光出行，鞍马出行，鞍马聚的新出租，风韵出行，首汽约车
有序出行车型的车能开发票吗？阿里昆莎到古格王朝，测绘仪三脚架被风吹折,[],[],,品质专车，特惠快车，经济，经济型,,有序出行
请调一辆享道出行车型的车，邦达机场到然乌湖，冰层取样箱漏了要买密封胶,[],[],,优享型，六座商务，品质专车，特惠快车，经济，经济型,,享道出行
T3出行车型的车能带宠物吗？库尔勒机场到罗布人村寨，客户要直播烤全驼装车,[],[],,优享型，特惠快车，经济，经济型,,T3出行
火焰山景区现在52℃，叮叮出行车型的车空调坏了吗？矿泉水瞬间蒸发半箱,[],[],,优享型，六座商务，品质专车，特惠快车，经济，经济型,,叮叮出行
鞍马出行车型的车有现金找零？哈密机场到巴里坤草原，哈萨克族司机说要收羊抵车费,[],[],,优享型，品质专车，特惠快车，经济，经济型,,鞍马出行
克拉玛依机场到魔鬼城，腾飞出行车型的车防沙膜破了，相机CMOS进沙索赔,[],[],,优享型，六座商务，品质专车，特惠快车，经济，经济型,,腾飞出行
聚优出租车型的车能开专票？石河子机场到军垦博物馆，文物运输箱密码锁失灵,[],[],,特惠快车，经济，经济型,,聚优出租
和田机场到夜市，使用阳光出行车型的车，,[],[],,优享型，特惠快车，经济，经济型,,阳光出行
阿克苏机场到天山峡谷，环旅出行车型的车！落石砸坏保险杠叫拖车,[],[],,优享型，品质专车，特惠快车，经济，经济型,,环旅出行
经济型分类能走小路？昌吉机场到天山天池，西王母庙闭馆要翻墙进入,[],[],,经济，经济型,,365约车，T3出行，享道出行，南京出租，及时用车，叮叮出行，妥妥E行，旅程约车，曹操出行，有序出行，有滴出行，沛途出行，环旅出行，神州专车，聚优出租，聚优出行，腾飞出行，腾飞新出租，迪尔出行，阳光出行，鞍马出行，鞍马聚的新出租，风韵出行，首汽约车
阿拉尔市到塔里木河大桥，经济分类车型的车，要带灭火器！胡杨林烟熏镜头,[],[],,经济，经济型,,365约车，T3出行，享道出行，南京出租，及时用车，叮叮出行，妥妥E行，旅程约车，曹操出行，有序出行，有滴出行，沛途出行，环旅出行，神州专车，聚优出租，聚优出行，腾飞出行，腾飞新出租，迪尔出行，阳光出行，鞍马出行，鞍马聚的新出租，风韵出行，首汽约车
聚的新出租车型的车能带货？图木舒克到唐王城，考古队洛阳铲被当成危险品,[],[],,特惠快车，经济，经济型,,聚的新出租，鞍马聚的新出租
五家渠市到青格达湖，首汽约车车型的车，鱼探仪短路冒火花,[],[],,优享型，六座商务，品质专车，特惠快车，经济，经济型,,首汽约车
享道出行车型的车底盘多高？昆玉市到昆仑山大峡谷，卫星电话掉进冰河,[],[],,优享型，六座商务，品质专车，特惠快车，经济，经济型,,享道出行
