category,app_name,instruction_template,final_query,is_train,available_tools
签到,淘宝,在淘宝中签到领淘金币,在淘宝商城连续签到能拿到多少淘金币？,1,"[{""name"": ""sign_in(app, page_type)"", ""description"": ""在app程序中完成每日签到，领取积分、金币等奖励的操作""}]"
签到,淘宝,在淘宝中签到领淘金币,我想在淘宝上每天签到领金币，应该怎么操作？,0,"[{""name"": ""sign_in(app, page_type)"", ""description"": ""在app程序中完成每日签到，领取积分、金币等奖励的操作""}]"
签到,淘宝,在淘宝中签到领淘金币,淘宝APP签到领金币的活动现在还能参加吗？,1,"[{""name"": ""sign_in(app, page_type)"", ""description"": ""在app程序中完成每日签到，领取积分、金币等奖励的操作""}]"
签到,淘宝,在淘宝中进行红包签到,我在淘宝网每天签到能领多少红包啊？,0,"[{""name"": ""sign_in(app, page_type)"", ""description"": ""在app程序中完成每日签到，领取积分、金币等奖励的操作""}]"
签到,淘宝,在淘宝中进行红包签到,YoYo，帮我找到淘宝商城的红包签到入口。,0,"[{""name"": ""sign_in(app, page_type)"", ""description"": ""在app程序中完成每日签到，领取积分、金币等奖励的操作""}]"
签到,淘宝,在淘宝中进行红包签到,今天淘宝的签到红包在哪里领？,0,"[{""name"": ""sign_in(app, page_type)"", ""description"": ""在app程序中完成每日签到，领取积分、金币等奖励的操作""}]"
签到,淘宝,在淘宝中进行红包签到,有没有办法在淘宝上连续签到领大红包？,1,"[{""name"": ""sign_in(app, page_type)"", ""description"": ""在app程序中完成每日签到，领取积分、金币等奖励的操作""}]"
签到,淘宝,在淘宝中进行红包签到,淘宝签到领红包的活动在哪里能看到？,1,"[{""name"": ""sign_in(app, page_type)"", ""description"": ""在app程序中完成每日签到，领取积分、金币等奖励的操作""}]"
签到,京东,在京东中签到领取京豆,我在京东商城怎么找不到签到领京豆的地方？,1,"[{""name"": ""sign_in(app, page_type)"", ""description"": ""在app程序中完成每日签到，领取积分、金币等奖励的操作""}]"
签到,京东,在京东中签到领取京豆,YoYo，帮我打开京东的签到领京豆活动页面。,0,"[{""name"": ""sign_in(app, page_type)"", ""description"": ""在app程序中完成每日签到，领取积分、金币等奖励的操作""}]"
签到,京东,在京东中签到领取京豆,京东APP里每天签到领京豆是在哪个入口啊？,1,"[{""name"": ""sign_in(app, page_type)"", ""description"": ""在app程序中完成每日签到，领取积分、金币等奖励的操作""}]"
签到,京东,在京东中签到领取京豆,快点告诉我京东里面怎么签到领取京豆！,0,"[{""name"": ""sign_in(app, page_type)"", ""description"": ""在app程序中完成每日签到，领取积分、金币等奖励的操作""}]"
签到,京东,在京东中签到领取京豆,YoYo，我想在JD上签到领京豆，该怎么做？,0,"[{""name"": ""sign_in(app, page_type)"", ""description"": ""在app程序中完成每日签到，领取积分、金币等奖励的操作""}]"
签到,天猫,在天猫中领取现金,天猫现在有现金红包可以领吗？,1,"[{""name"": ""sign_in(app, page_type)"", ""description"": ""在app程序中完成每日签到，领取积分、金币等奖励的操作""}]"
签到,天猫,在天猫中领取现金,去天猫帮我看看哪里能领现金优惠。,0,"[{""name"": ""sign_in(app, page_type)"", ""description"": ""在app程序中完成每日签到，领取积分、金币等奖励的操作""}]"
签到,天猫,在天猫中领取现金,YoYo，今天天猫有什么现金领取的活动吗？,1,"[{""name"": ""sign_in(app, page_type)"", ""description"": ""在app程序中完成每日签到，领取积分、金币等奖励的操作""}]"
签到,天猫,在天猫中领取现金,我想在天猫商城领现金，有没有推荐的入口？,0,"[{""name"": ""sign_in(app, page_type)"", ""description"": ""在app程序中完成每日签到，领取积分、金币等奖励的操作""}]"
签到,天猫,在天猫中领取现金,快告诉我天猫里面哪里能直接领现金！,0,"[{""name"": ""sign_in(app, page_type)"", ""description"": ""在app程序中完成每日签到，领取积分、金币等奖励的操作""}]"
签到,天猫,在天猫中领取福气红包,天猫现在有福气红包可以领吗？,0,"[{""name"": ""sign_in(app, page_type)"", ""description"": ""在app程序中完成每日签到，领取积分、金币等奖励的操作""}]"
签到,天猫,在天猫中领取福气红包,去天猫商城帮我领取一个福气红包。,0,"[{""name"": ""sign_in(app, page_type)"", ""description"": ""在app程序中完成每日签到，领取积分、金币等奖励的操作""}]"
签到,天猫,在天猫中领取福气红包,YOYO，你知道在天猫哪里能领到福气红包吗？,0,"[{""name"": ""sign_in(app, page_type)"", ""description"": ""在app程序中完成每日签到，领取积分、金币等奖励的操作""}]"
签到,天猫,在天猫中领取福气红包,快点打开天猫App让我领个福气红包！,1,"[{""name"": ""sign_in(app, page_type)"", ""description"": ""在app程序中完成每日签到，领取积分、金币等奖励的操作""}]"
签到,天猫,在天猫中领取福气红包,我在天猫领了福气红包之后怎么用啊？,1,"[{""name"": ""sign_in(app, page_type)"", ""description"": ""在app程序中完成每日签到，领取积分、金币等奖励的操作""}]"
签到,闲鱼,在闲鱼中签到领闲鱼币,闲鱼怎么签到领闲鱼币啊？,1,"[{""name"": ""sign_in(app, page_type)"", ""description"": ""在app程序中完成每日签到，领取积分、金币等奖励的操作""}]"
签到,闲鱼,在闲鱼中签到领闲鱼币,帮我去闲鱼市场看看今天有没有签到送币的活动。,0,"[{""name"": ""sign_in(app, page_type)"", ""description"": ""在app程序中完成每日签到，领取积分、金币等奖励的操作""}]"
签到,闲鱼,在闲鱼中签到领闲鱼币,快点告诉我怎么在闲鱼二手上每天签到领鱼币！,1,"[{""name"": ""sign_in(app, page_type)"", ""description"": ""在app程序中完成每日签到，领取积分、金币等奖励的操作""}]"
签到,闲鱼,在闲鱼中签到领闲鱼币,YOYO，我在闲鱼签到领鱼币的入口在哪？,0,"[{""name"": ""sign_in(app, page_type)"", ""description"": ""在app程序中完成每日签到，领取积分、金币等奖励的操作""}]"
签到,闲鱼,在闲鱼中签到领闲鱼币,教我在咸鱼上操作每日签到领取闲鱼币的方法。,0,"[{""name"": ""sign_in(app, page_type)"", ""description"": ""在app程序中完成每日签到，领取积分、金币等奖励的操作""}]"
签到,抖音火山版,在抖音火山版中签到领火苗,火山小视频里怎么签到领火苗啊？,0,"[{""name"": ""sign_in(app, page_type)"", ""description"": ""在app程序中完成每日签到，领取积分、金币等奖励的操作""}]"
签到,抖音火山版,在抖音火山版中签到领火苗,帮我看看抖音火山版今天有没有签到奖励。,0,"[{""name"": ""sign_in(app, page_type)"", ""description"": ""在app程序中完成每日签到，领取积分、金币等奖励的操作""}]"
签到,抖音火山版,在抖音火山版中签到领火苗,在火山app里怎么找到签到领火苗的入口？,1,"[{""name"": ""sign_in(app, page_type)"", ""description"": ""在app程序中完成每日签到，领取积分、金币等奖励的操作""}]"
签到,抖音火山版,在抖音火山版中签到领火苗,抖音火山版每天签到能领多少火苗？,1,"[{""name"": ""sign_in(app, page_type)"", ""description"": ""在app程序中完成每日签到，领取积分、金币等奖励的操作""}]"
签到,抖音火山版,在抖音火山版中签到领火苗,我想在火山版抖音里连续签到领取奖励，怎么操作？,0,"[{""name"": ""sign_in(app, page_type)"", ""description"": ""在app程序中完成每日签到，领取积分、金币等奖励的操作""}]"
签到,阿里巴巴,在阿里巴巴中签到领元宝,我在1688里怎么签到领元宝呀？,1,"[{""name"": ""sign_in(app, page_type)"", ""description"": ""在app程序中完成每日签到，领取积分、金币等奖励的操作""}]"
签到,阿里巴巴,在阿里巴巴中签到领元宝,YoYo，帮我查一下阿里巴巴哪里能签到领元宝。,1,"[{""name"": ""sign_in(app, page_type)"", ""description"": ""在app程序中完成每日签到，领取积分、金币等奖励的操作""}]"
签到,阿里巴巴,在阿里巴巴中签到领元宝,快点告诉我阿里巴巴APP里签到领元宝的入口在哪里！,0,"[{""name"": ""sign_in(app, page_type)"", ""description"": ""在app程序中完成每日签到，领取积分、金币等奖励的操作""}]"
签到,阿里巴巴,在阿里巴巴中签到领元宝,今天我在阿里巴巴忘记签到领元宝了怎么办？,0,"[{""name"": ""sign_in(app, page_type)"", ""description"": ""在app程序中完成每日签到，领取积分、金币等奖励的操作""}]"
签到,阿里巴巴,在阿里巴巴中签到领元宝,阿里巴巴的签到领元宝活动是不是每天都可以参加啊？,0,"[{""name"": ""sign_in(app, page_type)"", ""description"": ""在app程序中完成每日签到，领取积分、金币等奖励的操作""}]"
签到,唯品会,在唯品会中进行签到,唯品会今天签到领红包了吗？,1,"[{""name"": ""sign_in(app, page_type)"", ""description"": ""在app程序中完成每日签到，领取积分、金币等奖励的操作""}]"
签到,唯品会,在唯品会中进行签到,帮我去唯品会完成今天的每日签到任务。,0,"[{""name"": ""sign_in(app, page_type)"", ""description"": ""在app程序中完成每日签到，领取积分、金币等奖励的操作""}]"
签到,唯品会,在唯品会中进行签到,YoYo，我在唯品会的签到入口在哪里啊？,1,"[{""name"": ""sign_in(app, page_type)"", ""description"": ""在app程序中完成每日签到，领取积分、金币等奖励的操作""}]"
签到,唯品会,在唯品会中进行签到,唯品会签到积分怎么兑换优惠券？,0,"[{""name"": ""sign_in(app, page_type)"", ""description"": ""在app程序中完成每日签到，领取积分、金币等奖励的操作""}]"
签到,唯品会,在唯品会中进行签到,快提醒我每天在唯品会签到！,0,"[{""name"": ""sign_in(app, page_type)"", ""description"": ""在app程序中完成每日签到，领取积分、金币等奖励的操作""}]"
签到,得物,在得物中购买页面进行每日签到,我在毒app里怎么找不到每日签到的入口？,0,"[{""name"": ""sign_in(app, page_type)"", ""description"": ""在app程序中完成每日签到，领取积分、金币等奖励的操作""}]"
签到,得物,在得物中购买页面进行每日签到,YoYo，帮我查一下得物潮流里面怎么进行每日签到。,0,"[{""name"": ""sign_in(app, page_type)"", ""description"": ""在app程序中完成每日签到，领取积分、金币等奖励的操作""}]"
签到,得物,在得物中购买页面进行每日签到,得物每天签到有什么奖励吗？,0,"[{""name"": ""sign_in(app, page_type)"", ""description"": ""在app程序中完成每日签到，领取积分、金币等奖励的操作""}]"
签到,得物,在得物中购买页面进行每日签到,毒平台的每日签到功能在哪里能找到啊？,1,"[{""name"": ""sign_in(app, page_type)"", ""description"": ""在app程序中完成每日签到，领取积分、金币等奖励的操作""}]"
签到,得物,在得物中购买页面进行每日签到,教我在dw里操作一下每日签到吧！,1,"[{""name"": ""sign_in(app, page_type)"", ""description"": ""在app程序中完成每日签到，领取积分、金币等奖励的操作""}]"
收藏,抖音,在抖音中搜索商城关注店铺中的<搜索内容>,我想在抖音视频关注里找一找有没有三只松鼠的店铺。,0,"[{""name"": ""search_in_favorite_stores(app, search_info)"", ""description"": ""在app程序中打开收藏的喜爱或关注店铺的页面，并在其中的搜索栏搜索商品""}]"
收藏,抖音,在抖音中搜索商城关注店铺中的<搜索内容>,YOYO，帮我搜索一下抖音商城里的关注店铺，关键词是良品铺子。,0,"[{""name"": ""search_in_favorite_stores(app, search_info)"", ""description"": ""在app程序中打开收藏的喜爱或关注店铺的页面，并在其中的搜索栏搜索商品""}]"
收藏,抖音,在抖音中搜索商城关注店铺中的<搜索内容>,你知道抖音短视频里面我的关注里有没有卖小米手机的官方店铺吗？,0,"[{""name"": ""search_in_favorite_stores(app, search_info)"", ""description"": ""在app程序中打开收藏的喜爱或关注店铺的页面，并在其中的搜索栏搜索商品""}]"
收藏,抖音,在抖音中搜索商城关注店铺中的<搜索内容>,在dy的商城关注列表里查一下“海尔官方旗舰店”还在不在。,1,"[{""name"": ""search_in_favorite_stores(app, search_info)"", ""description"": ""在app程序中打开收藏的喜爱或关注店铺的页面，并在其中的搜索栏搜索商品""}]"
收藏,抖音,在抖音中搜索商城关注店铺中的<搜索内容>,抖音中能不能找到收藏的优衣库的店铺啊？,1,"[{""name"": ""search_in_favorite_stores(app, search_info)"", ""description"": ""在app程序中打开收藏的喜爱或关注店铺的页面，并在其中的搜索栏搜索商品""}]"
收藏,抖音,在抖音中查看收藏的商品,我想在抖音里看看之前收藏过的那些商品，能帮我查一下吗？,0,"[{""name"": ""open_favorite_goods(app, filter_type, order_type)"", ""description"": ""在app程序中打开收藏的喜爱、想要或关注商品的页面，并按照条件进行筛选""}]"
收藏,抖音,在抖音中查看收藏的商品,YoYo，快帮我打开抖音短视频里的收藏夹，我想找一个之前存的包包。,0,"[{""name"": ""open_favorite_goods(app, filter_type, order_type)"", ""description"": ""在app程序中打开收藏的喜爱、想要或关注商品的页面，并按照条件进行筛选""}]"
收藏,抖音,在抖音中查看收藏的商品,我在dy上收藏了一个口红，现在怎么找不到了？,1,"[{""name"": ""open_favorite_goods(app, filter_type, order_type)"", ""description"": ""在app程序中打开收藏的喜爱、想要或关注商品的页面，并按照条件进行筛选""}]"
收藏,抖音,在抖音中查看收藏的商品,抖音里面有没有办法查看我之前收藏的所有商品？,1,"[{""name"": ""open_favorite_goods(app, filter_type, order_type)"", ""description"": ""在app程序中打开收藏的喜爱、想要或关注商品的页面，并按照条件进行筛选""}]"
收藏,抖音,在抖音中查看收藏的商品,YoYo助手，我在抖音收藏过几个杯子，能帮我找出来吗？,0,"[{""name"": ""open_favorite_goods(app, filter_type, order_type)"", ""description"": ""在app程序中打开收藏的喜爱、想要或关注商品的页面，并按照条件进行筛选""}]"
收藏,抖音极速版,在抖音极速版中搜索商城关注店铺中的<搜索内容>,在抖音极速版里帮我找一下有没有收藏三只松鼠这个店铺。,0,"[{""name"": ""search_in_favorite_stores(app, search_info)"", ""description"": ""在app程序中打开收藏的喜爱或关注店铺的页面，并在其中的搜索栏搜索商品""}]"
收藏,抖音极速版,在抖音极速版中搜索商城关注店铺中的<搜索内容>,YoYo，快帮我查查抖音极速版关注的店铺里有没有良品铺子！,0,"[{""name"": ""search_in_favorite_stores(app, search_info)"", ""description"": ""在app程序中打开收藏的喜爱或关注店铺的页面，并在其中的搜索栏搜索商品""}]"
收藏,抖音极速版,在抖音极速版中搜索商城关注店铺中的<搜索内容>,抖音极速版里面能搜到小米官方店铺吗？,1,"[{""name"": ""search_in_favorite_stores(app, search_info)"", ""description"": ""在app程序中打开收藏的喜爱或关注店铺的页面，并在其中的搜索栏搜索商品""}]"
收藏,抖音极速版,在抖音极速版中搜索商城关注店铺中的<搜索内容>,我想在极速版抖音里找家喜爱的卖运动鞋的店铺，能帮我看看吗？,1,"[{""name"": ""search_in_favorite_stores(app, search_info)"", ""description"": ""在app程序中打开收藏的喜爱或关注店铺的页面，并在其中的搜索栏搜索商品""}]"
收藏,抖音极速版,在抖音极速版中搜索商城关注店铺中的<搜索内容>,哎呀，我的抖音极速版里怎么找不到之前关注的那个美妆店铺了？,0,"[{""name"": ""search_in_favorite_stores(app, search_info)"", ""description"": ""在app程序中打开收藏的喜爱或关注店铺的页面，并在其中的搜索栏搜索商品""}]"
收藏,抖音极速版,在抖音极速版中查看收藏的商品,YoYo，快帮我打开抖音极速版里的收藏夹看看。,0,"[{""name"": ""open_favorite_goods(app, filter_type, order_type)"", ""description"": ""在app程序中打开收藏的喜爱、想要或关注商品的页面，并按照条件进行筛选""}]"
收藏,抖音极速版,在抖音极速版中查看收藏的商品,我想在抖音极速版里查看我之前收藏的商品，能帮我吗？,1,"[{""name"": ""open_favorite_goods(app, filter_type, order_type)"", ""description"": ""在app程序中打开收藏的喜爱、想要或关注商品的页面，并按照条件进行筛选""}]"
收藏,抖音极速版,在抖音极速版中查看收藏的商品,请帮我查一下抖音极速版中有没有收藏这个。,1,"[{""name"": ""open_favorite_goods(app, filter_type, order_type)"", ""description"": ""在app程序中打开收藏的喜爱、想要或关注商品的页面，并按照条件进行筛选""}]"
收藏,抖音极速版,在抖音极速版中查看收藏的商品,我在极速版抖音里收藏了一个书包，怎么找回来啊？,0,"[{""name"": ""open_favorite_goods(app, filter_type, order_type)"", ""description"": ""在app程序中打开收藏的喜爱、想要或关注商品的页面，并按照条件进行筛选""}]"
收藏,抖音极速版,在抖音极速版中查看收藏的商品,YoYo，帮我看看我收藏的宝贝都在哪个店铺里吧（抖音极速版）。,0,"[{""name"": ""open_favorite_goods(app, filter_type, order_type)"", ""description"": ""在app程序中打开收藏的喜爱、想要或关注商品的页面，并按照条件进行筛选""}]"
收藏,快手,在快手中查看我的商品收藏,YoYo，快帮我看看我在快手收藏的商品有哪些。,0,"[{""name"": ""open_favorite_goods(app, filter_type, order_type)"", ""description"": ""在app程序中打开收藏的喜爱、想要或关注商品的页面，并按照条件进行筛选""}]"
收藏,快手,在快手中查看我的商品收藏,在快手视频里怎么找不到我之前收藏的那件东西？,1,"[{""name"": ""open_favorite_goods(app, filter_type, order_type)"", ""description"": ""在app程序中打开收藏的喜爱、想要或关注商品的页面，并按照条件进行筛选""}]"
收藏,快手,在快手中查看我的商品收藏,快手app里的商品收藏夹怎么打开啊？,0,"[{""name"": ""open_favorite_goods(app, filter_type, order_type)"", ""description"": ""在app程序中打开收藏的喜爱、想要或关注商品的页面，并按照条件进行筛选""}]"
收藏,快手,在快手中查看我的商品收藏,YoYo，我想在快手里查看我之前收藏的好物，能教我怎么操作吗？,0,"[{""name"": ""open_favorite_goods(app, filter_type, order_type)"", ""description"": ""在app程序中打开收藏的喜爱、想要或关注商品的页面，并按照条件进行筛选""}]"
收藏,快手,在快手中查看我的商品收藏,哎，快手短视频里面我的收藏商品怎么不见了？,1,"[{""name"": ""open_favorite_goods(app, filter_type, order_type)"", ""description"": ""在app程序中打开收藏的喜爱、想要或关注商品的页面，并按照条件进行筛选""}]"
收藏,快手极速版,在快手极速版中查看我收藏的商品,YoYo，快帮我打开快手极速版里的收藏夹，看看我收藏了哪些商品。,0,"[{""name"": ""open_favorite_goods(app, filter_type, order_type)"", ""description"": ""在app程序中打开收藏的喜爱、想要或关注商品的页面，并按照条件进行筛选""}]"
收藏,快手极速版,在快手极速版中查看我收藏的商品,在极速版快手里面，怎么找不到我之前收藏的那个东西了？,1,"[{""name"": ""open_favorite_goods(app, filter_type, order_type)"", ""description"": ""在app程序中打开收藏的喜爱、想要或关注商品的页面，并按照条件进行筛选""}]"
收藏,快手极速版,在快手极速版中查看我收藏的商品,能不能教我在快手极速版里找到我收藏的商品列表？,1,"[{""name"": ""open_favorite_goods(app, filter_type, order_type)"", ""description"": ""在app程序中打开收藏的喜爱、想要或关注商品的页面，并按照条件进行筛选""}]"
收藏,快手极速版,在快手极速版中查看我收藏的商品,哎，YoYo，我之前在快手极速里面收藏的东西还能找回来吗？,0,"[{""name"": ""open_favorite_goods(app, filter_type, order_type)"", ""description"": ""在app程序中打开收藏的喜爱、想要或关注商品的页面，并按照条件进行筛选""}]"
收藏,快手极速版,在快手极速版中查看我收藏的商品,快手极速版中我的收藏商品在哪里查看？告诉我具体的操作步骤呗。,0,"[{""name"": ""open_favorite_goods(app, filter_type, order_type)"", ""description"": ""在app程序中打开收藏的喜爱、想要或关注商品的页面，并按照条件进行筛选""}]"
收藏,拼多多,在拼多多中搜索商品收藏中的<搜索内容>,YoYo，在PDD里帮我找一下关注的露营帐篷。,0,"[{""name"": ""search_in_favorite_goods(app, search_info)"", ""description"": ""在app程序中打开收藏的、喜爱、想要或关注商品的页面，并在其中的搜索栏中进行搜索""}]"
收藏,拼多多,在拼多多中搜索商品收藏中的<搜索内容>,我想在拼夕夕里面找找有没有收藏的收纳鞋架。,1,"[{""name"": ""search_in_favorite_goods(app, search_info)"", ""description"": ""在app程序中打开收藏的、喜爱、想要或关注商品的页面，并在其中的搜索栏中进行搜索""}]"
收藏,拼多多,在拼多多中搜索商品收藏中的<搜索内容>,YoYo，快帮我查查拼多多收藏夹里的护腰有没有上新。,1,"[{""name"": ""search_in_favorite_goods(app, search_info)"", ""description"": ""在app程序中打开收藏的、喜爱、想要或关注商品的页面，并在其中的搜索栏中进行搜索""}]"
收藏,拼多多,在拼多多中搜索商品收藏中的<搜索内容>,我在拼多多收藏的商品里有几个是折叠椅，你能帮我找出来吗？,0,"[{""name"": ""search_in_favorite_goods(app, search_info)"", ""description"": ""在app程序中打开收藏的、喜爱、想要或关注商品的页面，并在其中的搜索栏中进行搜索""}]"
收藏,拼多多,在拼多多中搜索商品收藏中的<搜索内容>,YoYo，我在拼多多里收藏的保温杯怎么找不到了？,0,"[{""name"": ""search_in_favorite_goods(app, search_info)"", ""description"": ""在app程序中打开收藏的、喜爱、想要或关注商品的页面，并在其中的搜索栏中进行搜索""}]"
收藏,拼多多,在拼多多中查看商品收藏,YoYo，快帮我打开拼夕夕里的收藏夹看看还有哪些没买的东西！,0,"[{""name"": ""open_favorite_goods(app, filter_type, order_type)"", ""description"": ""在app程序中打开收藏的喜爱、想要或关注商品的页面，并按照条件进行筛选""}]"
收藏,拼多多,在拼多多中查看商品收藏,我想在PDD里查看之前收藏的商品，怎么操作啊？,0,"[{""name"": ""open_favorite_goods(app, filter_type, order_type)"", ""description"": ""在app程序中打开收藏的喜爱、想要或关注商品的页面，并按照条件进行筛选""}]"
