query,可选车型组合,模型输出车型组合,正确车型组合,prec,rec,f1,proper
叫辆六座专车去北京首都国际机场,"[{'快速': '曹操出行'}, {'六座': '六座专车'}, {'特价': '花小猪外接版'}, {'快速': '出租车'}, {'拼车': '特价拼车'}, {'推荐': '滴滴快车'}, {'推荐': '花小猪正价版'}, {'舒适': '滴滴专车'}, {'推荐': '特快出租车'}, {'快速': '滴滴轻享'}, {'特价': '惊喜特价'}, {'六座': '六座豪华车'}, {'推荐': '特惠快车'}]","[{'六座': '六座专车'}, {'推荐': '特惠快车'}]","[{'六座': '六座专车'}, {'推荐': '特惠快车'}]",1.0,1.0,1.0,1
叫辆特价拼车到南京新街口中央商场,"[{'快速': '曹操出行'}, {'六座': '六座专车'}, {'特价': '花小猪外接版'}, {'快速': '出租车'}, {'拼车': '特价拼车'}, {'快速': '滴滴优享'}, {'推荐': '滴滴快车'}, {'推荐': '花小猪正价版'}, {'舒适': '滴滴专车'}, {'拼车': '极速拼车'}, {'快速': '滴滴轻享'}, {'特价': '惊喜特价'}, {'快速': '滴滴特快'}, {'六座': '六座豪华车'}, {'推荐': '特惠快车'}]",[{'拼车': '特价拼车'}],[{'拼车': '特价拼车'}],1.0,1.0,1.0,1
叫个惊喜特价到中山公园,"[{'快速': '曹操出行'}, {'六座': '六座专车'}, {'特价': '花小猪外接版'}, {'快速': '出租车'}, {'拼车': '特价拼车'}, {'推荐': '滴滴快车'}, {'推荐': '花小猪正价版'}, {'舒适': '滴滴专车'}, {'拼车': '极速拼车'}, {'快速': '滴滴轻享'}, {'特价': '惊喜特价'}, {'六座': '六座豪华车'}, {'舒适': '滴滴豪华车'}, {'推荐': '特惠快车'}]",[{'特价': '惊喜特价'}],[{'特价': '惊喜特价'}],1.0,1.0,1.0,1
用惊喜特价到上海科技馆,"[{'快速': '曹操出行'}, {'六座': '六座专车'}, {'特价': '花小猪外接版'}, {'快速': '出租车'}, {'拼车': '特价拼车'}, {'快速': '滴滴优享'}, {'推荐': '滴滴快车'}, {'推荐': '花小猪正价版'}, {'舒适': '滴滴专车'}, {'推荐': '特快出租车'}, {'快速': '滴滴轻享'}, {'特价': '惊喜特价'}, {'快速': '滴滴特快'}, {'舒适': '滴滴豪华车'}, {'推荐': '特惠快车'}]",[{'特价': '惊喜特价'}],[{'特价': '惊喜特价'}],1.0,1.0,1.0,1
叫个极速拼车到江宁双龙大道景枫中心,"[{'快速': '曹操出行'}, {'六座': '六座专车'}, {'特价': '花小猪外接版'}, {'快速': '出租车'}, {'拼车': '特价拼车'}, {'推荐': '滴滴快车'}, {'推荐': '花小猪正价版'}, {'舒适': '滴滴专车'}, {'拼车': '极速拼车'}, {'推荐': '特快出租车'}, {'快速': '滴滴轻享'}, {'特价': '惊喜特价'}, {'快速': '滴滴特快'}, {'六座': '六座豪华车'}, {'舒适': '滴滴豪华车'}, {'推荐': '特惠快车'}]",[{'拼车': '极速拼车'}],[{'拼车': '极速拼车'}],1.0,1.0,1.0,1
叫个拼车去西湖,"[{'快速': '曹操出行'}, {'六座': '六座专车'}, {'特价': '花小猪外接版'}, {'快速': '出租车'}, {'拼车': '特价拼车'}, {'快速': '滴滴优享'}, {'推荐': '滴滴快车'}, {'推荐': '花小猪正价版'}, {'舒适': '滴滴专车'}, {'快速': '滴滴轻享'}, {'六座': '六座豪华车'}, {'快速': '滴滴特快'}, {'推荐': '特惠快车'}]",[{'拼车': '特价拼车'}],[{'拼车': '特价拼车'}],1.0,1.0,1.0,1
叫辆惊喜特价去深圳宝安机场,"[{'快速': '曹操出行'}, {'六座': '六座专车'}, {'特价': '花小猪外接版'}, {'快速': '出租车'}, {'拼车': '特价拼车'}, {'快速': '滴滴优享'}, {'推荐': '滴滴快车'}, {'推荐': '花小猪正价版'}, {'舒适': '滴滴专车'}, {'拼车': '极速拼车'}, {'快速': '滴滴轻享'}, {'特价': '惊喜特价'}, {'快速': '滴滴特快'}, {'六座': '六座豪华车'}, {'推荐': '特惠快车'}]",[{'特价': '惊喜特价'}],[{'特价': '惊喜特价'}],1.0,1.0,1.0,1
用特价拼车去玄武湖情侣园,"[{'快速': '曹操出行'}, {'六座': '六座专车'}, {'特价': '花小猪外接版'}, {'快速': '出租车'}, {'拼车': '特价拼车'}, {'推荐': '滴滴快车'}, {'推荐': '花小猪正价版'}, {'舒适': '滴滴专车'}, {'拼车': '极速拼车'}, {'快速': '滴滴轻享'}, {'特价': '惊喜特价'}, {'特价': '特惠快车'}, {'快速': '滴滴特快'}, {'推荐': '特惠快车'}]",[{'拼车': '特价拼车'}],[{'拼车': '特价拼车'}],1.0,1.0,1.0,1
叫个惊喜特价去太原植物园,"[{'快速': '曹操出行'}, {'六座': '六座专车'}, {'特价': '花小猪外接版'}, {'快速': '出租车'}, {'拼车': '特价拼车'}, {'快速': '滴滴优享'}, {'舒适': '滴滴专车'}, {'推荐': '花小猪正价版'}, {'拼车': '极速拼车'}, {'快速': '滴滴轻享'}, {'特价': '惊喜特价'}, {'特价': '特惠快车'}, {'快速': '滴滴特快'}, {'推荐': '特惠快车'}]",[{'特价': '惊喜特价'}],[{'特价': '惊喜特价'}],1.0,1.0,1.0,1
叫滴滴豪华车去陆家嘴,"[{'快速': '曹操出行'}, {'六座': '六座专车'}, {'特价': '花小猪外接版'}, {'快速': '出租车'}, {'拼车': '特价拼车'}, {'推荐': '滴滴快车'}, {'推荐': '花小猪正价版'}, {'舒适': '滴滴专车'}, {'特价': '惊喜特价'}, {'舒适': '滴滴豪华车'}, {'推荐': '特惠快车'}]",[{'舒适': '滴滴豪华车'}],[{'舒适': '滴滴豪华车'}],1.0,1.0,1.0,1
静安寺到外滩叫个惊喜特价,"[{'快速': '曹操出行'}, {'六座': '六座专车'}, {'特价': '花小猪外接版'}, {'快速': '出租车'}, {'拼车': '特价拼车'}, {'快速': '滴滴优享'}, {'推荐': '滴滴快车'}, {'推荐': '花小猪正价版'}, {'舒适': '滴滴专车'}, {'快速': '滴滴轻享'}, {'快速': '滴滴特快'}, {'舒适': '滴滴豪华车'}, {'推荐': '特惠快车'}]",[{'特价': '花小猪外接版'}],[{'特价': '花小猪外接版'}],1.0,1.0,1.0,1
滴滴特价拼车下午3点准时出发去杭州西湖雷峰塔景区,"[{'快速': '曹操出行'}, {'六座': '六座专车'}, {'特价': '花小猪外接版'}, {'快速': '出租车'}, {'拼车': '特价拼车'}, {'推荐': '滴滴快车'}, {'推荐': '花小猪正价版'}, {'舒适': '滴滴专车'}, {'拼车': '极速拼车'}, {'推荐': '特快出租车'}, {'快速': '滴滴轻享'}, {'特价': '惊喜特价'}, {'快速': '滴滴特快'}, {'推荐': '特惠快车'}]",[{'拼车': '特价拼车'}],[{'拼车': '特价拼车'}],1.0,1.0,1.0,1
叫个惊喜特价到保利荷雨臻悦,"[{'快速': '曹操出行'}, {'六座': '六座专车'}, {'特价': '花小猪外接版'}, {'快速': '出租车'}, {'拼车': '特价拼车'}, {'推荐': '滴滴快车'}, {'推荐': '花小猪正价版'}, {'舒适': '滴滴专车'}, {'拼车': '极速拼车'}, {'推荐': '特快出租车'}, {'快速': '滴滴轻享'}, {'特价': '惊喜特价'}, {'快速': '滴滴特快'}, {'六座': '六座豪华车'}, {'舒适': '滴滴豪华车'}, {'推荐': '特惠快车'}]",[{'特价': '惊喜特价'}],[{'特价': '惊喜特价'}],1.0,1.0,1.0,1
叫特价拼车或滴滴专车去铁西万达广场,"[{'快速': '曹操出行'}, {'六座': '六座专车'}, {'特价': '花小猪外接版'}, {'快速': '出租车'}, {'拼车': '特价拼车'}, {'推荐': '滴滴快车'}, {'推荐': '花小猪正价版'}, {'舒适': '滴滴专车'}, {'快速': '滴滴轻享'}, {'特价': '惊喜特价'}, {'快速': '滴滴特快'}, {'推荐': '特惠快车'}]","[{'拼车': '特价拼车'}, {'舒适': '滴滴专车'}]","[{'拼车': '特价拼车'}, {'舒适': '滴滴专车'}]",1.0,1.0,1.0,1
叫辆六座专车去南京中山陵景区,"[{'快速': '曹操出行'}, {'六座': '六座专车'}, {'特价': '花小猪外接版'}, {'快速': '出租车'}, {'拼车': '特价拼车'}, {'推荐': '滴滴快车'}, {'推荐': '花小猪正价版'}, {'舒适': '滴滴专车'}, {'快速': '滴滴轻享'}, {'快速': '滴滴特快'}, {'舒适': '滴滴豪华车'}, {'推荐': '特惠快车'}]",[{'六座': '六座专车'}],[{'六座': '六座专车'}],1.0,1.0,1.0,1
从天津之眼到滨海国际机场,"[{'快速': '曹操出行'}, {'六座': '六座专车'}, {'特价': '花小猪外接版'}, {'快速': '出租车'}, {'拼车': '特价拼车'}, {'快速': '滴滴优享'}, {'推荐': '滴滴快车'}, {'推荐': '花小猪正价版'}, {'舒适': '滴滴专车'}, {'快速': '滴滴轻享'}, {'特价': '惊喜特价'}, {'快速': '滴滴特快'}, {'六座': '六座豪华车'}, {'推荐': '特惠快车'}]",[],[{'六座': '六座豪华车'}],0.0,0.0,0.0,0
从五四广场到崂山景区打辆特价,"[{'快速': '曹操出行'}, {'六座': '六座专车'}, {'特价': '花小猪外接版'}, {'快速': '出租车'}, {'拼车': '特价拼车'}, {'推荐': '滴滴快车'}, {'推荐': '花小猪正价版'}, {'舒适': '滴滴专车'}, {'拼车': '极速拼车'}, {'推荐': '特快出租车'}, {'快速': '滴滴轻享'}, {'特价': '惊喜特价'}, {'快速': '滴滴特快'}, {'推荐': '特惠快车'}]",[{'特价': '花小猪外接版'}],[{'特价': '花小猪外接版'}],1.0,1.0,1.0,1
用滴滴订辆六座专车从郑州东站到郑州国际会展中心,"[{'快速': '曹操出行'}, {'六座': '六座专车'}, {'特价': '花小猪外接版'}, {'快速': '出租车'}, {'拼车': '特价拼车'}, {'推荐': '滴滴快车'}, {'推荐': '花小猪正价版'}, {'舒适': '滴滴专车'}, {'拼车': '极速拼车'}, {'快速': '滴滴轻享'}, {'特价': '惊喜特价'}, {'快速': '滴滴特快'}, {'推荐': '特惠快车'}]",[{'六座': '六座专车'}],[{'六座': '六座专车'}],1.0,1.0,1.0,1
用特价拼车从政务区到新桥机场,"[{'快速': '曹操出行'}, {'六座': '六座专车'}, {'特价': '花小猪外接版'}, {'快速': '出租车'}, {'拼车': '特价拼车'}, {'快速': '滴滴优享'}, {'推荐': '滴滴快车'}, {'推荐': '花小猪正价版'}, {'舒适': '滴滴专车'}, {'拼车': '极速拼车'}, {'快速': '滴滴轻享'}, {'特价': '惊喜特价'}, {'快速': '滴滴特快'}, {'六座': '六座豪华车'}, {'舒适': '滴滴豪华车'}, {'推荐': '特惠快车'}]",[{'拼车': '特价拼车'}],[{'拼车': '特价拼车'}],1.0,1.0,1.0,1
叫辆特价拼车从宁波老外滩到舟山跨海大桥,"[{'快速': '曹操出行'}, {'六座': '六座专车'}, {'特价': '花小猪外接版'}, {'快速': '出租车'}, {'拼车': '特价拼车'}, {'快速': '滴滴优享'}, {'推荐': '滴滴快车'}, {'推荐': '花小猪正价版'}, {'舒适': '滴滴专车'}, {'拼车': '极速拼车'}, {'推荐': '特快出租车'}, {'快速': '滴滴轻享'}, {'特价': '惊喜特价'}, {'快速': '滴滴特快'}, {'六座': '六座豪华车'}, {'舒适': '滴滴豪华车'}, {'推荐': '特惠快车'}]",[{'拼车': '特价拼车'}],[{'拼车': '特价拼车'}],1.0,1.0,1.0,1
从武汉长江大桥到户部巷小吃街,"[{'快速': '曹操出行'}, {'六座': '六座专车'}, {'特价': '花小猪外接版'}, {'快速': '出租车'}, {'拼车': '特价拼车'}, {'推荐': '滴滴快车'}, {'推荐': '花小猪正价版'}, {'舒适': '滴滴专车'}, {'推荐': '特快出租车'}, {'快速': '滴滴轻享'}, {'特价': '惊喜特价'}, {'特价': '特惠快车'}, {'六座': '六座豪华车'}, {'推荐': '特惠快车'}]","[{'特价': '特惠快车'}, {'推荐': '特惠快车'}]","[{'特价': '特惠快车'}, {'推荐': '特惠快车'}]",1.0,1.0,1.0,1
叫辆特惠快车去南京美龄宫,"[{'快速': '曹操出行'}, {'六座': '六座专车'}, {'特价': '花小猪外接版'}, {'快速': '出租车'}, {'拼车': '特价拼车'}, {'推荐': '滴滴快车'}, {'推荐': '花小猪正价版'}, {'舒适': '滴滴专车'}, {'快速': '滴滴轻享'}, {'快速': '滴滴特快'}, {'推荐': '特惠快车'}]",[{'推荐': '特惠快车'}],"[{'快速': '曹操出行'}, {'推荐': '特惠快车'}]",1.0,0.5,0.6666666666666666,0
从家附近叫个极速拼车到艺术学院地铁站,"[{'快速': '曹操出行'}, {'六座': '六座专车'}, {'特价': '花小猪外接版'}, {'快速': '出租车'}, {'拼车': '特价拼车'}, {'推荐': '滴滴快车'}, {'推荐': '花小猪正价版'}, {'舒适': '滴滴专车'}, {'拼车': '极速拼车'}, {'推荐': '特快出租车'}, {'快速': '滴滴轻享'}, {'特价': '惊喜特价'}, {'快速': '滴滴特快'}, {'六座': '六座豪华车'}, {'推荐': '特惠快车'}]",[{'拼车': '极速拼车'}],[{'拼车': '极速拼车'}],1.0,1.0,1.0,1
从陆家嘴到虹桥火车站,"[{'快速': '曹操出行'}, {'六座': '六座专车'}, {'特价': '花小猪外接版'}, {'快速': '出租车'}, {'拼车': '特价拼车'}, {'推荐': '滴滴快车'}, {'推荐': '花小猪正价版'}, {'舒适': '滴滴专车'}, {'拼车': '极速拼车'}, {'推荐': '特快出租车'}, {'快速': '滴滴轻享'}, {'特价': '惊喜特价'}, {'推荐': '特惠快车'}]",[{'舒适': '滴滴专车'}],[{'舒适': '滴滴专车'}],1.0,1.0,1.0,1
叫个六座专车去咸阳国际机场,"[{'快速': '曹操出行'}, {'六座': '六座专车'}, {'特价': '花小猪外接版'}, {'快速': '出租车'}, {'拼车': '特价拼车'}, {'快速': '滴滴优享'}, {'舒适': '滴滴专车'}, {'推荐': '花小猪正价版'}, {'拼车': '极速拼车'}, {'快速': '滴滴轻享'}, {'特价': '惊喜特价'}, {'特价': '特惠快车'}, {'快速': '滴滴特快'}, {'推荐': '特惠快车'}]",[{'六座': '六座专车'}],[{'六座': '六座专车'}],1.0,1.0,1.0,1
叫特惠快车和极速拼车去流亭机场,"[{'快速': '曹操出行'}, {'六座': '六座专车'}, {'特价': '花小猪外接版'}, {'快速': '出租车'}, {'拼车': '特价拼车'}, {'推荐': '滴滴快车'}, {'推荐': '花小猪正价版'}, {'舒适': '滴滴专车'}, {'推荐': '特快出租车'}, {'快速': '滴滴轻享'}, {'六座': '六座豪华车'}, {'快速': '滴滴特快'}, {'推荐': '特惠快车'}]",[{'推荐': '特惠快车'}],[{'推荐': '特惠快车'}],1.0,1.0,1.0,1
打个曹操出行到福田机场,"[{'快速': '曹操出行'}, {'六座': '六座专车'}, {'特价': '花小猪外接版'}, {'快速': '出租车'}, {'拼车': '特价拼车'}, {'推荐': '滴滴快车'}, {'推荐': '花小猪正价版'}, {'舒适': '滴滴专车'}, {'拼车': '极速拼车'}, {'推荐': '特快出租车'}, {'快速': '滴滴轻享'}, {'特价': '惊喜特价'}, {'特价': '特惠快车'}, {'推荐': '特惠快车'}]",[{'快速': '曹操出行'}],[{'快速': '曹操出行'}],1.0,1.0,1.0,1
从鼓浪屿码头到高崎机场,"[{'快速': '曹操出行'}, {'六座': '六座专车'}, {'特价': '花小猪外接版'}, {'快速': '出租车'}, {'拼车': '特价拼车'}, {'快速': '滴滴优享'}, {'舒适': '滴滴专车'}, {'推荐': '花小猪正价版'}, {'快速': '滴滴轻享'}, {'特价': '惊喜特价'}, {'快速': '滴滴特快'}, {'六座': '六座豪华车'}, {'推荐': '特惠快车'}]",[],[],1.0,1.0,1.0,1
万绿园到火山口用滴滴叫特惠快车和特价拼车,"[{'快速': '曹操出行'}, {'六座': '六座专车'}, {'特价': '花小猪外接版'}, {'快速': '出租车'}, {'拼车': '特价拼车'}, {'快速': '滴滴优享'}, {'推荐': '滴滴快车'}, {'推荐': '花小猪正价版'}, {'舒适': '滴滴专车'}, {'拼车': '极速拼车'}, {'快速': '滴滴轻享'}, {'特价': '惊喜特价'}, {'特价': '特惠快车'}, {'快速': '滴滴特快'}, {'舒适': '滴滴豪华车'}, {'推荐': '特惠快车'}]","[{'拼车': '特价拼车'}, {'特价': '特惠快车'}, {'推荐': '特惠快车'}]","[{'拼车': '特价拼车'}, {'特价': '特惠快车'}, {'推荐': '特惠快车'}]",1.0,1.0,1.0,1
打辆极速拼车到秦淮水游城,"[{'快速': '曹操出行'}, {'六座': '六座专车'}, {'特价': '花小猪外接版'}, {'快速': '出租车'}, {'拼车': '特价拼车'}, {'推荐': '滴滴快车'}, {'推荐': '花小猪正价版'}, {'舒适': '滴滴专车'}, {'拼车': '极速拼车'}, {'快速': '滴滴轻享'}, {'特价': '惊喜特价'}, {'特价': '特惠快车'}, {'推荐': '特惠快车'}]",[{'拼车': '极速拼车'}],[{'拼车': '极速拼车'}],1.0,1.0,1.0,1
叫辆六座专车去杭州萧山机场,"[{'快速': '曹操出行'}, {'六座': '六座专车'}, {'特价': '花小猪外接版'}, {'快速': '出租车'}, {'拼车': '特价拼车'}, {'推荐': '滴滴快车'}, {'推荐': '花小猪正价版'}, {'舒适': '滴滴专车'}, {'推荐': '特快出租车'}, {'快速': '滴滴轻享'}, {'特价': '惊喜特价'}, {'舒适': '滴滴豪华车'}, {'推荐': '特惠快车'}]","[{'六座': '六座专车'}, {'拼车': '特价拼车'}]","[{'六座': '六座专车'}, {'拼车': '特价拼车'}]",1.0,1.0,1.0,1
叫个惊喜特价车到南京新街口德基广场,"[{'快速': '曹操出行'}, {'六座': '六座专车'}, {'特价': '花小猪外接版'}, {'快速': '出租车'}, {'拼车': '特价拼车'}, {'推荐': '滴滴快车'}, {'推荐': '花小猪正价版'}, {'舒适': '滴滴专车'}, {'拼车': '极速拼车'}, {'推荐': '特快出租车'}, {'快速': '滴滴轻享'}, {'特价': '惊喜特价'}, {'快速': '滴滴特快'}, {'六座': '六座豪华车'}, {'舒适': '滴滴豪华车'}, {'推荐': '特惠快车'}]",[{'特价': '惊喜特价'}],[{'特价': '惊喜特价'}],1.0,1.0,1.0,1
用极速拼车去大兴机场,"[{'快速': '曹操出行'}, {'六座': '六座专车'}, {'特价': '花小猪外接版'}, {'快速': '出租车'}, {'拼车': '特价拼车'}, {'推荐': '滴滴快车'}, {'推荐': '花小猪正价版'}, {'舒适': '滴滴专车'}, {'拼车': '极速拼车'}, {'快速': '滴滴轻享'}, {'特价': '惊喜特价'}, {'快速': '滴滴特快'}, {'推荐': '特惠快车'}]",[{'拼车': '极速拼车'}],[{'拼车': '极速拼车'}],1.0,1.0,1.0,1
打个惊喜特价去中山公园,"[{'快速': '曹操出行'}, {'六座': '六座专车'}, {'特价': '花小猪外接版'}, {'快速': '出租车'}, {'拼车': '特价拼车'}, {'舒适': '滴滴专车'}, {'推荐': '花小猪正价版'}, {'快速': '滴滴轻享'}, {'快速': '滴滴特快'}, {'推荐': '特惠快车'}]",[{'拼车': '特价拼车'}],[],0.0,0.0,0.0,0
